Track Title,Artist,Primary Pack,Also In,Notes,Status
"Bohemian Rhapsody",Queen,Road Trip Sing-Alongs,"70s Classic Rock","Iconic singalong; defining 70s rock — claim Road Trip as primary since the singalong moment is bigger than 'classic rock' deep cut",Unassigned
"Don't Stop Believin'",Journey,Wedding Reception Bangers,"80s Mega Hits, Road Trip Sing-Alongs","HIGH OVERLAP RISK — fits three packs equally well. Pick ONE as primary. Recommend Wedding since it's THE wedding song.",Unassigned
"Sweet Caroline",Neil Diamond,Wedding Reception Bangers,"Road Trip Sing-Alongs, Classic Rock","Crowd sing-along essential; primary in Wedding pack",Unassigned
"Mr. Brightside",The Killers,Wedding Reception Bangers,"2000s Pop Punk & Emo","2004 track; fits both packs. Wedding gets primary since it's modern wedding canon.",Unassigned
"Africa",Toto,Yacht Rock,"80s Mega Hits, Road Trip Sing-Alongs","Three-pack potential; Yacht Rock is the most niche so claim primary there",Unassigned
"Take On Me",a-ha,80s Mega Hits,"One Hit Wonders","Classic OHW but also defining 80s; pick whichever pack's curator wants it more",Unassigned
"Macarena",Los del Río,One Hit Wonders,"90s Mega Hits","Definitive OHW; primary there. 90s pack can include if not over track budget",Unassigned
"Tubthumping",Chumbawamba,One Hit Wonders,"90s Mega Hits","Same as Macarena — primary in OHW, dup OK in 90s",Unassigned
"Mambo No. 5",Lou Bega,One Hit Wonders,"90s Mega Hits","Same pattern",Unassigned
"Bitter Sweet Symphony",The Verve,One Hit Wonders,"90s Mega Hits","Same pattern",Unassigned
"Take Me Home, Country Roads",John Denver,Road Trip Sing-Alongs,"Country Crossover Hits","Crossover potential; Road Trip is the sing-along context",Unassigned
"I Wanna Dance with Somebody",Whitney Houston,Wedding Reception Bangers,"80s Mega Hits","Wedding gets primary — the dance floor moment is what defines this song",Unassigned
"Uptown Funk",Mark Ronson / Bruno Mars,Wedding Reception Bangers,"2010s","Wedding canon despite being 2014; 2010s pack can include if it's a 'mega hits' rather than 'top 40' pack",Unassigned
"Dancing Queen",ABBA,Wedding Reception Bangers,"70s Classic Rock, Karaoke","70s technically but Wedding is its natural home",Unassigned
"Y.M.C.A.",Village People,Wedding Reception Bangers,"70s Classic Rock","Same pattern",Unassigned
"September",Earth Wind & Fire,Wedding Reception Bangers,"70s Classic Rock, Yacht Rock","Three-pack potential; primary Wedding (the dance moment)",Unassigned
"Free Bird",Lynyrd Skynyrd,70s Classic Rock,"Road Trip Sing-Alongs","Primary in 70s — too long for typical singalong; players may know the riff better than the song",Unassigned
"Stairway to Heaven",Led Zeppelin,70s Classic Rock,"NONE","Iconic enough that no other pack needs it",Unassigned
"Hotel California",Eagles,70s Classic Rock,"Yacht Rock","Could go in Yacht Rock; primary in 70s since it's the bigger pack identity",Unassigned
"Smells Like Teen Spirit",Nirvana,90s Mega Hits,"NONE","Iconic enough; primary in 90s only",Unassigned
"Wonderwall",Oasis,90s Mega Hits,"NONE","Same",Unassigned
"...Baby One More Time",Britney Spears,90s Mega Hits,"NONE","Same",Unassigned
"In the End",Linkin Park,2000s Pop Punk & Emo,"2000s Mega Hits","Defining 2000s track; primary in Pop Punk since the pack identity claims it harder",Unassigned
"American Idiot",Green Day,2000s Pop Punk & Emo,"2000s Mega Hits","Same pattern",Unassigned
"Crazy In Love",Beyoncé,2000s Mega Hits,"NONE","Defining 2000s pop",Unassigned
"Hey Ya!",Outkast,2000s Mega Hits,"NONE","Same",Unassigned
"Drops of Jupiter",Train,2000s Mega Hits,"NONE","Top 40 2000s essential",Unassigned
"Total Eclipse of the Heart",Bonnie Tyler,80s Mega Hits,"One Hit Wonders, Karaoke","Multi-pack potential; 80s gets primary",Unassigned
"Livin' on a Prayer",Bon Jovi,80s Mega Hits,"Karaoke","Same",Unassigned
"Eye of the Tiger",Survivor,80s Mega Hits,"Movie Songs","Both packs; depends on if Movie Songs covers Rocky soundtracks",Unassigned
"Billie Jean",Michael Jackson,80s Mega Hits,"Billboard #1s","Multi-pack potential; 80s gets primary because of pack identity",Unassigned
"Like a Virgin",Madonna,80s Mega Hits,"Billboard #1s","Same",Unassigned
"Every Breath You Take",The Police,80s Mega Hits,"Wedding Reception (sometimes)","80s primary; some couples actually use it as wedding song despite the lyrics being kinda stalker-y",Unassigned
"Killing Me Softly",Fugees,90s Hip-Hop & R&B,"90s Mega Hits","Both — primary in 90s Mega Hits for broader recognition",Unassigned
"Waterfalls",TLC,90s Hip-Hop & R&B,"90s Mega Hits","Same",Unassigned
"All I Want for Christmas Is You",Mariah Carey,Christmas & Holiday,"NONE","Christmas only — but it's so iconic that some may want it in 90s Mega Hits. Resist.",Unassigned
