pack,tier,artist,title,from_movie_show,explicit,plays_in_game,deezer_id,verdict_keep_or_cut,notes
"2000's Mega Hits","Free","*NSYNC","Bye Bye Bye","","","yes","632447","",""
"2000's Mega Hits","Free","*NSYNC","Girlfriend","","","yes","4274057","",""
"2000's Mega Hits","Free","2raumwohnung","36 Grad","","","yes","13478212","",""
"2000's Mega Hits","Free","2raumwohnung","Besser geht's nicht","","","yes","13458959","",""
"2000's Mega Hits","Free","2raumwohnung","Sexy Girl","","","yes","131135270","",""
"2000's Mega Hits","Free","3 Doors Down","Here Without You","","","yes","2172900","",""
"2000's Mega Hits","Free","3 Doors Down","When I'm Gone","","","yes","2172895","",""
"2000's Mega Hits","Free","50 Cent","Candy Shop","","YES","no - explicit","145429544","",""
"2000's Mega Hits","Free","50 Cent","Disco Inferno","","","yes","1575414","",""
"2000's Mega Hits","Free","50 Cent","In Da Club","","YES","no - explicit","1141668","",""
"2000's Mega Hits","Free","A Fine Frenzy","Almost Lover","","","yes","3154015","",""
"2000's Mega Hits","Free","A Touch Of Class","My Heart Beats Like A Drum (Dam Dam Dam) (Radio Edit)","","","yes","13185278","",""
"2000's Mega Hits","Free","a-ha","Foot Of The Mountain","","","yes","4190292","",""
"2000's Mega Hits","Free","a-ha","Forever Not Yours","","","yes","807083","",""
"2000's Mega Hits","Free","A. R. Rahman","Jai Ho! (You Are My Destiny)","","","yes","2947119","",""
"2000's Mega Hits","Free","A*Teens","Sugar Rush","","","yes","2290041","",""
"2000's Mega Hits","Free","Aaliyah","Try Again","","","yes","1115907","",""
"2000's Mega Hits","Free","Aaliyah","We Need A Resolution","","","yes","1115260","",""
"2000's Mega Hits","Free","Adele","Chasing Pavements","","","yes","2577958","",""
"2000's Mega Hits","Free","Adele","Make You Feel My Love","","","yes","2577966","",""
"2000's Mega Hits","Free","Afroman","Because I Got High (Album Version Explicit)","","","yes","85451726","",""
"2000's Mega Hits","Free","Agnes","Release Me","","","yes","76561588","",""
