OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"Missing","Everything But The Girl","400190542","Missing (Todd Terry Club Mix / US Radio Edit)","Everything But The Girl","1787742227"
"Fantasy","Mariah Carey","618428","Fantasy","Mariah Carey","1013792"
"Linger","The Cranberries","1137657","Linger","The Cranberries","1176440"
"You Were Meant For Me","Jewel","1089822742","You Were Meant For Me","Jewel","1444389232"
"It Feels So Good","Sonique","582327622","It Feels So Good (Sonique vs. Ramiro) [Damon Hess Club Mix] (Radio Edit)","Sonique","410495582"
"Whatta Man","Salt-N-Pepa","9990585","Whatta Man (feat. En Vogue) (EP Version)","Salt 'N' Pepa","772271"
"Virtual Insanity (Remastered 2006)","Jamiroquai","73696392","Virtual Insanity (Remastered 2006)","Jamiroquai","1884719637"
"If I Let You Go (Radio Edit)","Westlife","959916","If I Let You Go (Radio Edit)","Westlife","1170141562"
"There She Goes","Sixpence None The Richer","14572966","There She Goes","Sixpence None The Richer","134116996"
"What I Got","Sublime","917795","What I Got","Sublime","127245037"
"The World I Know","Collective Soul","616357332","The World I Know (LP Version)","Collective Soul","1444380862"
"Nuthin' But A ""G"" Thang","Dr. Dre","921382112","Nuthin' But A ""G"" Thang","Dr. Dre","2132919007"
"Smooth Operator (Single Version)","Sade","858207","Smooth Operator (Single Version)","Sade","1030651922"
"Champagne Supernova","Oasis","74173011","Champagne Supernova","Oasis","985985942"
"Say What You Want","Texas","1172397","Say What You Want","Texas","2099312577"
"Father Of Mine","Everclear","142835162","Father Of Mine","Everclear","142750406"
"Take A Picture","Filter","692242022","Take A Picture","Filter","1444388582"
"Santeria","Sublime","917799","Santeria","Sublime","127245051"
"Fly","Sugar Ray","756280","Fly","Sugar Ray","6586787"
"Good","Better Than Ezra","748936","Good","Better Than Ezra","5271867"
"Amphetamine","Everclear","3457932","Amphetamine","Everclear","142750412"
"I'll Be","Edwin McCain","749330","I'll Be","Edwin McCain","6462599"
"There She Goes","The La's","906824","There She Goes","The La's","2518361"
"Crush","Jennifer Paige","65656392","Crush","Jennifer Paige","67576433"
"Shine","Collective Soul","4735504","Shine","Collective Soul","1444387612"
"From This Moment On","Shania Twain","7442356","From This Moment On","Shania Twain","731732312"
"He Wasn't Man Enough","Toni Braxton","567649","He Wasn't Man Enough (Radio Edit)","Toni Braxton","15392662"
"Still D.R.E.","Dr. Dre","1579474","Still D.R.E.","Dr. Dre","128743581"
"The Sign","Ace of Base","19271661","The Sign","Ace of Base","93851026"
"Tubthumping","Chumbawamba","3137092","Tubthumping (Radio Edit)","Chumbawamba","1240062852"
"Smells Like Teen Spirit","Nirvana","1112991","Smells Like Teen Spirit","Nirvana","13693497"
"Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla","115706386","Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla","7372621"
"Praise You","Fatboy Slim","69743350","Praise You","Fatboy Slim","15686777"
"Nothing Compares 2 U","Sinéad O'Connor","3100405","Nothing Compares 2 U","Sinéad O'Connor","1787569267"
"What Is Love (7"" Mix)","Haddaway","61590162","What Is Love (7"" Mix)","Haddaway","3641283332"
"Forgot About Dre","Dr. Dre","1579480","Forgot About Dre","Dr. Dre","128743593"
"Man! I Feel Like A Woman!","Shania Twain","7442363","Man! I Feel Like A Woman!","Shania Twain","537991732"
"Streets of Philadelphia","Bruce Springsteen","7675471","Streets of Philadelphia (Single Edit)","Bruce Springsteen","552942362"
"Gangsta's Paradise","Coolio","409962492","Gangsta's Paradise","Coolio","1584416372"
"Cryin'","Aerosmith","916334","Cryin'","Aerosmith","2246520677"
"Dreams","Gabrielle","1126142","Dreams","Gabrielle","124220438"
"Found Out About You","Gin Blossoms","115706364","Found Out About You","Gin Blossoms","549313892"
"Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys","605957","Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys","15397479"
"Poison","Bell Biv DeVoe","8082245","Poison","Bell Biv DeVoe","765887552"
"Party Up (Up In Here)","DMX","108660086","Party Up (Up in Here) (Re-Recorded)","DMX","9951183"
"Tom's Diner","Suzanne Vega","8083061","Tom's Diner","Suzanne Vega","1652296642"
"It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","3128067","It's The End Of The World As We Know It (And I Feel Fine) (Remastered 2006)","R.E.M.","3154051"
"Learning To Fly","Tom Petty And The Heartbreakers","2171505","Learning To Fly","Tom Petty And The Heartbreakers","2293281"
"Together Again","Janet Jackson","3134021","Together Again","Janet Jackson","1939641407"
"Mmm Mmm Mmm Mmm","Crash Test Dummies","6075100","Mmm Mmm Mmm Mmm","Crash Test Dummies","90630611"
"I Think I'm Paranoid","Garbage","17932117","I Think I'm Paranoid","Garbage","514401922"
"Natural Blues","Moby","74894807","Natural Blues","Moby","3360431401"
"Vogue","Madonna","4209617","Vogue","Madonna","723903"
"Don't Speak","No Doubt","1176787","Don't Speak","No Doubt","24246391"
"Who Will Save Your Soul","Jewel","616289942","Who Will Save Your Soul","Jewel","1444370342"
"Criminal","Fiona Apple","10391932","Criminal","Fiona Apple","82293008"
"Wonderwall","Oasis","74173002","Wonderwall","Oasis","985745702"
"I Swear","All-4-One","764382","I Swear (Radio Edit)","All-4-One","2637206902"
"Creep","Radiohead","3129324","Creep","Radiohead","138547415"
"The One And Only","Chesney Hawkes","130195442","The One And Only","Chesney Hawkes","10426809"
"Waiting for Tonight","Jennifer Lopez","13145686","Waiting for Tonight (Pablo's Miami Mix Radio Edit) (Spanglish)","Jennifer Lopez","15600210"
"Hook","Blues Traveler","76025739","Hook","Blues Traveler","2285409"
"Rhythm Is A Dancer (Edit)","SNAP!","434215202","Rhythm Is a Dancer (7"" Edit)","SNAP!","3785942592"
"Genie in a Bottle","Christina Aguilera","964342","Genie In a Bottle","Christina Aguilera","15627386"
"Un-Break My Heart","Toni Braxton","567656","Un-Break My Heart (Radio Edit)","Toni Braxton","5223188"
"King of Carrot Flowers Pt. 1","Neutral Milk Hotel","17128360","King of Carrot Flowers Pt. 1","Neutral Milk Hotel","3550982101"
"Foolish Games","Jewel","616289972","Foolish Games","Jewel","1444364982"
"Doo Wop (That Thing)","Lauryn Hill","2450613","Doo Wop (That Thing)","Lauryn Hill","15586242"
"Loser","Beck","1155108","Loser","Beck","422033092"
"In the Aeroplane Over the Sea","Neutral Milk Hotel","17128362","In the Aeroplane Over the Sea","Neutral Milk Hotel","3550982121"
"All That She Wants","Ace of Base","19271671","All That She Wants","Ace of Base","94676692"
"Wicked Game","Chris Isaak","70724542","Wicked Game","Chris Isaak","1391362322"
"Drive","Incubus","860519","Drive","Incubus","14876844"
"Fu-Gee-La","Fugees","1016290","Fu-Gee-La","Fugees","15528006"
"What It's Like","Everlast","66174049","What It's Like","Everlast","1586973152"
"Cannonball","The Breeders","939194","Cannonball","The Breeders","378817711"
"You Make Me Wanna...","USHER","1052073","You Make Me Wanna...","USHER","1909711527"
"O.P.P","Naughty By Nature","409962232","O.P.P","Naughty By Nature","1584432772"
"With Arms Wide Open","Creed","836186382","With Arms Wide Open (New Version With Strings)","Creed","113418274"
"I Try","Macy Gray","82303026","I Try","Macy Gray","15175385"
"The Rockafeller Skank (Short Edit)","Fatboy Slim","16407732","The Rockafeller Skank (Short Edit)","Fatboy Slim","15686919"
"December","Collective Soul","6523533","December","Collective Soul","1444368392"
"Gypsy Woman (She's Homeless) (Basement Boy Strip To The Bone Mix)","Crystal Waters","18050343","Gypsy Woman (She's Homeless) (La Da Dee La Da Da) (Basement Boy Strip To The Bone Mix)","Crystal Waters","548725862"
"Lump","The Presidents of the United States of America","10958802","Lump","The Presidents of the United States of America","3719301132"
"Just A Girl","No Doubt","1176775","Just A Girl","No Doubt","24246271"
"Groove Is in the Heart","Deee-Lite","3601752","Groove Is in the Heart","Deee-Lite","75070408"
"Spiderwebs","No Doubt","916246","Spiderwebs","No Doubt","24246371"
"It's All Coming Back to Me Now","Céline Dion","15637440","It's All Coming Back to Me Now (Radio Edit 1)","Céline Dion","14552282"
"The Impression That I Get","The Mighty Mighty Bosstones","2435857","The Impression That I Get","The Mighty Mighty Bosstones","2485997701"
"This Is Your Night","Amber","409976592","This Is Your Night","Amber","1587026032"
"Lightning Crashes","Live","89603327","Lightning Crashes","Live","2523713"
"Friday I'm in Love","The Cure","73527394","Friday I'm in Love","The Cure","409670382"
"Mind Playing Tricks on Me","Geto Boys","70816229","Mind Playing Tricks on Me","Geto Boys","3357435491"
"Zombie","The Cranberries","5652656","Zombie","The Cranberries","980117"
"Karma Police","Radiohead","3166869","Karma Police","Radiohead","138539981"
"Only Happy When It Rains","Garbage","69000158","Only Happy When It Rains","Garbage","1761472017"
"Stupid Girl","Garbage","69000159","Stupid Girl (Todd Terry Remix)","Garbage","1761472267"
"Shoop","Salt-N-Pepa","9990584","Shoop (Re-Recorded)","Salt-N-Pepa","60909328"
"Hello Time Bomb","Matthew Good Band","19896891","Hello Time Bomb","Matthew Good Band","1762723517"
"Be My Lover","La Bouche","1008557","Be My Lover","La Bouche","4096754"
"Your Woman","White Town","3136779","Your Woman","White Town","10426810"
"Glycerine (2014 Remastered)","Bush","424502802","Glycerine (Remastered 2014)","Bush","2526331081"
"Missing","Everything But The Girl","400190282","Missing (Todd Terry Club Mix / US Radio Edit)","Everything But The Girl","1787742227"
"Can I Kick It?","A Tribe Called Quest","112658750","Can I Kick It?","A Tribe Called Quest","3311319751"
"Cornflake Girl","Tori Amos","-2656343202","Cornflake Girl","Tori Amos","675582"
