OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(gap)","","","Forever Young","Alphaville","698274"
"(gap)","","","Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.","3085246"
"(gap)","","","Woman In Love","Barbra Streisand","625398"
"(gap)","","","Sweet Love","Anita Baker","717534"
"(gap)","","","Wind Beneath My Wings","Bette Midler","3616256"
"(gap)","","","Paradise City","Guns N' Roses","518458142"
"(gap)","","","This Charming Man (Single Version; 2008 Remaster)","The Smiths","5093604"
"(gap)","","","Don't Worry Be Happy","Bobby McFerrin","3127387"
"(gap)","","","Little Lies (2017 Remaster)","Fleetwood Mac","341017571"
"(gap)","","","Wonderful Life","Black","2535353"
"(gap)","","","Islands In the Stream","Dolly Parton","989305"
"(gap)","","","Buffalo Soldier","Bob Marley & The Wailers","530300651"
"(gap)","","","The Tide Is High","Blondie","13569204"
"(gap)","","","Flashdance... What A Feeling ('95 Version)","Irene Cara","906571"
"(gap)","","","Rock Wit'cha","Bobby Brown","921945602"
"(gap)","","","Biggest Part of Me","Ambrosia","5195736"
"(gap)","","","Every Woman in the World","Air Supply","79542990"
"(gap)","","","China Girl (Single Version; 2014 Remaster)","David Bowie","2173385657"
"(gap)","","","I Ran (So Far Away)","A Flock Of Seagulls","1025577"
"(gap)","","","Man in the Mirror (Remastered Version)","Michael Jackson","4603411"
"(gap)","","","The Winner Takes It All","ABBA","884035"
"(gap)","","","Lay All Your Love On Me","ABBA","76376863"
"(gap)","","","Start Me Up (Remastered 2009)","The Rolling Stones","4125592"
"(gap)","","","Sunday Bloody Sunday (Remastered 2008)","U2","1579265"
"(gap)","","","Heaven","Bryan Adams","88902737"
"(gap)","","","Slipping Through My Fingers","ABBA","20535911"
"(gap)","","","Sacrifice","Elton John","44586841"
"(gap)","","","Born in the U.S.A.","Bruce Springsteen","15586213"
"(gap)","","","Master Of Puppets (Remastered)","Metallica","424562692"
"(gap)","","","Mad World","Tears For Fears","1090633"
"(gap)","","","Say You, Say Me","Lionel Richie","905697"
"(gap)","","","Too Shy","Kajagoogoo","3357587"
"(gap)","","","For Those About to Rock (We Salute You)","AC/DC","92720016"
"(gap)","","","Wish You Were Here","Bee Gees","139138685"
"(gap)","","","The Way You Make Me Feel (Remastered Version)","Michael Jackson","4603401"
"(gap)","","","Photograph","Def Leppard","447557232"
"(gap)","","","Electricity","Orchestral Manoeuvres In The Dark","3156220"
"(gap)","","","Solid","Ashford & Simpson","3386566"
"(gap)","","","The Killing Moon","Echo and the Bunnymen","751126"
"(gap)","","","Super Trouper","ABBA","76376866"
"(gap)","","","The Unforgettable Fire (Remastered 2009)","U2","4587263"
"(gap)","","","Redemption Song","Bob Marley & The Wailers","530300721"
"(gap)","","","La Bamba","Los Lobos","3819736"
"(gap)","","","Lips Like Sugar","Echo and the Bunnymen","846543"
"(gap)","","","Rio (2009 Remaster)","Duran Duran","4127462"
"(gap)","","","Even the Nights Are Better (Remastered)","Air Supply","3551809"
"(gap)","","","Hurts So Good","John Mellencamp","2512462"
"(gap)","","","Rapture","Blondie","3104490"
"(gap)","","","Panama","Van Halen","5093781"
"(gap)","","","And So It Goes","Billy Joel","67943090"
"(gap)","","","I Want Candy","Bow Wow Wow","900670"
"(gap)","","","How Can I Fall ?","Breathe","4220970"
"(gap)","","","Up Where We Belong","Jennifer Warnes","5270969"
"(gap)","","","Don't Come Around Here No More","Tom Petty And The Heartbreakers","588236352"
"(gap)","","","Into The Night (Re-Recorded In Stereo)","Benny Mardones","75768225"
"(gap)","","","Obsession (Rerecorded)","Animotion","6058808"
"(gap)","","","Just Like Jesse James","Cher","1126797"
"(gap)","","","You're A Friend Of Mine","Clarence Clemons & Jackson Browne","13020008"
"(gap)","","","Love Resurrection","Alison Moyet","5404554"
"(gap)","","","A Groovy Kind of Love","Phil Collins","4290178"
"(gap)","","","Hello Again (2017 Remaster)","The Cars","474178152"
"(gap)","","","When I See You Smile","Bad English","2847482"
"(gap)","","","Tell Her About It","Billy Joel","2168798"
"(gap)","","","Life in a Northern Town","The Dream Academy","675713"
"(gap)","","","Brass in Pocket (2006 Remaster)","Pretenders","14636389"
