OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","End Credits","Alan Silvestri","491889532"
"(thematic candidate)","","","Theme from Glass Onion","Nathan Johnson","1972567727"
"(thematic candidate)","","","Arthur's Theme (Best That You Can Do)","Christopher Cross","3872734"
"(thematic candidate)","","","Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","John Williams","493812712"
"(thematic candidate)","","","Light of the Seven","Ramin Djawadi","127563043"
"(thematic candidate)","","","Chase","Giorgio Moroder","2446608"
"(thematic candidate)","","","Tennessee","Hans Zimmer","3598719"
"(thematic candidate)","","","My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion","17000055"
"(thematic candidate)","","","A Way of Life","Hans Zimmer","3599180"
"(thematic candidate)","","","The Sound Of Silence","Simon & Garfunkel","550288"
"(thematic candidate)","","","Chevaliers De Sangreal (From The Da Vinci Code Original Motion Picture Soundtrack)","Hans Zimmer","2511688"
"(thematic candidate)","","","Going The Distance (From ""Rocky"" Soundtrack / Remastered 2006)","Bill Conti","99127212"
"(thematic candidate)","","","One Summer Day","Joe Hisaishi","1120335972"
"(thematic candidate)","","","Kids","Kyle Dixon & Michael Stein","130871170"
"(thematic candidate)","","","Gortoz A Ran","Denez Prigent","548844302"
"(thematic candidate)","","","The Last of Us","Gustavo Santaolalla","67770820"
"(thematic candidate)","","","Evenstar","Howard Shore","783579"
"(thematic candidate)","","","Test Drive (From How To Train Your Dragon Music From The Motion Picture)","John Powell","119437636"
"(thematic candidate)","","","One Day","Hans Zimmer","3107999"
"(thematic candidate)","","","Ghostbusters","Ray Parker, Jr.","128547767"
"(thematic candidate)","","","Top Gun Anthem","Harold Faltermeyer","1764283727"
"(thematic candidate)","","","Up Is Down","Hans Zimmer","3107992"
"(thematic candidate)","","","Lux Aeterna","Clint Mansell","5416678"
"(thematic candidate)","","","Django","Luis Bacalov","62953943"
"(thematic candidate)","","","Theme From Schindler's List","John Williams","6066638"
"(thematic candidate)","","","Stranger Things","Kyle Dixon & Michael Stein","130871168"
"(thematic candidate)","","","Eulogy","Kyle Dixon & Michael Stein","416643382"
"(thematic candidate)","","","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","5610919"
"(thematic candidate)","","","Main Title","Ramin Djawadi","117729426"
"(thematic candidate)","","","I'm Just Ken","Ryan Gosling","2373296535"
"(thematic candidate)","","","Drink Up Me Hearties Yo Ho","Hans Zimmer","3108000"
"(thematic candidate)","","","The Winds of Winter","Ramin Djawadi","127563075"
"(thematic candidate)","","","The Imitation Game","Alexandre Desplat","88725241"
"(thematic candidate)","","","Arrival to Earth","Steve Jablonsky","3583337"
"(thematic candidate)","","","The Breaking of the Fellowship (feat. ""In Dreams"")","Howard Shore","14628831"
"(thematic candidate)","","","Harry's Wondrous World (Extended Version)","John Williams","661749"
"(thematic candidate)","","","A Dark Knight","Hans Zimmer","904641"
