OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Tush (2006 Remaster)","ZZ Top","78971418"
"(thematic candidate)","","","With You (feat. Omah Lay)","Davido","3324595541"
"(thematic candidate)","","","New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz","1878740837"
"(thematic candidate)","","","Edge of Seventeen","Stevie Nicks","680601"
"(thematic candidate)","","","Panama (2015 Remaster)","Van Halen","97098412"
"(thematic candidate)","","","I'm a Believer (2006 Remaster)","The Monkees","764920"
"(thematic candidate)","","","Tongue Tied","Grouplove","13544758"
"(thematic candidate)","","","Ride Lonesome","Beck","3958563661"
"(thematic candidate)","","","Égaré","M. Pokora","3630231462"
"(thematic candidate)","","","One","Johnny Cash","65690342"
"(thematic candidate)","","","Feels Like Summer","Childish Gambino","526591392"
"(thematic candidate)","","","Life On The Run","Brandi Carlile","4022864071"
"(thematic candidate)","","","Black Horse And The Cherry Tree (Radio Version)","KT Tunstall","3120612"
"(thematic candidate)","","","Light Switch","Charlie Puth","1622528782"
"(thematic candidate)","","","Fell On Black Days","Soundgarden","7087587"
"(thematic candidate)","","","American Cars","Noah Kahan","3974113441"
"(thematic candidate)","","","White Tiger (Single Version)","Izzy Bizu","109703514"
"(thematic candidate)","","","Ironic (2015 Remaster)","Alanis Morissette","109843304"
"(thematic candidate)","","","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","376480961"
"(thematic candidate)","","","I Keep Forgettin' (Every Time You're Near)","Michael McDonald","5617796"
"(thematic candidate)","","","Sleeping Satellite","Tasmin Archer","3115574"
"(thematic candidate)","","","Once in a Lifetime (2005 Remaster)","Talking Heads","5093672"
"(thematic candidate)","","","Cinnamon","BENEE","3517241741"
"(thematic candidate)","","","Murder on the Dancefloor (triple j Like A Version)","Royel Otis","2629968462"
"(thematic candidate)","","","Sonnet","The Verve","398570652"
"(thematic candidate)","","","Float On","Modest Mouse","581923"
"(thematic candidate)","","","Find Me","Kings Of Leon","134024954"
"(thematic candidate)","","","Level of Concern","Twenty One Pilots","926340752"
"(thematic candidate)","","","I'm your first","flowerovlove","3531126261"
"(thematic candidate)","","","Kiwi","Harry Styles","360302001"
"(thematic candidate)","","","Going Up The Country (Remastered 2005)","Canned Heat","3151773"
"(thematic candidate)","","","Sweet Disposition","The Temper Trap","3822464"
"(thematic candidate)","","","All Summer Long","Kid Rock","4087608"
"(thematic candidate)","","","She Drives Me Crazy","Fine Young Cannibals","428850812"
"(thematic candidate)","","","Everything I Own","Bread","675098"
"(thematic candidate)","","","Werewolves of London","Warren Zevon","773638"
"(thematic candidate)","","","Fooled Around And Fell In Love","Elvin Bishop","4733215"
"(thematic candidate)","","","Machu Picchu","The Strokes","10101601"
"(thematic candidate)","","","Dial Drunk","Noah Kahan","2368216925"
"(thematic candidate)","","","Graceland","Paul Simon","32140151"
"(thematic candidate)","","","Trouble","Cage The Elephant","115706582"
"(thematic candidate)","","","Mississippi Queen","Mountain","608589"
"(thematic candidate)","","","Summer Breeze","Seals and Crofts","5416564"
"(thematic candidate)","","","Young Turks (2008 Remaster)","Rod Stewart","2550609"
"(thematic candidate)","","","Houdini","Foster The People","15546835"
