pack,issue,title,artist,deezerId,detail
"2020's Mega Hits","ODD CUT","Roses (Imanbek Remix)","SAINt JHN","770293952","live/remix/instrumental/edit variant"
"2020's Mega Hits","ODD CUT","Savage Remix (feat. Beyoncé)","Megan Thee Stallion","946333752","live/remix/instrumental/edit variant"
"2020's Mega Hits","ODD CUT","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) (Remix)","Jack Harlow","1001786382","live/remix/instrumental/edit variant"
"2020's Mega Hits","ODD CUT","Djadja (feat. Maluma) (Remix)","Aya Nakamura","986646892","live/remix/instrumental/edit variant"
"2020's Mega Hits","ODD CUT","Cold Heart (PNAU Remix)","Elton John","1457025872","live/remix/instrumental/edit variant"
"2020's Mega Hits","ODD CUT","Jiggle Jiggle (Kideko Remix)","Duke & Jones","1809647917","live/remix/instrumental/edit variant"
"2020's Mega Hits","EXPLICIT","The Box","Roddy Ricch","825986992","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","positions","Ariana Grande","1118160622","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Say So","Doja Cat","797228462","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","ROXANNE","Arizona Zervas","806698322","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","DÁKITI","Bad Bunny","1122450992","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","WAP (feat. Megan Thee Stallion)","Cardi B","1044791832","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","ROCKSTAR","DaBaby","932661672","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Blueberry Faygo","Lil Mosey","867095322","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Toosie Slide","Drake","919708552","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Party Girl","StaySolidRocky","936617182","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Life Is Good (feat. Drake)","Future","847699482","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","HIGHEST IN THE ROOM","Travis Scott","767583072","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Roses (Imanbek Remix)","SAINt JHN","770293952","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","you broke me first","Tate McRae","929158322","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Savage Remix (feat. Beyoncé)","Megan Thee Stallion","946333752","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","motive","Ariana Grande","1126047062","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Tusa","KAROL G","796342592","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Laugh Now Cry Later","Drake","1050306812","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Godzilla","Eminem","854914322","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","La Difícil","Bad Bunny","889550862","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) (Remix)","Jack Harlow","1001786382","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","In Your Eyes","The Weeknd","908859862","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Supalonely","BENEE","802283032","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Savage Love (Laxed - Siren Beat)","Jawsh 685","986939372","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","RITMO (Bad Boys For Life)","The Black Eyed Peas","772603752","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","POPSTAR (feat. Drake)","DJ Khaled","1024107672","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","THE SCOTTS","THE SCOTTS ","939689012","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","High Fashion (feat. Mustard)","Roddy Ricch","825987082","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Safaera","Bad Bunny","889550982","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Boss Bitch","Doja Cat","856402392","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Lonely","Justin Bieber","1110767312","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Wishing Well","Juice WRLD","1016968532","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Play Date","Melanie Martinez","105286434","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","MAMACITA","The Black Eyed Peas","921104532","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Runnin","21 Savage","1097090192","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Sky","Playboi Carti","1189531242","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Hit Different (feat. Ty Dolla $ign, The Neptunes & Pharrell Williams)","SZA","1068098412","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Popular (From The Idol Vol. 1 Music from the HBO Original Series)","The Weeknd","2321977215","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Karma","Taylor Swift","1977132317","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","drivers license","Olivia Rodrigo","1378342592","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","good 4 u","Olivia Rodrigo","1378342622","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","vampire","Olivia Rodrigo","2440763155","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","brutal","Olivia Rodrigo","1378342572","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","deja vu","Olivia Rodrigo","1378342612","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","bad idea right?","Olivia Rodrigo","2440763145","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Espresso","Sabrina Carpenter","2743578151","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Please Please Please","Sabrina Carpenter","2831602002","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Feather","Sabrina Carpenter","2185094157","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Casual","Chappell Roan","2454854775","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Femininomenon","Chappell Roan","2454854735","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Not Like Us","Kendrick Lamar","2783963122","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","squabble up","Kendrick Lamar","3106586631","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Happier Than Ever","Billie Eilish","1449740592","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Kiss Me More (feat. SZA)","Doja Cat","1410738172","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Woman","Doja Cat","1410738042","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Paint The Town Red","Doja Cat","2387373015","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Agora Hills","Doja Cat","2459517745","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Snooze","SZA","2055292087","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Good Days","SZA","1189202982","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Nobody Gets Me","SZA","2055292147","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","I Had Some Help","Post Malone","2780753191","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Chemical","Post Malone","2235565007","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","MONTERO (Call Me By Your Name)","Lil Nas X","1283264142","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","INDUSTRY BABY","Lil Nas X","1439691952","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Peaches","Justin Bieber","1280165222","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","WITHOUT YOU","The Kid LAROI","1445417732","Deezer explicit_lyrics = true"
