"Bohemian Rhapsody","Queen",""
"Killer Queen","Queen",""
"Somebody to Love","Queen",""
"We Are The Champions","Queen",""
"We Will Rock You","Queen",""
"Fat Bottomed Girls","Queen",""
"Don't Stop Me Now","Queen",""
"You're My Best Friend","Queen",""
"Stairway to Heaven","Led Zeppelin",""
"Kashmir","Led Zeppelin",""
"Black Dog","Led Zeppelin",""
"Rock and Roll","Led Zeppelin",""
"Whole Lotta Love","Led Zeppelin",""
"Immigrant Song","Led Zeppelin",""
"Ramble On","Led Zeppelin",""
"Hotel California","Eagles",""
"Take It Easy","Eagles",""
"Take It To The Limit","Eagles",""
"Life in the Fast Lane","Eagles",""
"Desperado","Eagles",""
"One of These Nights","Eagles",""
"Dancing Queen","ABBA",""
"Mamma Mia","ABBA",""
"Waterloo","ABBA",""
"Fernando","ABBA",""
"Take a Chance on Me","ABBA",""
"Take Me Home, Country Roads","John Denver",""
"Rocky Mountain High","John Denver",""
"Annie's Song","John Denver",""
"Sunshine on My Shoulders","John Denver",""
"Sweet Home Alabama","Lynyrd Skynyrd",""
"Free Bird","Lynyrd Skynyrd",""
"Simple Man","Lynyrd Skynyrd",""
"Piano Man","Billy Joel",""
"Just The Way You Are","Billy Joel",""
"Movin' Out","Billy Joel",""
"Only the Good Die Young","Billy Joel",""
"My Life","Billy Joel",""
"Layla","Derek and the Dominos",""
"Imagine","John Lennon",""
"Instant Karma","John Lennon",""
"Let It Be","The Beatles",""
"The Long and Winding Road","The Beatles",""
"Superstition","Stevie Wonder",""
"Sir Duke","Stevie Wonder",""
"I Wish","Stevie Wonder",""
"Isn't She Lovely","Stevie Wonder",""
"You Are The Sunshine Of My Life","Stevie Wonder",""
"Higher Ground","Stevie Wonder",""
"Rocket Man","Elton John",""
"Tiny Dancer","Elton John",""
"Bennie and the Jets","Elton John",""
"Crocodile Rock","Elton John",""
"Goodbye Yellow Brick Road","Elton John",""
"Someone Saved My Life Tonight","Elton John",""
"Killing Me Softly With His Song","Roberta Flack",""
"Fire and Rain","James Taylor",""
"You've Got A Friend","James Taylor",""
"Wish You Were Here","Pink Floyd",""
"Comfortably Numb","Pink Floyd",""
"Money","Pink Floyd",""
"Time","Pink Floyd",""
"Another Brick in the Wall (Part 2)","Pink Floyd",""
"Yesterday Once More","Carpenters",""
"(They Long to Be) Close To You","Carpenters",""
"We've Only Just Begun","Carpenters",""
"Rainy Days And Mondays","Carpenters",""
"Top Of The World","Carpenters",""
"Bridge Over Troubled Water","Simon & Garfunkel",""
"50 Ways to Leave Your Lover","Paul Simon",""
"American Pie","Don McLean",""
"Vincent","Don McLean",""
"Ain't No Sunshine","Bill Withers",""
"Lean On Me","Bill Withers",""
"Use Me","Bill Withers",""
"Lovely Day","Bill Withers",""
"ABC","The Jackson 5",""
"I'll Be There","The Jackson 5",""
"Rockin' Robin","Michael Jackson",""
"Ben","Michael Jackson",""
"Don't Stop 'Til You Get Enough","Michael Jackson",""
"Rock With You","Michael Jackson",""
"Rhinestone Cowboy","Glen Campbell",""
"Y.M.C.A.","Village People",""
"In The Navy","Village People",""
"Macho Man","Village People",""
"Stayin' Alive","Bee Gees",""
"Night Fever","Bee Gees",""
"How Deep Is Your Love","Bee Gees",""
"More Than a Woman","Bee Gees",""
"Tragedy","Bee Gees",""
"Jive Talkin'","Bee Gees",""
"You Should Be Dancing","Bee Gees",""
"Le Freak","Chic",""
"Good Times","Chic",""
"September","Earth, Wind & Fire",""
"Shining Star","Earth, Wind & Fire",""
"Boogie Wonderland","Earth, Wind & Fire",""
"Sing A Song","Earth, Wind & Fire",""
"Fantasy","Earth, Wind & Fire",""
"After the Love Has Gone","Earth, Wind & Fire",""
"Disco Inferno","The Trammps",""
"I Will Survive","Gloria Gaynor",""
"We Are Family","Sister Sledge",""
"He's The Greatest Dancer","Sister Sledge",""
"Hot Stuff","Donna Summer",""
"Bad Girls","Donna Summer",""
"Last Dance","Donna Summer",""
"MacArthur Park","Donna Summer",""
"On The Radio","Donna Summer",""
"Silly Love Songs","Wings",""
"Live and Let Die","Wings",""
"Band on the Run","Wings",""
"Jet","Wings",""
"Let 'Em In","Wings",""
"Brown Sugar","The Rolling Stones",""
"Miss You","The Rolling Stones",""
"Angie","The Rolling Stones",""
"Wild Horses","The Rolling Stones",""
"Tumbling Dice","The Rolling Stones",""
"Beast of Burden","The Rolling Stones",""
"Sultans of Swing","Dire Straits",""
"Money for Nothing","Dire Straits",""
"American Pie","Don McLean",""
"Cat's In The Cradle","Harry Chapin",""
"Wichita Lineman","Glen Campbell",""
"The Gambler","Kenny Rogers",""
"Lucille","Kenny Rogers",""
"Coward of the County","Kenny Rogers",""
"Islands In The Stream","Kenny Rogers",""
"9 to 5","Dolly Parton",""
"Jolene","Dolly Parton",""
"I Will Always Love You","Dolly Parton",""
"Heart of Gold","Neil Young",""
"Old Man","Neil Young",""
"Harvest Moon","Neil Young",""
"Southern Man","Neil Young",""
"After the Gold Rush","Neil Young",""
