"All I Want for Christmas Is You","Mariah Carey",""
"Last Christmas","Wham!",""
"Do They Know It's Christmas?","Band Aid",""
"Happy Xmas (War Is Over)","John Lennon",""
"Wonderful Christmastime","Paul McCartney",""
"Step Into Christmas","Elton John",""
"Merry Xmas Everybody","Slade",""
"I Wish It Could Be Christmas Everyday","Wizzard",""
"Fairytale of New York","The Pogues",""
"Driving Home for Christmas","Chris Rea",""
"Mistletoe","Justin Bieber",""
"Underneath the Tree","Kelly Clarkson",""
"Santa Tell Me","Ariana Grande",""
"Snowman","Sia",""
"Christmas Tree Farm","Taylor Swift",""
"Christmas Lights","Coldplay",""
"White Christmas","Bing Crosby",""
"Silver Bells","Bing Crosby",""
"Mele Kalikimaka","Bing Crosby",""
"The Christmas Song","Nat King Cole",""
"Deck the Halls","Nat King Cole",""
"Jingle Bells","Frank Sinatra",""
"Have Yourself a Merry Little Christmas","Frank Sinatra",""
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",""
"Baby, It's Cold Outside","Dean Martin",""
"Marshmallow World","Dean Martin",""
"It's the Most Wonderful Time of the Year","Andy Williams",""
"Happy Holiday","Andy Williams",""
"Sleigh Ride","The Ronettes",""
"Christmas (Baby Please Come Home)","Darlene Love",""
"Rockin' Around the Christmas Tree","Brenda Lee",""
"Jingle Bell Rock","Bobby Helms",""
"Blue Christmas","Elvis Presley",""
"Santa Claus Is Back in Town","Elvis Presley",""
"Here Comes Santa Claus","Elvis Presley",""
"Run Rudolph Run","Chuck Berry",""
"Rudolph the Red-Nosed Reindeer","Gene Autry",""
"Frosty the Snowman","Gene Autry",""
"Here Comes Santa Claus","Gene Autry",""
"Little Saint Nick","The Beach Boys",""
"The Man with All the Toys","The Beach Boys",""
"Please Come Home for Christmas","Eagles",""
"Feliz Navidad","José Feliciano",""
"This Christmas","Donny Hathaway",""
"Give Love on Christmas Day","The Jackson 5",""
"Santa Claus Is Comin' to Town","The Jackson 5",""
"I Saw Mommy Kissing Santa Claus","The Jackson 5",""
"Someday at Christmas","Stevie Wonder",""
"What Christmas Means to Me","Stevie Wonder",""
"Rudolph the Red-Nosed Reindeer","The Temptations",""
"Silent Night","The Temptations",""
"Merry Christmas Baby","Otis Redding",""
"White Christmas","Otis Redding",""
"Christmas Time Is Here","Vince Guaraldi Trio",""
"Linus and Lucy","Vince Guaraldi Trio",""
"Skating","Vince Guaraldi Trio",""
"Carol of the Bells","Trans-Siberian Orchestra",""
"Christmas Eve / Sarajevo 12/24","Trans-Siberian Orchestra",""
"Hallelujah","Pentatonix",""
"Mary, Did You Know?","Pentatonix",""
"Little Drummer Boy","Pentatonix",""
"It's Beginning to Look a Lot Like Christmas","Michael Bublé",""
"Holly Jolly Christmas","Michael Bublé",""
"Santa Baby","Eartha Kitt",""
"Santa Baby","Madonna",""
"Christmas Wrapping","The Waitresses",""
"Wonderful Dream (Holidays Are Coming)","Melanie Thornton",""
"Grandma Got Run Over by a Reindeer","Elmo & Patsy",""
"I Want a Hippopotamus for Christmas","Gayla Peevey",""
"All I Want for Christmas Is My Two Front Teeth","Spike Jones",""
"The Chipmunk Song (Christmas Don't Be Late)","The Chipmunks",""
"You're a Mean One, Mr. Grinch","Thurl Ravenscroft",""
"Where Are You Christmas?","Faith Hill",""
"Hard Candy Christmas","Dolly Parton",""
"Christmas Is","Dolly Parton",""
"Hallelujah","Carrie Underwood",""
"Let There Be Peace on Earth","Vince Gill",""
"Please Daddy (Don't Get Drunk This Christmas)","John Denver",""
"Christmas for Cowboys","John Denver",""
"Rockin' Around the Christmas Tree","LeAnn Rimes",""
"Christmas Cookies","George Strait",""
"Merry Christmas Everywhere","Alan Jackson",""
"If We Make It Through December","Merle Haggard",""
"Pretty Paper","Willie Nelson",""
"Winter Wonderland","Johnny Mathis",""
"It's Beginning to Look a Lot Like Christmas","Johnny Mathis",""
"Do You Hear What I Hear?","Whitney Houston",""
"Joy to the World","Whitney Houston",""
"O Holy Night","Celine Dion",""
"Ave Maria","Celine Dion",""
"The Prayer","Andrea Bocelli",""
"Adeste Fideles","Andrea Bocelli",""
"Merry Christmas Darling","Carpenters",""
"Christmas Waltz","Carpenters",""
"Wintersong","Sarah McLachlan",""
"River","Joni Mitchell",""
"2000 Miles","The Pretenders",""
"Thank God It's Christmas","Queen",""
"Christmas Time (Don't Let the Bells End)","The Darkness",""
"Stop the Cavalry","Jona Lewie",""
"Lonely This Christmas","Mud",""
"When a Child Is Born","Johnny Mathis",""
"Mary's Boy Child","Boney M.",""
"Feliz Navidad","Boney M.",""
"Santa Claus Is Coming to Town","Bruce Springsteen",""
"Merry Christmas (I Don't Want to Fight Tonight)","Ramones",""
"Father Christmas","The Kinks",""
"Christmas in Hollis","RUN-DMC",""
"All I Want for Christmas Is You","Michael Bublé",""
"Blue Christmas","Michael Bublé",""
"Winter Wonderland","Michael Bublé",""
"Jingle Bells","Michael Bublé",""
"Cold December Night","Michael Bublé",""
"Baby It's Cold Outside","Idina Menzel",""
"When You Believe","Whitney Houston",""
"Believe","Josh Groban",""
"O Come All Ye Faithful","Josh Groban",""
"The Little Drummer Boy","Bing Crosby",""
"Peace on Earth / Little Drummer Boy","David Bowie",""
"Christmas Must Be Tonight","The Band",""
"Wonderful Christmastime","Jars of Clay",""
"Baby It's Cold Outside","Tom Jones",""
"Text Me Merry Christmas","Straight No Chaser",""
"12 Days of Christmas","Straight No Chaser",""
"Sleigh Ride","Ella Fitzgerald",""
"Frosty the Snowman","Ella Fitzgerald",""
"Santa Claus Got Stuck in My Chimney","Ella Fitzgerald",""
"Cool Yule","Louis Armstrong",""
"Zat You, Santa Claus?","Louis Armstrong",""
"Christmas Night in Harlem","Louis Armstrong",""
"Jingle Bell Rock","Hall & Oates",""
"Wrapped in Red","Kelly Clarkson",""
"My Only Wish (This Year)","Britney Spears",""
"8 Days of Christmas","Destiny's Child",""
"This Christmas","Chris Brown",""
"Oh Santa!","Mariah Carey",""
"Christmas Time Is in the Air Again","Mariah Carey",""
"Miss You Most (At Christmas Time)","Mariah Carey",""
"Like It's Christmas","Jonas Brothers",""
"One More Sleep","Leona Lewis",""
"Everyday Is Christmas","Sia",""
"Candy Cane Lane","Sia",""
"Cozy Little Christmas","Katy Perry",""
"Christmas Saves the Year","Twenty One Pilots",""
"Naughty List","Liam Payne",""
"Make It to Christmas","Alessia Cara",""
"Christmas Without You","Ava Max",""
"It's Beginning to Look a Lot Like Christmas","Bing Crosby",""
"Jingle Bell Rock","Chubby Checker",""
"Do You Want to Build a Snowman?","Kristen Bell",""
"Let It Go","Idina Menzel",""
"Believe","Josh Groban",""
"Somewhere in My Memory","John Williams",""
"Carol of the Bells","John Williams",""
"The Polar Express","Tom Hanks",""
"Hot Chocolate","Tom Hanks",""
"When Christmas Comes to Town","Matthew Hall",""
"What's This?","Danny Elfman",""
"This Is Halloween","Danny Elfman",""
"Christmas All Over Again","Tom Petty",""
"Silent Night","Sinéad O'Connor",""
"Have Yourself a Merry Little Christmas","Judy Garland",""
"The Christmas Waltz","Nancy Wilson",""
"Winter Wonderland","Darlene Love",""
"White Christmas","The Drifters",""
"Sleigh Ride","Johnny Mathis",""
"Let It Snow","Frank Sinatra",""
"Santa Claus Is Comin' to Town","Frank Sinatra",""
"Mistletoe and Wine","Cliff Richard",""
"Saviour's Day","Cliff Richard",""
"Merry Christmas Everyone","Shakin' Stevens",""
"A Spaceman Came Travelling","Chris de Burgh",""
"Wombling Merry Christmas","The Wombles",""
"I Believe in Father Christmas","Greg Lake",""
"Christmas Song","Dave Matthews Band",""
"Christmas in Sarajevo","Savatage",""
"Oi to the World","No Doubt",""
"Yule Shoot Your Eye Out","Fall Out Boy",""
"Last Christmas","Ariana Grande",""
"Baby It's Cold Outside","Michael Bublé",""
