"Bang!","AJR",""
"World's Smallest Violin","AJR",""
"The Good Ones","Gabby Barrett",""
"Midnight Sky","Miley Cyrus",""
"Hold Me Closer","Elton John & Britney Spears",""
"SNAP","Rosa Linn",""
"Numb Little Bug","Em Beihold",""
"Fingers Crossed","Lauren Spencer Smith",""
"How Do I Say Goodbye","Dean Lewis",""
"Glimpse of Us","Joji",""
"Here With Me","d4vd",""
"From The Start","Laufey",""
"Tattoo","Loreen",""
"SPACE MAN","Sam Ryder",""
"Think About Things","Daði Freyr",""
"Miracle","Calvin Harris & Ellie Goulding",""
"(It Goes Like) Nanana","Peggy Gou",""
"Remember","Becky Hill & David Guetta",""
"I Don't Wanna Wait","David Guetta & OneRepublic",""
"Whatever","Kygo & Ava Max",""
"Paradise","MEDUZA feat. Dermot Kennedy",""
"Tick Tock","Clean Bandit & Mabel feat. 24kGoldn",""
"Your Love (9PM)","ATB, Topic & A7S",""
"Hypnotized","Purple Disco Machine & Sophie and the Giants",""
"Love Again","The Kid LAROI",""
"Kiss Me","Dermot Kennedy",""
"Wish You The Best","Lewis Capaldi",""
"Ordinary","Alex Warren",""
"Carry You Home","Alex Warren",""
"Good News","Shaboozey",""
"Love Me Not","Ravyn Lenae",""
"Abracadabra","Lady Gaga",""
"Man I Need","Olivia Dean",""
"How You Like That","BLACKPINK",""
"Pink Venom","BLACKPINK",""
"Cupid","FIFTY FIFTY",""
"Super Shy","NewJeans",""
"OMG","NewJeans",""
"The Feels","TWICE",""
"After LIKE","IVE",""
"Perfect Night","LE SSERAFIM",""
"Magnetic","ILLIT",""
"Supernova","aespa",""
"Permission to Dance","BTS",""
"Standing Next to You","Jung Kook",""
"Touch","KATSEYE",""
"Golden","HUNTR/X",""
"Soda Pop","Saja Boys",""
"Your Idol","Saja Boys",""
"Lift Me Up","Rihanna",""
"I'm Just Ken","Ryan Gosling",""
"Can't Catch Me Now","Olivia Rodrigo",""
"Defying Gravity","Cynthia Erivo feat. Ariana Grande",""
"Surface Pressure","Jessica Darrow",""
"Beyond","Auli'i Cravalho",""
"Ma Meilleure Ennemie","Stromae & Pomme",""
"This Is Why","Paramore",""
"ONE MORE TIME","blink-182",""
"Caution","The Killers",""
"Love From The Other Side","Fall Out Boy",""
"Rescued","Foo Fighters",""
"BRIGHTSIDE","The Lumineers",""
"Shy Away","Twenty One Pilots",""
"The American Dream Is Killing Me","Green Day",""
"THE LONELIEST","Måneskin",""
"Little Bit of Love","Tom Grennan",""
"Fancy Like","Walker Hayes",""
"Buy Dirt","Jordan Davis feat. Luke Bryan",""
"Heart Like a Truck","Lainey Wilson",""
"Watermelon Moonshine","Lainey Wilson",""
"Need a Favor","Jelly Roll",""
"Save Me","Jelly Roll feat. Lainey Wilson",""
"Rock and a Hard Place","Bailey Zimmerman",""
"Where It Ends","Bailey Zimmerman",""
"Can't Have Mine","Dylan Scott",""
"Wild as Her","Corey Kent",""
"Take My Name","Parmalee",""
"White Horse","Chris Stapleton",""
"The Painter","Cody Johnson",""
"I Was on a Boat That Day","Old Dominion",""
"One Margarita","Luke Bryan",""
"Like I Love Country Music","Kane Brown",""
"Sounds Like the Radio","Zach Top",""
"I Never Lie","Zach Top",""
"Austin (Boots Stop Workin')","Dasha",""
"Ain't in Kansas Anymore","Miranda Lambert",""
"Tennessee Orange","Megan Moroney",""
"Pretty Little Poison","Warren Zeiders",""
"What's Your Country Song","Thomas Rhett",""
"23","Sam Hunt",""
"HEARTFIRST","Kelsea Ballerini",""
"Burn It Down","Parker McCollum",""
"Dancin' in the Country","Tyler Hubbard",""
"Todo de Ti","Rauw Alejandro",""
"Tacones Rojos","Sebastián Yatra",""
"Vida de Rico","Camilo",""
"Índigo","Camilo & Evaluna Montaner",""
"La Bachata","Manuel Turizo",""
"Monotonía","Shakira & Ozuna",""
"Ella Baila Sola","Eslabon Armado & Peso Pluma",""
