"i like the way you kiss me","Artemas",""
"Hell N Back (feat. Summer Walker)","Bakar",""
"Slow It Down","Benson Boone",""
"My Kink Is Karma","Chappell Roan",""
"Think I'm In Love With You","Chris Stapleton",""
"Juna","Clairo",""
"I'm Gonna Love You","Cody Johnson",""
"Bigger Houses","Dan + Shay",""
"Bye Bye Bye","Dasha",""
"Boys Back Home","Dylan Marlowe",""
"you look like you love me","Ella Langley",""
"Cowboy Songs","George Birge",""
"Home","Good Neighbours",""
"That’s So True","Gracie Abrams",""
"Save Me (with Lainey Wilson)","Jelly Roll",""
"Liar","Jelly Roll",""
"Who","Jimin",""
"Slow Motion","Jonah Marais",""
"I Ain't Sayin'","Jordan Davis",""
"Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini",""
"High Road","Koe Wetzel",""
"4x4xU","Lainey Wilson",""
"Messy","Lola Young",""
"Ain't No Love In Oklahoma (From Twisters: The Album)","Luke Combs",""
"Lonely Road","Machine Gun Kelly",""
"make you mine","Madison Beer",""
"If We Ever Broke Up","Mae Stephens",""
"Belong Together","Mark Ambor",""
"Miles On It","Marshmello",""
"Am I Okay?","Megan Moroney",""
"Criminals","Meghan Trainor",""
"Scared To Start","Michael Marcagi",""
"My Love Mine All Mine","Mitski",""
"Love Somebody","Morgan Wallen",""
"Cowgirls","Morgan Wallen",""
"Not My Fault","Reneé Rapp",""
"Pretty Girls","Reneé Rapp",""
"Damn Good Day To Leave","Riley Green",""
"Indigo (feat. Avery Anna)","Sam Barber",""
"I Think I Like You","The Band Camino",""
"10:35","Tiësto",""
"How Does It Feel","Tom Grennan",""
"On My Mama","Victoria Monét",""
"Pink Skies","Zach Bryan",""
