"abcdefu","GAYLE",""
"All Too Well (10 Minute Version)","Taylor Swift",""
"Beautiful Things","Benson Boone",""
"Beggin'","Måneskin",""
"Big Energy","Latto",""
"Boy's a Liar Pt. 2","PinkPantheress & Ice Spice",""
"Calm Down","Rema & Selena Gomez",""
"Ceilings","Lizzy McAlpine",""
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa",""
"Daylight","David Kushner",""
"Despechá","ROSALÍA",""
"Easy on Me","Adele",""
"Enemy","Imagine Dragons & JID",""
"Essence","Wizkid feat. Tems",""
"Fast Car","Luke Combs",""
"First Class","Jack Harlow",""
"Fortnight","Taylor Swift feat. Post Malone",""
"Friday","Riton & Nightcrawlers feat. Mufasa & Hypeman",""
"Golden Hour","JVKE",""
"Heartbreak Anniversary","Giveon",""
"Houdini","Eminem",""
"I Ain't Worried","OneRepublic",""
"I Can See You","Taylor Swift",""
"I Like You (A Happier Song)","Post Malone feat. Doja Cat",""
"I'm Good (Blue)","David Guetta & Bebe Rexha",""
"Industry Baby","Lil Nas X feat. Jack Harlow",""
"Jiggle Jiggle","Duke & Jones & Louis Theroux",""
"Last Night","Morgan Wallen",""
"Late Night Talking","Harry Styles",""
"Left and Right","Charlie Puth feat. Jung Kook",""
"Lil Boo Thang","Paul Russell",""
"Made You Look","Meghan Trainor",""
"Makeba","Jain",""
"Man Made a Bar","Morgan Wallen feat. Eric Church",""
"Mamushi","Megan Thee Stallion feat. Yuki Chiba",""
"Moth to a Flame","Swedish House Mafia & The Weeknd",""
"My Universe","Coldplay & BTS",""
"Need to Know","Doja Cat",""
"Never Gonna Not Dance Again","P!nk",""
"Paint the Town Red","Doja Cat",""
"Pedro","Jaxomy, Agatino Romero & Raffaella Carrà",""
"Players","Coi Leray",""
"Point and Kill","Little Simz feat. Obongjayar",""
"Princess Diana","Ice Spice & Nicki Minaj",""
"Rich Men North of Richmond","Oliver Anthony Music",""
"Running Up That Hill (A Deal with God)","Kate Bush",""
"Seven","Jung Kook feat. Latto",""
"Si Antes Te Hubiera Conocido","KAROL G",""
"Stick Season","Noah Kahan",""
"Sweetest Pie","Megan Thee Stallion & Dua Lipa",""
"Thank God","Kane Brown & Katelyn Brown",""
"That's What I Want","Lil Nas X",""
"The Door","Teddy Swims",""
"The Emptiness Machine","Linkin Park",""
"The Kind of Love We Make","Luke Combs",""
"Too Sweet","Hozier",""
"Unholy","Sam Smith & Kim Petras",""
"Until I Found You","Stephen Sanchez",""
"Vampire","Olivia Rodrigo",""
"Victoria's Secret","Jax",""
"Wasted on You","Morgan Wallen",""
"Water","Tyla",""
"Where Are You Now","Lost Frequencies & Calum Scott",""
"Wild Ones","Jessie Murph & Jelly Roll",""
"World on Fire","Nate Smith",""
"Yes, And?","Ariana Grande",""
"You Broke Me First","Tate McRae",""
"You Right","Doja Cat & The Weeknd",""
"Flowers","Miley Cyrus",""
"Boyfriend","Dove Cameron",""
"About Damn Time","Lizzo",""
"Super Freaky Girl","Nicki Minaj",""
"Anti-Hero","Taylor Swift",""
"Bad Habit","Steve Lacy",""
"Vegas","Doja Cat",""
"Sunroof","Nicky Youre & dazy",""
"Victoria","Thomas Headon",""
"Escapism.","RAYE feat. 070 Shake",""
"Made for Me","Muni Long",""
"Lovin on Me","Jack Harlow",""
"Agora Hills","Doja Cat",""
"Greedy","Tate McRae",""
"One of the Girls","The Weeknd, JENNIE & Lily-Rose Depp",""
"End of Beginning","Djo",""
"Beautiful Things","Benson Boone",""
"Good Luck, Babe!","Chappell Roan",""
"Espresso","Sabrina Carpenter",""
"Please Please Please","Sabrina Carpenter",""
"Birds of a Feather","Billie Eilish",""
"Die with a Smile","Lady Gaga & Bruno Mars",""
"Not Like Us","Kendrick Lamar",""
"A Bar Song (Tipsy)","Shaboozey",""
"Million Dollar Baby","Tommy Richman",""
"APT.","ROSÉ & Bruno Mars",""
"Pink Pony Club","Chappell Roan",""
"Too Sweet","Hozier",""
"Texas Hold 'Em","Beyoncé",""
"I Had Some Help","Post Malone feat. Morgan Wallen",""
"Stargazing","Myles Smith",""
"Apple","Charli xcx",""
