"The Brady Bunch","The Brady Bunch Kids","The Brady Bunch"
"Green Acres","Eddie Albert & Eva Gabor","Green Acres"
"(Theme From) The Monkees","The Monkees","The Monkees"
"The Munsters Theme","Jack Marshall","The Munsters"
"Bonanza","David Rose","Bonanza"
"Hogan's Heroes March","Jerry Fielding","Hogan's Heroes"
"Little House on the Prairie","David Rose","Little House on the Prairie"
"The Streetbeater","Quincy Jones","Sanford and Son"
"Those Were the Days","Carroll O'Connor & Jean Stapleton","All in the Family"
"It Takes Diff'rent Strokes","Alan Thicke","Diff'rent Strokes"
"The Facts of Life","Gloria Loring","The Facts of Life"
"Saved by the Bell","Michael Damian","Saved by the Bell"
"As Days Go By","Jesse Frederick","Family Matters"
"Second Time Around","Jesse Frederick & Teresa James","Step by Step"
"Nothing's Gonna Stop Me Now","David Pomeranz","Perfect Strangers"
"Charles in Charge","Shandi Sinnamon","Charles in Charge"
"My Opinionation","Dr. John","Blossom"
"With a Little Help from My Friends","Joe Cocker","The Wonder Years"
"Superman","Lazlo Bane","Scrubs"
"The Office Theme","The Scrantones","The Office"
"Frolic","Luciano Michelini","Curb Your Enthusiasm"
"Arrested Development Main Title","David Schwartz","Arrested Development"
"It's a Jungle Out There","Randy Newman","Monk"
"Teardrop","Massive Attack","House"
"Who Are You","The Who","CSI: Crime Scene Investigation"
"Won't Get Fooled Again","The Who","CSI: Miami"
"Baba O'Riley","The Who","CSI: NY"
"NCIS Main Theme","Numeriklab","NCIS"
"Scooby-Doo, Where Are You!","Larry Marks","Scooby-Doo, Where Are You!"
"DuckTales Theme","Jeff Pescetto","DuckTales"
"Teenage Mutant Ninja Turtles Theme","Dennis C. Brown & Chuck Lorre","Teenage Mutant Ninja Turtles"
"Pokémon Theme","Jason Paige","Pokémon"
"Animaniacs","Animaniacs Cast","Animaniacs"
"Go Go Power Rangers","Ron Wasserman","Mighty Morphin Power Rangers"
"Believe in Yourself","Ziggy Marley and the Melody Makers","Arthur"
"Blue's Clues Theme Song","Steve Burns","Blue's Clues"
"Rugrats Theme","Mark Mothersbaugh","Rugrats"
"Hey Arnold! Theme","Jim Lang","Hey Arnold!"
"Doug Theme","Fred Newman","Doug"
"Ride on the Magic School Bus","Little Richard","The Magic School Bus"
"Goosebumps Theme","Jack Lenz","Goosebumps"
"Star Trek: The Next Generation Main Title","Jerry Goldsmith","Star Trek: The Next Generation"
"The Twilight Zone Theme","Marius Constant","The Twilight Zone"
"Doctor Who Theme","Ron Grainer","Doctor Who"
"Battlestar Galactica Main Title","Bear McCreary","Battlestar Galactica"
"Save Me","Remy Zero","Smallville"
"How Soon Is Now?","Love Spit Love","Charmed"
"The Ballad of Serenity","Sonny Rhodes","Firefly"
"I'm Always Here","Jimi Jamison","Baywatch"
"The A-Team Theme","Mike Post & Pete Carpenter","The A-Team"
