"Main Title Theme","Ramin Djawadi","House of the Dragon"
"Succession Main Title Theme","Nicholas Britell","Succession"
"Main Title Theme","Max Richter","The Leftovers"
"Main Title Theme","Mac Quayle","Mr. Robot"
"Main Title Theme","David Wingo","Barry"
"Main Title Theme","Jeff Russo","The Night Of"
"Main Title Theme","Nathan Barr","The Americans"
"Main Title Theme","Cliff Martinez","The Knick"
"Main Title Theme","Martin Phipps","The Crown"
"Main Title Theme","Nicholas Britell","Andor"
"Ahsoka Main Title","Kevin Kiner","Ahsoka"
"Obi-Wan","Natalie Holt","Obi-Wan Kenobi"
"Loki Green Theme","Natalie Holt","Loki"
"Moon Knight","Hesham Nazih","Moon Knight"
"Ms. Marvel Suite","Laura Karpman","Ms. Marvel"
"Hawkeye's Theme","Christophe Beck & Michael Paraskevas","Hawkeye"
"Agatha All Along","Kristen Anderson-Lopez & Robert Lopez","WandaVision"
"Main on End","Christophe Beck","Ant-Man and the Wasp: Quantumania"
"Main Title","Bear McCreary","The Lord of the Rings: The Rings of Power"
"Foundation Main Title","Bear McCreary","Foundation"
"Silo Main Title","Atli Örvarsson","Silo"
"For All Mankind Main Title","Jeff Russo","For All Mankind"
"Raised by Wolves Main Title","Ben Frost & Mariam Wallentin","Raised by Wolves"
"Dark Main Theme","Apparat","Dark"
"Goodbye","Apparat","Dark"
"My Life Is Going On","Cecilia Krull","Money Heist"
"Main Title","Jung Jae-il","Squid Game"
"Theme from Lupin","Mathieu Lamboley","Lupin"
"Skye Boat Song","Bear McCreary feat. Raya Yarbrough","Outlander"
"Warrior Main Title Theme","H. Scott Salinas","Warrior"
"Way Down in the Hole","The Blind Boys of Alabama","The Wire"
"Firefly Main Title","Sonny Rhodes","Firefly"
"Main Title Theme","Jeff Russo","Star Trek: Discovery"
"Main Title Theme","Jeff Russo","Star Trek: Picard"
"Main Title Theme","Nami Melumad","Star Trek: Strange New Worlds"
"Main Title Theme","Chris Westlake","Star Trek: Lower Decks"
"Bob's Burgers Theme","Loren Bouchard","Bob's Burgers"
"Rick and Morty Theme","Ryan Elder","Rick and Morty"
"Archer Theme","J.G. Thirlwell","Archer"
"BoJack's Theme","Patrick Carney feat. Ralph Carney","BoJack Horseman"
"Bluey Theme Tune","Joff Bush","Bluey"
"We Bare Bears Theme","Estelle","We Bare Bears"
"Adventure Time Theme","Pendleton Ward","Adventure Time"
"Everything Stays","Olivia Olson","Adventure Time"
"Steven Universe Theme","Steven Universe Cast","Steven Universe"
"Gravity Falls Main Title Theme","Brad Breeck","Gravity Falls"
"Unbreakable","Jeff Richmond","Unbreakable Kimmy Schmidt"
"Good Enough","Maisie Music Publishing","The Good Place"
"Only Murders in the Building Main Title","Siddhartha Khosla","Only Murders in the Building"
"Big Little Lies Main Title Theme","Michael Kiwanuka","Big Little Lies"
