DeezerId,Title,Artist,Album,Source
"969252","Ghostbusters (from the ""Ghostbusters"" Original Motion Picture Soundtrack)","Ray Parker Jr.","","Ghostbusters"
"471585092","The Heat Is On (From ""Beverly Hills Cop"" Soundtrack)","Glenn Frey","","Beverly Hills Cop"
"468253402","Unchained Melody","The Righteous Brothers","","Ghost"
"78033230","Oh, Pretty Woman","Roy Orbison","","Pretty Woman"
"568115892","Bohemian Rhapsody (2011 Remaster)","Queen","","Wayne's World"
"1151503","Tiny Dancer","Elton John","","Almost Famous"
"75782372","You've Lost That Lovin' Feelin' (Re-Recorded In Stereo)","The Righteous Brothers","","Top Gun"
"7680019","Misirlou","Dick Dale and His Del-Tones","","Pulp Fiction"
"125978155","Girl, You'll Be a Woman Soon","Urge Overkill","","Pulp Fiction"
"646290952","You Never Can Tell","Chuck Berry","","Pulp Fiction"
"4306166","Son of a Preacher Man","Dusty Springfield","","Pulp Fiction"
"107308536","In Your Eyes","Peter Gabriel","","Say Anything"
"6069361","Raindrops Keep Fallin' on My Head (Rerecorded)","B.J. Thomas","","Butch Cassidy and the Sundance Kid"
"417842972","Everybody's Talkin' (From ""Midnight Cowboy"")","Harry Nilsson","","Midnight Cowboy"
"4290138","Iris","The Goo Goo Dolls","","City of Angels"
"983832","A Thousand Miles","Vanessa Carlton","","White Chicks"
"116348340","Twist And Shout (Remastered 2009)","The Beatles","","Ferris Bueller's Day Off"
"540202122","Born To Be Wild","Steppenwolf","","Easy Rider"
"2548061582","Old Time Rock & Roll","Bob Seger & The Silver Bullet Band","","Risky Business"
"851871","Shout, Pts. 1 & 2","The Isley Brothers","","Animal House"
"540168502","Maniac","Michael Sembello","","Flashdance"
"93592720","(I've Had) The Time Of My Life (theme from the motion picture ""Dirty Dancing"")","Bill Medley","","Dirty Dancing"
"1562418","Do You Love Me (Mono Single)","The Contours","","Dirty Dancing"
"60020871","Love Is Strange","Mickey & Sylvia","","Dirty Dancing"
"12809317","Be My Baby","The Ronettes","","Dirty Dancing"
"372714321","Goodbye Horses - Single","Q Lazzarus","","The Silence of the Lambs"
"588236252","American Girl","Tom Petty And The Heartbreakers","","The Silence of the Lambs"
"10101850","Layla","Derek & The Dominos","","Goodfellas"
"12809347","Then He Kissed Me","The Crystals","","Goodfellas"
"9914834","Gimme Shelter","The Rolling Stones","","Goodfellas"
"2061076857","Sweet Emotion","Aerosmith","","Dazed and Confused"
"366455951","Lust For Life","Iggy Pop","","Trainspotting"
"82265248","Born Slippy (Nuxx)","Underworld","","Trainspotting"
"78479821","Just Dropped In (To See What Condition My Condition Is In)","Kenny Rogers & The First Edition","","The Big Lebowski"
"56890761","The Man in Me","Bob Dylan","","The Big Lebowski"
"1559555","Sister Christian","Night Ranger","","Boogie Nights"
"568116192","Don't Stop Me Now (…revisited)","Queen","","Shaun of the Dead"
"917717","All Star","Smash Mouth","","Shrek"
"145425722","Accidentally In Love (From ""Shrek 2"" Soundtrack)","Counting Crows","","Shrek 2"
"7375715","Send Me On My Way","Rusted Root","","Matilda"
"3786149242","What Is Love (7” Mix)","Haddaway","","A Night at the Roxbury"
"9036712","Scotty Doesn't Know","Lustra","","EuroTrip"
"626417","Men In Black (From ""Men In Black"" Soundtrack)","Will Smith","","Men in Black"
"1584416372","Gangsta's Paradise","Coolio","","Dangerous Minds"
"538643262","My Girl","The Temptations","","My Girl"
"696962792","You've Got a Friend in Me","Randy Newman","","Toy Story"
"1377537512","I'll Make a Man Out of You","Donny Osmond","","Mulan"
"1061381302","Reflection (2020) (From ""Mulan"")","Christina Aguilera","","Mulan"
"3262888931","When She Loved Me (From ""Toy Story 2"" / Soundtrack Version)","Sarah McLachlan","","Toy Story 2"
"548871692","Over The Rainbow","Judy Garland","","The Wizard of Oz"
"3813527512","Moon River / Audrey’s Letter","Henry Mancini","","Breakfast at Tiffanys"
"2122407","Pure Imagination (From ""Willy Wonka & The Chocolate Factory"" Soundtrack)","Gene Wilder","","Willy Wonka and the Chocolate Factory"
"139138743","Stayin Alive","Bee Gees","","Saturday Night Fever"
"139138751","Night Fever (From ""Saturday Night Fever"" Soundtrack)","Bee Gees","","Saturday Night Fever"
"2412094","The Time Warp (Remix 1989 Extended Version)","Richard O'Brien","","The Rocky Horror Picture Show"
"647797132","Fame","Irene Cara","","Fame"
"992937","9 to 5","Dolly Parton","","9 to 5"
"134036426","Against All Odds (Take a Look at Me Now) (2016 Remaster)","Phil Collins","","Against All Odds"
