Position,Title,Artist,Album,DeezerId,Rank,PopularityTier,ArtistCount,ArtistOverRepresented,DurationSec,HasPreview,Explicit,IsExactDup,NearDupOfPosition,Recommendation,Reason,PreviewUrl
"41","Take on Me","a-ha","Hunting High and Low","664107","988080","Top 25%","2","false","227","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/b/1/9/0/b19c969e9d7193a3fa7e5880fed2aefb.mp3?hdnea=exp=1781147012~acl=/api/1/1/b/1/9/0/b19c969e9d7193a3fa7e5880fed2aefb.mp3*~data=user_id=0,application_id=42~hmac=283882f401477d292958b6532ec1efd4187d6fd81a3bda7d510d201cdfcec1ef"
"181","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition","555639","973665","Top 25%","8","false","358","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/3/8/3/0/3832b349ee4d8b66f6022bc99dcca300.mp3?hdnea=exp=1781147012~acl=/api/1/1/3/8/3/0/3832b349ee4d8b66f6022bc99dcca300.mp3*~data=user_id=0,application_id=42~hmac=de915b9f235891c7d376ed589911abfa6afe80df29a22d37c8f4d14b969a4d81"
"9","Billie Jean","Michael Jackson","Michael Jackson's This Is It","4603408","971418","Top 25%","8","false","293","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/e/6/e/0/e6e0f8717b1e6353e2abf797c6849889.mp3?hdnea=exp=1781147012~acl=/api/1/1/e/6/e/0/e6e0f8717b1e6353e2abf797c6849889.mp3*~data=user_id=0,application_id=42~hmac=d8787f666dfc7a2093fd02cd7e5ed7a71166f8cdeb88e3b76001d08770d69810"
"29","Back In Black","AC/DC","Back In Black","92720046","966294","Top 25%","5","false","253","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3?hdnea=exp=1781147012~acl=/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3*~data=user_id=0,application_id=42~hmac=b049ef8f53dbed33e1e646bd748dfcc874223e665411594859a307b2687c1c35"
"17","Sweet Dreams (Are Made of This) (2005 Remaster)","Eurythmics","Sweet Dreams (Are Made Of This)","561836","963940","Top 25%","3","false","216","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/c/7/6/0/c762b853f6084e40164035a67f8c2e67.mp3?hdnea=exp=1781147012~acl=/api/1/1/c/7/6/0/c762b853f6084e40164035a67f8c2e67.mp3*~data=user_id=0,application_id=42~hmac=bbbc4aedd16e5f17095dbb9701c1c7fbfe8242c1bafea4ac6a98f656c06b0492"
"238","Enjoy the Silence","Depeche Mode","The Singles 86-98","68515055","963501","Top 25%","5","false","255","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/3/1/8/0/31846ff196abfab51bc630657b6524f7.mp3?hdnea=exp=1781147013~acl=/api/1/1/3/1/8/0/31846ff196abfab51bc630657b6524f7.mp3*~data=user_id=0,application_id=42~hmac=458de61a59427c07a64b530f02cc53e1bb5ab1ab9c5b55434f758ee4584794f8"
"143","Dancing Queen","ABBA","ABBA Gold","884025","954438","Top 25%","2","false","231","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/9/1/6/0/916f7137187790e999bc66e6460c07b2.mp3?hdnea=exp=1781147012~acl=/api/1/1/9/1/6/0/916f7137187790e999bc66e6460c07b2.mp3*~data=user_id=0,application_id=42~hmac=da825118cb7c2179b5d6ce2134ea379c7f5aab54695a82eb40da12fdfcd6ba55"
"62","Thunderstruck","AC/DC","The Razors Edge","92720102","950981","Top 25%","5","false","292","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/1/1/1/0/1117489d36f3a1a80c8815c1137747a9.mp3?hdnea=exp=1781147012~acl=/api/1/1/1/1/1/0/1117489d36f3a1a80c8815c1137747a9.mp3*~data=user_id=0,application_id=42~hmac=2d3ae7dc50d758548c55c44ad0a09a2788e8f44f2b495f7ecf86f3bf86f0baed"
"15","Everybody Wants To Rule The World","Tears For Fears","Classic 80's","2234314","946302","Top 25%","6","false","251","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/f/2/a/0/f2af6fb99f6ccecb8df79b4a06bd6aab.mp3?hdnea=exp=1781147012~acl=/api/1/1/f/2/a/0/f2af6fb99f6ccecb8df79b4a06bd6aab.mp3*~data=user_id=0,application_id=42~hmac=1647fa44d678a7051218b753b7f169ad7ba130a9dac81621ea578aa543e5bbaf"
"215","La Isla Bonita","Madonna","True Blue","678372","943913","Top 25%","13","false","242","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/5/1/f/0/51f71747bb538c3d878471af19512df2.mp3?hdnea=exp=1781147013~acl=/api/1/1/5/1/f/0/51f71747bb538c3d878471af19512df2.mp3*~data=user_id=0,application_id=42~hmac=1680dff414d03811f82cd46af481c7f141fc559796e95e7fa18c250cd8e23c5a"
"78","With Or Without You (Remastered 2007)","U2","The Joshua Tree","912486","942091","Top 25%","6","false","295","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/0/8/e/0/08ee0283f63e8754d8be41fda4274717.mp3?hdnea=exp=1781147012~acl=/api/1/1/0/8/e/0/08ee0283f63e8754d8be41fda4274717.mp3*~data=user_id=0,application_id=42~hmac=00c2167ca0ada8166f44bc53518755eb3cb4c1cc9e51348fbd107448795d1070"
"520","I'm Still Standing","Elton John","Too Low For Zero","1171163","941588","Top 25%","3","false","183","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/4/c/7/0/4c73011f100bfabc80faf753149058b4.mp3?hdnea=exp=1781147015~acl=/api/1/1/4/c/7/0/4c73011f100bfabc80faf753149058b4.mp3*~data=user_id=0,application_id=42~hmac=6185abbfa914cf983fac538e84216853b533e1ac21e332d1600fd0ff79d36c4d"
"2","Africa","Toto","Toto IV","1079668","933968","Top 25%","2","false","296","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/d/4/6/0/d46762f2025f13175f2fd2c062b46182.mp3?hdnea=exp=1781147012~acl=/api/1/1/d/4/6/0/d46762f2025f13175f2fd2c062b46182.mp3*~data=user_id=0,application_id=42~hmac=3e2c7e52e5a19c4b531efe806da7f2d1e1eb948f7c5f219b8e4eacc9fda7a48f"
