Title,Artist,DeezerId,Rank,CutReason,CutStage
"1979","The Smashing Pumpkins","7753178","17130","No preview URL","Hard cut"
"3AM (2007 Remaster)","Matchbox Twenty","6640024","201563","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Adia","Sarah McLachlan","70222316","177918","Below rank cutoff (target 400, this was rank-position 403)","Tail cut"
"All By Myself","Céline Dion","2850969212","329846","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"All For You (Album Version)","Sister Hazel","15985953","18495","No preview URL","Hard cut"
"All That She Wants","Ace of Base","19271671","7763","No preview URL","Hard cut"
"Allison Road","Gin Blossoms","2447673","172268","Below rank cutoff (target 400, this was rank-position 405)","Tail cut"
"Amphetamine","Everclear","3457932","20874","No preview URL","Hard cut"
"Are You That Somebody","Aaliyah","1471048742","21850","No preview URL","Hard cut"
"Be My Lover","La Bouche","1008557","1068","No preview URL","Hard cut"
"Better Off Alone","Alice Deejay","397348692","18188","No preview URL","Hard cut"
"Bitter Sweet Symphony","The Verve","432946922","779082","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Black or White (Single Version)","Michael Jackson","13129208","821006","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Blue (Da Ba Dee)","Eiffel 65","88825391","2224","Below rank cutoff (target 400, this was rank-position 419)","Tail cut"
"Building a Mystery","Sarah McLachlan","2483966","117369","Below rank cutoff (target 400, this was rank-position 411)","Tail cut"
"C'Est La Vie (Album Version)","B*Witched","14408122","183424","Below rank cutoff (target 400, this was rank-position 401)","Tail cut"
"Can I Kick It?","A Tribe Called Quest","112658750","157","No preview URL","Hard cut"
"Cannonball","The Breeders","939194","6152","No preview URL","Hard cut"
"Champagne Supernova","Oasis","74173011","24902","No preview URL","Hard cut"
"Closing Time","Semisonic","2285896","435366","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Come As You Are","Nirvana","121629010","69297","Below rank cutoff (target 400, this was rank-position 413)","Tail cut"
"Come Baby Come (LP Version)","K7","754271","425","No preview URL","Hard cut"
"Cornflake Girl","Tori Amos","-2656343202","0","No preview URL","Hard cut"
"Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla","115706386","14744","No preview URL","Hard cut"
"Creep","Radiohead","3129324","8792","No preview URL","Hard cut"
"Criminal","Fiona Apple","10391932","9004","No preview URL","Hard cut"
"Crush","Jennifer Paige","65656392","18034","No preview URL","Hard cut"
"Cryin'","Aerosmith","916334","11574","No preview URL","Hard cut"
"December","Collective Soul","6523533","3079","No preview URL","Hard cut"
"Don't Speak","No Doubt","1176787","10006","No preview URL","Hard cut"
"Doo Wop (That Thing)","Lauryn Hill","2450613","7782","No preview URL","Hard cut"
"Dreams","Gabrielle","1126142","11564","No preview URL","Hard cut"
"Drive","Incubus","860519","6949","No preview URL","Hard cut"
"Enter Sandman (LP Version)","Metallica","14632274","3830","No preview URL","Hard cut"
"Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys","605957","11538","No preview URL","Hard cut"
"Everybody Everybody (Le Freak Album Mix)","Black Box","15670645","74","No preview URL","Hard cut"
"Fantasy","Mariah Carey","618428","1239","No preview URL","Hard cut"
"Father Of Mine","Everclear","142835162","22281","No preview URL","Hard cut"
"Flagpole Sitta","Harvey Danger","3599529","17914","Below rank cutoff (target 400, this was rank-position 417)","Tail cut"
"Flower (B-Sides)","Moby","74894818","6977","No preview URL","Hard cut"
"Fly","Sugar Ray","756280","21430","No preview URL","Hard cut"
"Foolish Games","Jewel","616289972","7814","No preview URL","Hard cut"
"Forgot About Dre","Dr. Dre","1579480","11634","No preview URL","Hard cut"
"Found Out About You","Gin Blossoms","115706364","11557","No preview URL","Hard cut"
"Freedom! '90 (Edit)","George Michael","414746222","232011","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Friday I'm in Love","The Cure","73527394","2225","No preview URL","Hard cut"
"From This Moment On","Shania Twain","7442356","17702","No preview URL","Hard cut"
"Fu-Gee-La","Fugees","1016290","6904","No preview URL","Hard cut"
"Gangsta's Paradise","Coolio","409962492","11578","No preview URL","Hard cut"
"Genie in a Bottle","Christina Aguilera","964342","7848","No preview URL","Hard cut"
"Glycerine (2014 Remastered)","Bush","424502802","893","No preview URL","Hard cut"
"Good","Better Than Ezra","748936","21127","No preview URL","Hard cut"
"Groove Is in the Heart","Deee-Lite","3601752","2688","No preview URL","Hard cut"
"Gypsy Woman (She's Homeless) (Basement Boy Strip To The Bone Mix)","Crystal Waters","18050343","2808","No preview URL","Hard cut"
"Hand in My Pocket","Alanis Morissette","776489","174506","Below rank cutoff (target 400, this was rank-position 404)","Tail cut"
"He Wasn't Man Enough","Toni Braxton","567649","17209","No preview URL","Hard cut"
"Hello Time Bomb","Matthew Good Band","19896891","1183","No preview URL","Hard cut"
"Here Comes The Hotstepper (Heartical Mix)","Ini Kamoze","82622012","138361","Below rank cutoff (target 400, this was rank-position 408)","Tail cut"
"Hip Hop Hooray (LP Version)","Naughty By Nature","757085","1626","No preview URL","Hard cut"
"Hook","Blues Traveler","76025739","7899","No preview URL","Hard cut"
"I Knew I Loved You","Savage Garden","532605","47901","Below rank cutoff (target 400, this was rank-position 415)","Tail cut"
"I Swear","All-4-One","764382","8835","No preview URL","Hard cut"
"I Think I'm Paranoid","Garbage","17932117","10197","No preview URL","Hard cut"
"I Try","Macy Gray","82303026","3391","No preview URL","Hard cut"
"I'll Be","Edwin McCain","749330","20750","No preview URL","Hard cut"
"If I Let You Go (Radio Edit)","Westlife","959916","26509","No preview URL","Hard cut"
"In the Aeroplane Over the Sea","Neutral Milk Hotel","17128362","7766","No preview URL","Hard cut"
"Ironic (Album Version)","Alanis Morissette","776541","181471","Below rank cutoff (target 400, this was rank-position 402)","Tail cut"
"It Feels So Good","Sonique","582327622","27631","No preview URL","Hard cut"
"It's All Coming Back to Me Now","Céline Dion","15637440","2591","No preview URL","Hard cut"
"It's My Life","Dr. Alban","1048727","11678","No preview URL","Hard cut"
"It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","3128067","10922","No preview URL","Hard cut"
"Jump Around (LP Version)","House Of Pain","751867","7889","No preview URL","Hard cut"
"Just A Girl","No Doubt","1176775","2769","No preview URL","Hard cut"
"Karma Police","Radiohead","3166869","1620","No preview URL","Hard cut"
"Killing Me Softly With His Song","Fugees","1024973","17998","No preview URL","Hard cut"
"King of Carrot Flowers Pt. 1","Neutral Milk Hotel","17128360","7831","No preview URL","Hard cut"
"Learning To Fly","Tom Petty And The Heartbreakers","2171505","10337","No preview URL","Hard cut"
"Lightning Crashes","Live","89603327","2377","No preview URL","Hard cut"
"Linger","The Cranberries","1137657","329361","No preview URL","Hard cut"
"Loser","Beck","1155108","7781","No preview URL","Hard cut"
"Lullaby","Shawn Mullins","6403498","126246","Below rank cutoff (target 400, this was rank-position 409)","Tail cut"
"Lump","The Presidents of the United States of America","10958802","2775","No preview URL","Hard cut"
"Mambo No. 5 (A Little Bit of...)","Lou Bega","994493","9039","Below rank cutoff (target 400, this was rank-position 418)","Tail cut"
"Man! I Feel Like A Woman!","Shania Twain","7442363","11623","No preview URL","Hard cut"
"Mind Playing Tricks on Me","Geto Boys","70816229","1802","No preview URL","Hard cut"
"Missing","Everything But The Girl","400190542","21587","No preview URL","Hard cut"
"Missing","Everything But The Girl","400190282","845","No preview URL","Hard cut"
"Mmm Mmm Mmm Mmm","Crash Test Dummies","6075100","10243","No preview URL","Hard cut"
"Motorcycle Drive By","Third Eye Blind","72059910","158707","Below rank cutoff (target 400, this was rank-position 407)","Tail cut"
"Mr. Vain","Culture Beat","29794781","589048","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"My Lovin' (You're Never Gonna Get It) (LP Version)","En Vogue","727373","43","No preview URL","Hard cut"
"Natural Blues","Moby","74894807","10058","No preview URL","Hard cut"
"Nothing Compares 2 U","Sinéad O'Connor","3100405","11691","No preview URL","Hard cut"
"Nuthin' But A ""G"" Thang","Dr. Dre","921382112","25513","No preview URL","Hard cut"
"O.P.P","Naughty By Nature","409962232","4537","No preview URL","Hard cut"
"Only Happy When It Rains","Garbage","69000158","1315","No preview URL","Hard cut"
"Out Of My Head","Fastball","75778999","1799","Below rank cutoff (target 400, this was rank-position 420)","Tail cut"
"Party Up (Up In Here)","DMX","108660086","11496","No preview URL","Hard cut"
"Poison","Bell Biv DeVoe","8082245","11531","No preview URL","Hard cut"
"Porcelain","Moby","74894802","21755","No preview URL","Hard cut"
"Praise You","Fatboy Slim","69743350","13153","No preview URL","Hard cut"
"Rhythm Is A Dancer (Edit)","SNAP!","434215202","7893","No preview URL","Hard cut"
"Right Here, Right Now (Single Version)","Fatboy Slim","131196096","22421","No preview URL","Hard cut"
"Santeria","Sublime","917799","22010","No preview URL","Hard cut"
"Say What You Want","Texas","1172397","22388","No preview URL","Hard cut"
"Set Adrift on Memory Bliss (Re-Recorded)","P.M. Dawn","69186709","122059","Below rank cutoff (target 400, this was rank-position 410)","Tail cut"
"Settlin' or Sleepin' Around","Trapper Schoepp","1060862172","68651","Below rank cutoff (target 400, this was rank-position 414)","Tail cut"
"Sex And Candy","Marcy Playground","36822531","90964","Below rank cutoff (target 400, this was rank-position 412)","Tail cut"
"Shine","Collective Soul","4735504","17745","No preview URL","Hard cut"
"Shoop","Salt-N-Pepa","9990584","1183","No preview URL","Hard cut"
"Sing It Back (Boris Dlugosch Mix)","Moloko","131226998","8905","No preview URL","Hard cut"
"Smells Like Teen Spirit","Nirvana","1112991","15824","No preview URL","Hard cut"
"Smooth Operator (Single Version)","Sade","858207","25031","No preview URL","Hard cut"
"Spiderwebs","No Doubt","916246","2609","No preview URL","Hard cut"
"Still D.R.E.","Dr. Dre","1579474","16000","No preview URL","Hard cut"
"Streets of Philadelphia","Bruce Springsteen","7675471","11617","No preview URL","Hard cut"
"Stupid Girl","Garbage","69000159","1238","No preview URL","Hard cut"
"Take A Picture","Filter","692242022","22146","No preview URL","Hard cut"
"That Don't Impress Me Much (Album Version)","Shania Twain","7442366","2002","No preview URL","Hard cut"
"The Distance","Cake","963148","26140","No preview URL","Hard cut"
"The Humpty Dance (LP Version)","Digital Underground","672632","2009","No preview URL","Hard cut"
"The Impression That I Get","The Mighty Mighty Bosstones","2435857","2481","No preview URL","Hard cut"
"The King of Wishful Thinking","Go West","130201450","21210","No preview URL","Hard cut"
"The One And Only","Chesney Hawkes","130195442","7935","No preview URL","Hard cut"
"The Rockafeller Skank (Short Edit)","Fatboy Slim","16407732","3128","No preview URL","Hard cut"
"The Sign","Ace of Base","19271661","15985","No preview URL","Hard cut"
"The World I Know","Collective Soul","616357332","25540","No preview URL","Hard cut"
