Category,Title,Artist,Found,DeezerId,DeezerTitle,DeezerArtist,PreviewUrl,DurationSec,Reason
"90s Mega Hits","Smells Like Teen Spirit","Nirvana","true","13693497","Smells Like Teen Spirit","Nirvana","https://cdnt-preview.dzcdn.net/api/1/1/2/0/9/0/209a06199fb400a39068b4bae831b0e3.mp3?hdnea=exp=1780887733~acl=/api/1/1/2/0/9/0/209a06199fb400a39068b4bae831b0e3.mp3*~data=user_id=0,application_id=42~hmac=b8fe38424615a1f8d69df2f9df6b7b7e547443590a6e8099dfcbb5a65e3aec43","301",""
"90s Mega Hits","Wonderwall","Oasis","true","985745702","Wonderwall","Oasis","https://cdnt-preview.dzcdn.net/api/1/1/e/9/9/0/e992ed1b27bd8da3c4f6128047285674.mp3?hdnea=exp=1780887734~acl=/api/1/1/e/9/9/0/e992ed1b27bd8da3c4f6128047285674.mp3*~data=user_id=0,application_id=42~hmac=32604cb873b79159d43c9500c4f95a0d30a0ccddaf70c9f7fb366dba332f86f6","258",""
"90s Mega Hits","...Baby One More Time","Britney Spears","true","540175","...Baby One More Time","Britney Spears","https://cdnt-preview.dzcdn.net/api/1/1/b/1/7/0/b17b241965ce5ad2fa504f46a8684da8.mp3?hdnea=exp=1780887734~acl=/api/1/1/b/1/7/0/b17b241965ce5ad2fa504f46a8684da8.mp3*~data=user_id=0,application_id=42~hmac=5d7232c77b53cfaa894cdf1b9996865fdb4e9773e28c15625583e70bfc36e253","210",""
"90s Mega Hits","Killing Me Softly With His Song","Fugees","false","","","","","","no results"
"90s Mega Hits","I Want It That Way","Backstreet Boys","true","13141170","I Want It That Way","Backstreet Boys","https://cdnt-preview.dzcdn.net/api/1/1/7/1/9/0/71997935a6df8ac013ac4f76fbe7d72e.mp3?hdnea=exp=1780887735~acl=/api/1/1/7/1/9/0/71997935a6df8ac013ac4f76fbe7d72e.mp3*~data=user_id=0,application_id=42~hmac=ee317dcef2cf905e003308b5926e713a50c570bb407e3522351e98693b94cd27","214",""
"90s Mega Hits","No Scrubs","TLC","true","1075781","No Scrubs","TLC","https://cdnt-preview.dzcdn.net/api/1/1/1/0/8/0/1089b05806068e19ab4d8ebc48c06c8d.mp3?hdnea=exp=1780887735~acl=/api/1/1/1/0/8/0/1089b05806068e19ab4d8ebc48c06c8d.mp3*~data=user_id=0,application_id=42~hmac=50aeb3f57a9b41614fac4570b39d88e04850104bc870c57a6b172ade7c037ee5","219",""
"90s Mega Hits","Black Hole Sun","Soundgarden","true","78631539","Black Hole Sun","Soundgarden","https://cdnt-preview.dzcdn.net/api/1/1/d/d/f/0/ddfb8e736d8dc5690ad7498ed26e8251.mp3?hdnea=exp=1780887735~acl=/api/1/1/d/d/f/0/ddfb8e736d8dc5690ad7498ed26e8251.mp3*~data=user_id=0,application_id=42~hmac=0af2da716c9e24e1bcf490b6eb3fc6dac81ae9e74a5e911e792fa3cad1490e35","318",""
"90s Mega Hits","Vogue","Madonna","true","723903","Vogue","Madonna","https://cdnt-preview.dzcdn.net/api/1/1/c/1/f/0/c1fb5f5ef77403b79869be7f24d917c7.mp3?hdnea=exp=1780887736~acl=/api/1/1/c/1/f/0/c1fb5f5ef77403b79869be7f24d917c7.mp3*~data=user_id=0,application_id=42~hmac=4ebb9fd7bdecf1fb23454ac908502e97bf46f7370764fa216931e6c206be6cb7","317",""
"90s Mega Hits","Genie in a Bottle","Christina Aguilera","true","15627386","Genie In a Bottle","Christina Aguilera","https://cdnt-preview.dzcdn.net/api/1/1/8/e/2/0/8e22266bd0ab3e16cf5df4208f1ff06d.mp3?hdnea=exp=1780887736~acl=/api/1/1/8/e/2/0/8e22266bd0ab3e16cf5df4208f1ff06d.mp3*~data=user_id=0,application_id=42~hmac=439dab6692f673cbc930f1ecaaf110ad3e830dc3705ff9b9f5bdb496332818c4","216",""
"90s Mega Hits","Bitter Sweet Symphony","The Verve","true","398570642","Bitter Sweet Symphony (Remastered 2016)","The Verve","https://cdnt-preview.dzcdn.net/api/1/1/3/4/1/0/341bbcf7cf85b72d242ecee1c7134483.mp3?hdnea=exp=1780887737~acl=/api/1/1/3/4/1/0/341bbcf7cf85b72d242ecee1c7134483.mp3*~data=user_id=0,application_id=42~hmac=da7a1a16b8115cefe4cf0c8b3298522bd594ce305c31dfb9f3005f8b9fd23302","357",""
