tier,title,artist,packs,deezer_ids,verdict_keep_or_cut
"HARD","Hell N Back (feat. Summer Walker)","Bakar","2020's Mega Hits + Road Trip","2461123655 728760222",""
"HARD","WAP (feat. Megan Thee Stallion)","Cardi B","2020's Mega Hits","1044791832",""
"HARD","No Broke Boys","Disco Lines","Road Trip","3410229851",""
"HARD","Anxiety","Doechii","Road Trip","3262675101",""
"HARD","Boss Bitch","Doja Cat","2020's Mega Hits","856402392",""
"HARD","Rich Baby Daddy","Drake","2020's Mega Hits","2486117711",""
"HARD","NOKIA","Drake","Road Trip","3232025631",""
"HARD","Princess Diana","Ice Spice","2020's Mega Hits","2236341857",""
"HARD","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) (Remix)","Jack Harlow","2020's Mega Hits","1001786382",""
"HARD","Lovin On Me","Jack Harlow","2020's Mega Hits","2535000521",""
"HARD","Savage Love (Laxed - Siren Beat)","Jawsh 685","2020's Mega Hits","986939372",""
"HARD","The Bitch Of Living (Original Broadway Cast Recording/2006)","John Gallagher, Jr.","Broadway","390859761",""
"HARD","Totally Fucked (Original Broadway Cast Recording/2006)","Jonathan Groff","Broadway","390859871",""
"HARD","Gnarly","KATSEYE","Road Trip","3336180251",""
"HARD","Not Like Us","Kendrick Lamar","2020's Mega Hits","2783963122",""
"HARD","squabble up","Kendrick Lamar","2020's Mega Hits","3106586631",""
"HARD","About Damn Time","Lizzo","2020's Mega Hits + Road Trip","1818665207",""
"HARD","Savage Remix (feat. Beyoncé)","Megan Thee Stallion","2020's Mega Hits","946333752",""
"HARD","Super Freaky Girl","Nicki Minaj","2020's Mega Hits","1863905587",""
"HARD","The Box","Roddy Ricch","2020's Mega Hits","825986992",""
"SOFT-LISTEN","DÁKITI","Bad Bunny","2020's Mega Hits","1122450992",""
"SOFT-LISTEN","Tití Me Preguntó","Bad Bunny","2020's Mega Hits","1741494317",""
"SOFT-LISTEN","MONACO","Bad Bunny","2020's Mega Hits","2496106371",""
"SOFT-LISTEN","iloveitiloveitiloveit","Bella Kay","Road Trip","3763687462",""
"SOFT-LISTEN","TEXAS HOLD 'EM","Beyoncé","2020's Mega Hits","2658723742",""
"SOFT-LISTEN","Happier Than Ever","Billie Eilish","2020's Mega Hits","1449740592",""
"SOFT-LISTEN","I Like It","Cardi B","Wedding","482986842",""
"SOFT-LISTEN","I'm Good (Blue)","David Guetta","2020's Mega Hits","2107937657",""
"SOFT-LISTEN","Cake By The Ocean","DNCE","Wedding","136341758",""
"SOFT-LISTEN","Say So","Doja Cat","2020's Mega Hits","797228462",""
"SOFT-LISTEN","Woman","Doja Cat","2020's Mega Hits","1410738042",""
"SOFT-LISTEN","Paint The Town Red","Doja Cat","2020's Mega Hits + Road Trip","2387373015",""
"SOFT-LISTEN","Lose Yourself","Eminem","Songs from Movies","1109731",""
"SOFT-LISTEN","Gata Only","FloyyMenor","Road Trip","2638201552",""
"SOFT-LISTEN","That’s So True","Gracie Abrams","2020's Mega Hits","3047560351",""
"SOFT-LISTEN","Peaches","Justin Bieber","2020's Mega Hits","1280165222",""
"SOFT-LISTEN","Tusa","KAROL G","2020's Mega Hits","796342592",""
"SOFT-LISTEN","Big Energy","Latto","2020's Mega Hits","1491160132",""
"SOFT-LISTEN","MONTERO (Call Me By Your Name)","Lil Nas X","2020's Mega Hits","1283264142",""
"SOFT-LISTEN","INDUSTRY BABY","Lil Nas X","2020's Mega Hits","1439691952",""
"SOFT-LISTEN","The Emptiness Machine","Linkin Park","2020's Mega Hits","2978105041",""
"SOFT-LISTEN","Messy","Lola Young","2020's Mega Hits + Road Trip","2815968782",""
"SOFT-LISTEN","drivers license","Olivia Rodrigo","2020's Mega Hits","1378342592",""
"SOFT-LISTEN","good 4 u","Olivia Rodrigo","2020's Mega Hits","1378342622",""
"SOFT-LISTEN","vampire","Olivia Rodrigo","2020's Mega Hits","2440763155",""
"SOFT-LISTEN","deja vu","Olivia Rodrigo","2020's Mega Hits","1378342612",""
"SOFT-LISTEN","Escapism.","RAYE","2020's Mega Hits","1925023707",""
"SOFT-LISTEN","DESPECHÁ","ROSALÍA","2020's Mega Hits + Road Trip","1841999507",""
"SOFT-LISTEN","Espresso","Sabrina Carpenter","2020's Mega Hits + Road Trip + Wedding","2743578151",""
"SOFT-LISTEN","Please Please Please","Sabrina Carpenter","2020's Mega Hits","2831602002",""
"SOFT-LISTEN","Manchild","Sabrina Carpenter","Road Trip","3400077541",""
"SOFT-LISTEN","Roses (Imanbek Remix)","SAINt JHN","2020's Mega Hits","770293952",""
"SOFT-LISTEN","A Bar Song (Tipsy)","Shaboozey","2020's Mega Hits + Road Trip","2729273551",""
"SOFT-LISTEN","Snooze","SZA","2020's Mega Hits","2055292087",""
"SOFT-LISTEN","you broke me first","Tate McRae","2020's Mega Hits","929158322",""
