DeezerId,Title,Artist,Source
"858371","The Final Countdown","Europe","Arrested Development"
"2307303","Dragula","Rob Zombie","The Munsters"
"1487544412","Naruto Main Theme","Musashi Project","Naruto"
"2436630","Mission Impossible - Main Theme","Danny Elfman","Mission Impossible"
"134036212","In the Air Tonight (2015 Remaster)","Phil Collins","Miami Vice"
"70784948","Main Titles (From the HBO Miniseries ""Band of Brothers"" Soundtrack)","The London Metropolitan Orchestra","Band of Brothers"
"14495564","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","Glee"
"66404564","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy","The Vampire Diaries"
"69838319","Breaking Bad Main Title Theme (Extended)","Dave Porter","Breaking Bad"
"69838319","Breaking Bad Main Title Theme (Extended)","Dave Porter","Breaking Bad"
