DeezerId,Title,Artist,Source
"82715364","Skyfall","Adele","Skyfall"
"1137370842","Cornfield Chase","Hans Zimmer","Interstellar"
"72371930","Let It Go (From ""Frozen""/Soundtrack Version)","Idina Menzel","Frozen"
"6524423","Time","Hans Zimmer","Inception"
"137727927","City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling","La La Land"
"548743","Pretty In Pink","The Psychedelic Furs","Pretty in Pink"
"561856742","Shallow","Lady Gaga","A Star Is Born"
"561875132","You'll Be In My Heart","Phil Collins","Tarzan"
"1137370862","Day One (Interstellar Theme)","Hans Zimmer","Interstellar"
"493895402","Duel of the Fates","John Williams","Star Wars"
"781563062","You're The One That I Want (From “Grease”)","John Travolta","Grease"
"568115892","Bohemian Rhapsody (2011 Remaster)","Queen","Bohemian Rhapsody"
"90379179","The Hanging Tree (From ""The Hunger Games: Mockingjay"" Soundtrack)","James Newton Howard","The Hunger Games: Mockingjay"
"421388782","Cruel Summer","Bananarama","The Karate Kid"
"1764283617","Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer","Top Gun"
"1137370902","Mountains","Hans Zimmer","Interstellar"
"2296192","Theme From Jurassic Park","John Williams","Jurassic Park"
"647394572","Lily's Theme","Alexandre Desplat","Harry Potter and the Deathly Hallows"
"132196486","I Heard It Through The Grapevine","Marvin Gaye","The Big Chill"
"561867002","American Beauty","Thomas Newman","American Beauty"
"62953943","Django","Luis Bacalov","Django"
"493842012","The Imperial March (Darth Vader's Theme)","John Williams","The Empire Strikes Back"
"136340808","How Far I'll Go","Auli'i Cravalho","Moana"
"440475672","Main Title and Escape","John Williams","The Fugitive"
"134012980","Let's Hear It for the Boy (From ""Footloose"" Soundtrack)","Deniece Williams","Footloose"
"90120289","It Might Be You (Theme from Tootsie)","Stephen Bishop","Tootsie"
"493883802","Anakin's Betrayal","John Williams","Star Wars Revenge of the Sith"
"5664761","Live And Let Die (Main Title)","Paul McCartney","Live and Let Die"
"493883792","Battle of the Heroes","John Williams","Star Wars"
"110148734","Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams","Home Alone"
"493883852","Anakin vs. Obi-Wan","John Williams","Star Wars"
"493841972","Star Wars (Main Theme)","John Williams","Star Wars"
"493842132","Finale","John Williams","Star Wars"
"104095200","Holiday Road (National Lampoon's Vacation)","Lindsey Buckingham","National Lampoon's Vacation"
"682049832","(I'm Gonna) Love Me Again","Elton John","Rocketman"
"555263792","Halloween Theme","John Carpenter","Halloween"
"493895412","Anakin's Theme","John Williams","Star Wars Episode I The Phantom Menace"
"66660698","Young And Beautiful","Lana Del Rey","The Great Gatsby"
