DeezerId,Title,Artist,Source
"776220","Ain't Nobody","Chaka Khan","Bodyguard"
"5610919","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","The Pacific"
"798742662","The Mandalorian","Ludwig Göransson","The Mandalorian"
"67770820","The Last of Us","Gustavo Santaolalla","The Last of Us"
"117729426","Main Title","Ramin Djawadi","Game of Thrones"
"117728240","House Of Cards Main Title Theme","Jeff Beal","House of Cards"
"2005660777","Wednesday Main Titles","Danny Elfman","Wednesday"
"80274512","Bring Me To Life","Evanescence","Daredevil"
"80274516","My Immortal","Evanescence","Daredevil"
"14636764","Never Tear Us Apart","INXS","The Boys"
"573659482","Tuyo (Narcos Theme) (A Netflix Original Series Soundtrack)","Rodrigo Amarante","Narcos"
"647842202","Light of the Seven","Ramin Djawadi","Game of Thrones"
"647842362","The Winds of Winter","Ramin Djawadi","Game of Thrones"
"117729430","Goodbye Brother","Ramin Djawadi","Game of Thrones"
"2299751175","Succession - Andante Risoluto","Nicholas Britell","Succession"
"647826112","A Lannister Always Pays His Debts","Ramin Djawadi","Game of Thrones"
"647842192","Blood of My Blood","Ramin Djawadi","Game of Thrones"
"117729500","Winterfell","Ramin Djawadi","Game of Thrones"
"988981112","The Last of Us Part II","Gustavo Santaolalla","The Last of Us"
"857747182","Toss A Coin To Your Witcher","Sonya Belousova","The Witcher"
"1965783167","The Power of Prophecy","Ramin Djawadi","Game of Thrones"
"2885505722","All Must Choose","Ramin Djawadi","Game of Thrones"
"134494866","The Middle of the World","Nicholas Britell","Succession"
"647842242","My Watch Has Ended","Ramin Djawadi","Game of Thrones"
"117729434","The King's Arrival","Ramin Djawadi","Game of Thrones"
"784001862","Ballade in C# Minor: Coronation","Nicholas Britell","Succession"
"79266197","Bemidji, MN (Fargo Series Main Theme)","Jeff Russo","Fargo"
"1869679097","Theme from Black Sails","Bear McCreary","Black Sails"
"1470227982","Main Title","Siddhartha Khosla","This Is Us"
"1110338542","Take It, It's Yours","Carlos Rafael Rivera","The Queen's Gambit"
"1729061457","Impromptu No. 2 for Piano and Orchestra","Nicholas Britell","Succession"
"69962764","Should I Stay or Should I Go (Remastered)","The Clash","Stranger Things"
"706690082","Neutron Dance","The Pointer Sisters","Stranger Things"
"2173954687","Running Up That Hill (A Deal With God)","Kate Bush","Stranger Things"
"1806332507","Master of Puppets","Metallica","Stranger Things"
"723289462","All For Us (from the HBO Original Series Euphoria)","Labrinth","Euphoria"
"130871170","Kids","Kyle Dixon & Michael Stein","Stranger Things"
"130871168","Stranger Things","Kyle Dixon & Michael Stein","Stranger Things"
"416643382","Eulogy","Kyle Dixon & Michael Stein","Stranger Things"
"130871170","Kids","Kyle Dixon & Michael Stein","Stranger Things"
"130871168","Stranger Things","Kyle Dixon & Michael Stein","Stranger Things"
"416643382","Eulogy","Kyle Dixon & Michael Stein","Stranger Things"
"130871180","Eleven","Kyle Dixon & Michael Stein","Stranger Things"
