DeezerId,Title,Artist,Source
"62419007","Flashdance...What a Feeling (Radio Edit)","Irene Cara","Flashdance"
"3872734","Arthur's Theme (Best That You Can Do)","Christopher Cross","Arthur"
"576431","Eye of the Tiger","Survivor","Rocky III"
"134012978","Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins","Footloose"
"7675055","Take My Breath Away (Love Theme from ""Top Gun"")","Berlin","Top Gun"
"13128242","Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen","Dirty Dancing"
"5079647","Don't You (Forget About Me)","Simple Minds","The Breakfast Club"
"7675060","Top Gun Anthem (From ""Top Gun"" Original Soundtrack)","Harold Faltermeyer","Top Gun"
"24307571","Circle of Life","Carmen Twillie","The Lion King"
"7675403","I Will Always Love You","Whitney Houston","The Bodyguard"
"7675051","Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","Top Gun"
"24206451","He's a Pirate","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl"
"3117869","Can You Feel the Love Tonight","Elton John","The Lion King"
"3130429","A View to a Kill","Duran Duran","A View to a Kill"
"3089031","The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone","The Good, The Bad And The Ugly"
"1014549","I'm Forrest... Forrest Gump","Alan Silvestri","Forrest Gump"
"6410074","St. Elmos Fire (Man in Motion)","John Parr","St. Elmo's Fire - Music From The"
"7398947","The Goonies 'R' Good Enough (From ""The Goonies"" Soundtrack)","Cyndi Lauper","The Goonies"
"3276735","Goldfinger","Shirley Bassey","Goldfinger"
"906585","Up Where We Belong (From ""An Officer And A Gentleman"")","Joe Cocker","An Officer And A Gentleman"
"122832120","Colors of the Wind","Judy Kuhn","Pocahontas"
"1109731","Lose Yourself","Eminem","8 Mile"
"646327092","Ain't No Mountain High Enough","Marvin Gaye","Remember the Titans"
"3055975","Now We Are Free","Lisa Gerrard","Gladiator"
"13128241","She's Like the Wind (feat. Wendy Fraser) (From ""Dirty Dancing"" Soundtrack)","Patrick Swayze","Dirty Dancing"
"3130319","True (Single Edit)","Spandau Ballet","Sixteen Candles"
"576423","Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor","Rocky IV"
"136710424","Stand By Me","Ben E. King","Stand By Me"
"906584","Endless Love (From ""The Endless Love"" Soundtrack)","Lionel Richie","The Endless Love"
"3819736","La Bamba","Los Lobos","La Bamba"
"661779","Hedwig's Theme","John Williams","Harry Potter and The Sorcerer's Stone"
"3147390","Goldeneye","Tina Turner","GoldenEye"
"75392184","Rhythm Of The Night","DeBarge","The Last Dragon"
"3917698","Batdance","Prince","Batman"
"3156230","If You Leave","Orchestral Manoeuvres In The Dark","Pretty in Pink"
"538709362","I Just Called To Say I Love You","Stevie Wonder","The Woman in Red"
"679866","Dumbledore's Army","Nicholas Hooper","Harry Potter And The Order Of The Phoenix"
"137751717","The Look Of Love","Dusty Springfield","Casino Royale"
"120917666","A Whole New World","Lea Salonga","Aladdin"
"145187392","Under the Sea","Samuel E. Wright","The Little Mermaid"
"3169677","We Have All The Time In The World (Remastered 2003)","Louis Armstrong","On Her Majesty's Secret Service"
"120917660","Friend Like Me","Robin Williams","Aladdin"
"65443651","Main Title And First Victim","John Williams","Jaws"
"14617160","Good Times (with Jimmy Barnes)","INXS","The Lost Boys"
"102271990","We Don't Need Another Hero (Thunderdome)","Tina Turner","Mad Max Beyond Thunderdome"
"959903","Jump in the Line","Harry Belafonte","Beetlejuice"
"3091987","Kokomo","The Beach Boys","Cocktail"
"555639","Thriller","Michael Jackson","Thriller"
"910474","Lovefool","The Cardigans","Romeo + Juliet"
"3098301","It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette","Pretty Woman"
"664178","Kiss","Prince","Under the Cherry Moon"
"4615481","Never Ending Story","Limahl","The NeverEnding Story"
"905697","Say You, Say Me","Lionel Richie","White Nights"
"846215","Baby, I Love Your Way","Big Mountain","Reality Bites"
"3111030","I'm Gonna Be (500 Miles)","The Proclaimers","Benny & Joon"
"2627636","Glory of Love","Peter Cetera","The Karate Kid Part II"
"7634915","Lean on Me","Bill Withers","Lean on Me"
