DeezerId,Title,Artist,Source
"68515055","Enjoy the Silence","Depeche Mode","keep-list"
"725274","Californication","Red Hot Chili Peppers","keep-list"
"540175","...Baby One More Time","Britney Spears","keep-list"
"15593563","Remember the Time","Michael Jackson","keep-list"
"4290138","Iris","The Goo Goo Dolls","keep-list"
"136334560","Losing My Religion","R.E.M.","keep-list"
"2184743","What's Up?","4 Non Blondes","keep-list"
"137233986","The Kids Aren't Alright","The Offspring","keep-list"
"15593566","Black or White","Michael Jackson","keep-list"
"3360821","Fade Into You","Mazzy Star","keep-list"
"580936","Say My Name","Destiny's Child","keep-list"
"725254","Scar Tissue","Red Hot Chili Peppers","keep-list"
"505510232","Knockin' On Heaven's Door","Guns N' Roses","keep-list"
"624823","I Don't Want To Miss A Thing","Aerosmith","keep-list"
"594917","Cherry Pie","Warrant","keep-list"
"62082829","Killing In The Name","Rage Against the Machine","keep-list"
"398570642","Bitter Sweet Symphony (Remastered 2016)","The Verve","keep-list"
"6177415","Freed From Desire","Gala","keep-list"
"1075781","No Scrubs","TLC","keep-list"
"13141170","I Want It That Way","Backstreet Boys","keep-list"
"678044","Basket Case","Green Day","keep-list"
"4762041","Everlong","Foo Fighters","keep-list"
"910474","Lovefool","The Cardigans","keep-list"
"78631539","Black Hole Sun","Soundgarden","keep-list"
"13791934","Lithium","Nirvana","keep-list"
"137234014","Why Don't You Get A Job","The Offspring","keep-list"
"1169683","November Rain","Guns N' Roses","keep-list"
"134116940","Kiss Me","Sixpence None The Richer","keep-list"
"786717","Believe","Cher","keep-list"
"137233982","Pretty Fly (For A White Guy)","The Offspring","keep-list"
"2122532","It Wasn't Me","Shaggy","keep-list"
"3098301","It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette","keep-list"
"1138006","Mr. Jones","Counting Crows","keep-list"
"994491","Macarena","Los Del Río","keep-list"
"127354207","All The Small Things","blink-182","keep-list"
"1115044","Barbie Girl","Aqua","keep-list"
"3151232","It Ain't Over 'Til It's Over","Lenny Kravitz","keep-list"
"82241406","Maria Maria (feat. The Product G&B)","Santana","keep-list"
"7675132","Black","Pearl Jam","keep-list"
"962173","Thank You","Dido","keep-list"
"3107395","Are You Gonna Go My Way","Lenny Kravitz","keep-list"
"94613616","Break Stuff","Limp Bizkit","keep-list"
"3129775","Around the World","Daft Punk","keep-list"
"3156968","Fly Away","Lenny Kravitz","keep-list"
"70466227","Heart-Shaped Box","Nirvana","keep-list"
"11390027","Sandstorm","Darude","keep-list"
"632447","Bye Bye Bye","*NSYNC","keep-list"
"4311599","Learn to Fly","Foo Fighters","keep-list"
"831294","Two Princes","Spin Doctors","keep-list"
"630595142","Du hast","Rammstein","keep-list"
"2463249","One Of Us","Joan Osborne","keep-list"
"14343282","One","U2","keep-list"
"714269242","All By Myself","Céline Dion","keep-list"
"3129748","Teardrop","Massive Attack","keep-list"
"14552280","My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion","keep-list"
"917717","All Star","Smash Mouth","keep-list"
"1176439","Dreams","The Cranberries","keep-list"
"869547","Ready or Not","Fugees","keep-list"
"13791931","In Bloom","Nirvana","keep-list"
"3130430","Ordinary World","Duran Duran","keep-list"
"7675129","Even Flow","Pearl Jam","keep-list"
"725837","Give It Away","Red Hot Chili Peppers","keep-list"
"70051871","Ride on Time","Black Box","keep-list"
"778429","Good Riddance (Time of Your Life)","Green Day","keep-list"
"68976286","1979","The Smashing Pumpkins","keep-list"
"703748","Return of the Mack","Mark Morrison","keep-list"
"138544261","High and Dry","Radiohead","keep-list"
"84382469","'74-'75","The Connells","keep-list"
"916496","No Diggity","Blackstreet","keep-list"
"136339500","Shiny Happy People","R.E.M.","keep-list"
"134706074","No Limit","2 Unlimited","keep-list"
"7035328","Insomnia (Radio Edit)","Faithless","keep-list"
"62791738","Bullet With Butterfly Wings (Remastered 2012)","The Smashing Pumpkins","keep-list"
"730428","Kiss from a Rose","Seal","keep-list"
"962260","My Love Is Your Love","Whitney Houston","keep-list"
"1013792","Fantasy","Mariah Carey","keep-list"
"775117","Only Time","Enya","keep-list"
"2548870","Thong Song","Sisqo","keep-list"
"846215","Baby, I Love Your Way","Big Mountain","keep-list"
"1057312","Runaway Train (2022 Remaster)","Soul Asylum","keep-list"
"846048","I Love You Always Forever","Donna Lewis","keep-list"
"14552288","Because You Loved Me (Theme from ""Up Close and Personal"")","Céline Dion","keep-list"
"2441438","You Get What You Give","New Radicals","keep-list"
"922058","If It Makes You Happy","Sheryl Crow","keep-list"
"99360002","Scatman (ski-ba-bop-ba-dop-bop)","Scatman John","keep-list"
"17347911","Mr. Vain (Original Radio Edit)","Culture Beat","keep-list"
"3109247","I'm Gonna Be (500 Miles)","The Proclaimers","keep-list"
"1015862","Insane in the Brain","Cypress Hill","keep-list"
"2794603","I'll Be Missing You (feat. Faith Evans, 112)","Diddy","keep-list"
"7675133","Jeremy","Pearl Jam","keep-list"
"626419","Miami","Will Smith","keep-list"
"1109729","My Name Is","Eminem","keep-list"
"962165","Here With Me","Dido","keep-list"
"6636947","Stars","Simply Red","keep-list"
"2463406","Regulate (Album Version Explicit)","Warren G","keep-list"
"596046","My All","Mariah Carey","keep-list"
"82241402","Smooth (feat. Rob Thomas)","Santana","keep-list"
"4311598","My Hero","Foo Fighters","keep-list"
"2794367","Plush","Stone Temple Pilots","keep-list"
"8164642","They Don't Care About Us","Michael Jackson","keep-list"
"778758","Frozen","Madonna","keep-list"
"105353316","Push The Feeling On (Mk Dub Revisited Edit)","Nightcrawlers","keep-list"
"377242021","Hard Knock Life (Ghetto Anthem)","JAŸ-Z","keep-list"
"134523754","Got the Life","Korn","keep-list"
"8146780","Father Figure (Remastered)","George Michael","keep-list"
"561875132","You'll Be In My Heart","Phil Collins","keep-list"
"7675196","Bulls On Parade","Rage Against the Machine","keep-list"
"7675332","Last Kiss","Pearl Jam","keep-list"
"62126185","Breathe","The Prodigy","keep-list"
"596015","Hero","Mariah Carey","keep-list"
"580889","Bills, Bills, Bills","Destiny's Child","keep-list"
"14552286","That's the Way It Is","Céline Dion","keep-list"
"3907803","Interstate Love Song","Stone Temple Pilots","keep-list"
"4688231","Crazy","Seal","keep-list"
"80274464","Higher","Creed","keep-list"
"922014","All I Wanna Do","Sheryl Crow","keep-list"
"1015332","If I Ruled the World (Imagine That) (feat. Lauryn Hill)","Nas","keep-list"
"14282849","A Girl Like You","Edwyn Collins","keep-list"
"972817","Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit)","Modern Talking","keep-list"
"94613610","Nookie","Limp Bizkit","keep-list"
