DeezerId,Title,Artist,Source
"1457025872","Cold Heart (PNAU Remix)","Elton John","thematic-autokeep (6 editorial lists)"
"1703487577","As It Was","Harry Styles","thematic-autokeep (5 editorial lists)"
"1425844092","STAY","The Kid LAROI","thematic-autokeep (5 editorial lists)"
"1522223672","Easy On Me","Adele","thematic-autokeep (5 editorial lists)"
"1439691952","INDUSTRY BABY","Lil Nas X","thematic-autokeep (5 editorial lists)"
"1283264632","Mood (feat. iann dior)","24kGoldn","thematic-autokeep (5 editorial lists)"
"2743578151","Espresso","Sabrina Carpenter","thematic-autokeep (4 editorial lists)"
"2105158337","Flowers","Miley Cyrus","thematic-autokeep (4 editorial lists)"
"1873297197","Calm Down","Rema","thematic-autokeep (4 editorial lists)"
"2728070371","Good Luck, Babe!","Chappell Roan","thematic-autokeep (4 editorial lists)"
"908604632","Save Your Tears","The Weeknd","thematic-autokeep (4 editorial lists)"
"1411181832","Pepas","Farruko","thematic-autokeep (4 editorial lists)"
"2658723742","TEXAS HOLD 'EM","Beyoncé","thematic-autokeep (4 editorial lists)"
"1409072752","Bad Habits","Ed Sheeran","thematic-autokeep (4 editorial lists)"
"1905751117","Unholy","Sam Smith","thematic-autokeep (4 editorial lists)"
"911712382","Break My Heart","Dua Lipa","thematic-autokeep (4 editorial lists)"
"1493915862","MONTERO (Call Me By Your Name)","Lil Nas X","thematic-autokeep (4 editorial lists)"
"862051992","Physical","Dua Lipa","thematic-autokeep (4 editorial lists)"
"1234638792","Levitating (feat. DaBaby)","Dua Lipa","thematic-autokeep (4 editorial lists)"
"921104532","MAMACITA","The Black Eyed Peas","thematic-autokeep (4 editorial lists)"
"1560787612","Dynamite","BTS","thematic-autokeep (4 editorial lists)"
"2947516331","Die With A Smile","Lady Gaga","thematic-autokeep (3 editorial lists)"
"3050380851","APT.","ROSÉ","thematic-autokeep (3 editorial lists)"
"2846442802","Si Antes Te Hubiera Conocido","KAROL G","thematic-autokeep (3 editorial lists)"
"2801558062","WILDFLOWER","Billie Eilish","thematic-autokeep (3 editorial lists)"
"2801558052","BIRDS OF A FEATHER","Billie Eilish","thematic-autokeep (3 editorial lists)"
"1764283667","I Ain't Worried","OneRepublic","thematic-autokeep (3 editorial lists)"
"2706736172","i like the way you kiss me","Artemas","thematic-autokeep (3 editorial lists)"
"1874467717","I'm Good (Blue)","David Guetta","thematic-autokeep (3 editorial lists)"
"1410738042","Woman","Doja Cat","thematic-autokeep (3 editorial lists)"
"1378342592","drivers license","Olivia Rodrigo","thematic-autokeep (3 editorial lists)"
"1881003417","Rush","Ayra Starr","thematic-autokeep (3 editorial lists)"
"1378342622","good 4 u","Olivia Rodrigo","thematic-autokeep (3 editorial lists)"
"1666877272","Leave The Door Open","Bruno Mars","thematic-autokeep (3 editorial lists)"
"1484264492","Shivers","Ed Sheeran","thematic-autokeep (3 editorial lists)"
"1031382712","cardigan","Taylor Swift","thematic-autokeep (3 editorial lists)"
"929158322","you broke me first","Tate McRae","thematic-autokeep (3 editorial lists)"
"899198132","Kings & Queens","Ava Max","thematic-autokeep (3 editorial lists)"
"1280165222","Peaches","Justin Bieber","thematic-autokeep (3 editorial lists)"
"903771442","Heather","Conan Gray","thematic-autokeep (3 editorial lists)"
"1748190317","Last Last","Burna Boy","thematic-autokeep (3 editorial lists)"
"973317062","Rain On Me","Lady Gaga","thematic-autokeep (3 editorial lists)"
"1721634237","PROVENZA","KAROL G","thematic-autokeep (3 editorial lists)"
"1842063507","BREAK MY SOUL","Beyoncé","thematic-autokeep (3 editorial lists)"
"1873466547","Pink Venom","BLACKPINK","thematic-autokeep (3 editorial lists)"
"1438790502","Don't Go Yet","Camila Cabello","thematic-autokeep (3 editorial lists)"
"1336039072","Build a Bitch","Bella Poarch","thematic-autokeep (3 editorial lists)"
"1731151777","Sunroof","Nicky Youre","thematic-autokeep (3 editorial lists)"
"3210709941","Ordinary","Alex Warren","thematic-autokeep (2 editorial lists)"
"908604612","Blinding Lights","The Weeknd","thematic-autokeep (2 editorial lists)"
"2638201552","Gata Only","FloyyMenor","thematic-autokeep (2 editorial lists)"
"3454677991","JUMP","BLACKPINK","thematic-autokeep (2 editorial lists)"
"1841999507","DESPECHÁ","ROSALÍA","thematic-autokeep (2 editorial lists)"
"2729273551","A Bar Song (Tipsy)","Shaboozey","thematic-autokeep (2 editorial lists)"
"830336922","Watermelon Sugar","Harry Styles","thematic-autokeep (2 editorial lists)"
"2823893032","Move","Adam Port","thematic-autokeep (2 editorial lists)"
"3012786851","Sailor Song","Gigi Perez","thematic-autokeep (2 editorial lists)"
"2366043655","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","thematic-autokeep (2 editorial lists)"
"2690050002","we can't be friends (wait for your love)","Ariana Grande","thematic-autokeep (2 editorial lists)"
"803010392","everything i wanted","Billie Eilish","thematic-autokeep (2 editorial lists)"
"1432930542","Where Are You Now","Lost Frequencies","thematic-autokeep (2 editorial lists)"
"1741494307","Me Porto Bonito","Bad Bunny","thematic-autokeep (2 editorial lists)"
"1682954137","Bones","Imagine Dragons","thematic-autokeep (2 editorial lists)"
"796342592","Tusa","KAROL G","thematic-autokeep (2 editorial lists)"
"1976903157","Anti-Hero","Taylor Swift","thematic-autokeep (2 editorial lists)"
"793163542","Don't Start Now","Dua Lipa","thematic-autokeep (2 editorial lists)"
"1842063487","CUFF IT","Beyoncé","thematic-autokeep (2 editorial lists)"
"1666673152","Bam Bam (feat. Ed Sheeran)","Camila Cabello","thematic-autokeep (2 editorial lists)"
"807205422","Before You Go","Lewis Capaldi","thematic-autokeep (2 editorial lists)"
"830336932","Adore You","Harry Styles","thematic-autokeep (2 editorial lists)"
"797228462","Say So","Doja Cat","thematic-autokeep (2 editorial lists)"
"1437070342","abcdefu","GAYLE","thematic-autokeep (2 editorial lists)"
"1498546032","My Universe","Coldplay","thematic-autokeep (2 editorial lists)"
"2929354381","Guess featuring billie eilish","Charli xcx","thematic-autokeep (2 editorial lists)"
"772603752","RITMO (Bad Boys For Life)","The Black Eyed Peas","thematic-autokeep (2 editorial lists)"
"767583072","HIGHEST IN THE ROOM","Travis Scott","thematic-autokeep (2 editorial lists)"
"1410738172","Kiss Me More (feat. SZA)","Doja Cat","thematic-autokeep (2 editorial lists)"
"1811481707","Quevedo: Bzrp Music Sessions, Vol. 52/66","Bizarrap","thematic-autokeep (2 editorial lists)"
"2831602002","Please Please Please","Sabrina Carpenter","thematic-autokeep (2 editorial lists)"
"2614318122","yes, and?","Ariana Grande","thematic-autokeep (2 editorial lists)"
"825986992","The Box","Roddy Ricch","thematic-autokeep (2 editorial lists)"
"2182322087","Miracle","Calvin Harris","thematic-autokeep (2 editorial lists)"
"1756569577","Late Night Talking","Harry Styles","thematic-autokeep (2 editorial lists)"
"2696385562","Slow It Down","Benson Boone","thematic-autokeep (2 editorial lists)"
"1650410302","Belly Dancer","Imanbek","thematic-autokeep (2 editorial lists)"
"871124582","death bed (coffee for your head)","Powfu","thematic-autokeep (2 editorial lists)"
"1753549417","La Bachata","Manuel Turizo","thematic-autokeep (2 editorial lists)"
"1032957942","Hawái","Maluma","thematic-autokeep (2 editorial lists)"
"1148585682","telepatía","Kali Uchis","thematic-autokeep (2 editorial lists)"
"770293952","Roses (Imanbek Remix)","SAINt JHN","thematic-autokeep (2 editorial lists)"
"2055292027","Kill Bill","SZA","thematic-autokeep (2 editorial lists)"
