DeezerId,Title,Artist,Source
"139470659","Shape of You","Ed Sheeran","thematic-autokeep (3 editorial lists)"
"92734438","Uptown Funk (feat. Bruno Mars)","Mark Ronson","thematic-autokeep (3 editorial lists)"
"89077555","Shake It Off","Taylor Swift","thematic-autokeep (3 editorial lists)"
"17826508","Call Me Maybe","Carly Rae Jepsen","thematic-autokeep (3 editorial lists)"
"71645436","Dark Horse","Katy Perry","thematic-autokeep (3 editorial lists)"
"14993990","Somebody That I Used To Know","Gotye","thematic-autokeep (3 editorial lists)"
"8086126","Rolling in the Deep","Adele","thematic-autokeep (3 editorial lists)"
"142986206","Perfect","Ed Sheeran","thematic-autokeep (3 editorial lists)"
"118986142","Cheap Thrills (feat. Sean Paul)","Sia","thematic-autokeep (3 editorial lists)"
"8011850","Just the Way You Are","Bruno Mars","thematic-autokeep (3 editorial lists)"
"134036248","Another Day in Paradise (2016 Remaster)","Phil Collins","thematic-autokeep (3 editorial lists)"
"70079770","All of Me","John Legend","thematic-autokeep (3 editorial lists)"
"10308117","Give Me Everything (feat. Nayer)","Pitbull","thematic-autokeep (3 editorial lists)"
"136336116","That's What I Like","Bruno Mars","thematic-autokeep (3 editorial lists)"
"106506512","The Hills","The Weeknd","thematic-autokeep (3 editorial lists)"
"124237488","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","thematic-autokeep (3 editorial lists)"
"61424045","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis","thematic-autokeep (3 editorial lists)"
"12565420","Party Rock Anthem","LMFAO","thematic-autokeep (3 editorial lists)"
"95813354","See You Again (feat. Charlie Puth)","Wiz Khalifa","thematic-autokeep (3 editorial lists)"
"491446942","rockstar","Post Malone","thematic-autokeep (3 editorial lists)"
"129310248","Closer","The Chainsmokers","thematic-autokeep (3 editorial lists)"
"143783500","Despacito","Luis Fonsi","thematic-autokeep (3 editorial lists)"
"70403437","Royals","Lorde","thematic-autokeep (3 editorial lists)"
"65444691","Blurred Lines","Robin Thicke","thematic-autokeep (3 editorial lists)"
"82241402","Smooth (feat. Rob Thomas)","Santana","thematic-autokeep (3 editorial lists)"
"84490455","All About That Bass","Meghan Trainor","thematic-autokeep (3 editorial lists)"
"664107","Take on Me","a-ha","thematic-autokeep (2 editorial lists)"
"15586296","Don't Stop 'Til You Get Enough","Michael Jackson","thematic-autokeep (2 editorial lists)"
"4603408","Billie Jean","Michael Jackson","thematic-autokeep (2 editorial lists)"
"59509531","Bad (2012 Remaster)","Michael Jackson","thematic-autokeep (2 editorial lists)"
"13529563","Only Girl (In The World)","Rihanna","thematic-autokeep (2 editorial lists)"
"561836","Sweet Dreams (Are Made of This) (2005 Remaster)","Eurythmics","thematic-autokeep (2 editorial lists)"
"62724015","Locked out of Heaven","Bruno Mars","thematic-autokeep (2 editorial lists)"
"124603270","One Dance","Drake","thematic-autokeep (2 editorial lists)"
"60978718","Diamonds","Rihanna","thematic-autokeep (2 editorial lists)"
"884025","Dancing Queen","ABBA","thematic-autokeep (2 editorial lists)"
"14525574","We Found Love (Album Version)","Rihanna","thematic-autokeep (2 editorial lists)"
"13529559","S&M","Rihanna","thematic-autokeep (2 editorial lists)"
"62724019","When I Was Your Man","Bruno Mars","thematic-autokeep (2 editorial lists)"
"426703682","Hotel California (2013 Remaster)","Eagles","thematic-autokeep (2 editorial lists)"
"2234314","Everybody Wants To Rule The World","Tears For Fears","thematic-autokeep (2 editorial lists)"
"136889400","Starboy","The Weeknd","thematic-autokeep (2 editorial lists)"
"912486","With Or Without You (Remastered 2007)","U2","thematic-autokeep (2 editorial lists)"
"1079668","Africa","Toto","thematic-autokeep (2 editorial lists)"
"538660022","Livin' On A Prayer","Bon Jovi","thematic-autokeep (2 editorial lists)"
"6461440","Love The Way You Lie","Eminem","thematic-autokeep (2 editorial lists)"
"71403230","Timber","Pitbull","thematic-autokeep (2 editorial lists)"
"15593566","Black or White","Michael Jackson","thematic-autokeep (2 editorial lists)"
"15586286","Rock with You (Single Version)","Michael Jackson","thematic-autokeep (2 editorial lists)"
"71828723","How You Remind Me","Nickelback","thematic-autokeep (2 editorial lists)"
"12724819","Moves Like Jagger (Studio Recording From ""The Voice"" Performance)","Maroon 5","thematic-autokeep (2 editorial lists)"
"664507","Like a Prayer","Madonna","thematic-autokeep (2 editorial lists)"
"602456552","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone","thematic-autokeep (2 editorial lists)"
"624823","I Don't Want To Miss A Thing","Aerosmith","thematic-autokeep (2 editorial lists)"
"2514681","Money For Nothing","Dire Straits","thematic-autokeep (2 editorial lists)"
"532349","Total Eclipse of the Heart","Bonnie Tyler","thematic-autokeep (2 editorial lists)"
"112662364","What Do You Mean?","Justin Bieber","thematic-autokeep (2 editorial lists)"
"72160317","The Monster","Eminem","thematic-autokeep (2 editorial lists)"
"112662366","Sorry","Justin Bieber","thematic-autokeep (2 editorial lists)"
"16501728","We Are Young (feat. Janelle Monáe)","Fun.","thematic-autokeep (2 editorial lists)"
"3153065","Bette Davis Eyes","Kim Carnes","thematic-autokeep (2 editorial lists)"
