DeezerId,Title,Artist,Source
"107832268","Alexander Hamilton","Leslie Odom Jr.","thematic-autokeep (5 editorial lists)"
"107832272","My Shot","Lin-Manuel Miranda","thematic-autokeep (4 editorial lists)"
"576950712","Waving Through A Window","Ben Platt","thematic-autokeep (3 editorial lists)"
"1217345822","My Favorite Things","Julie Andrews","thematic-autokeep (3 editorial lists)"
"3118718","Supercalifragilisticexpialidocious","Julie Andrews","thematic-autokeep (3 editorial lists)"
"71946992","West Side Story: Act I: America","West Side Story Ensemble (Original Motion Picture Soundtrack)","thematic-autokeep (3 editorial lists)"
"969542","All That Jazz","Chicago Ensemble (1997)","thematic-autokeep (3 editorial lists)"
"2124207","Popular (From ""Wicked"" Original Broadway Cast Recording/2003)","Kristin Chenoweth","thematic-autokeep (3 editorial lists)"
"850862","Good Morning Baltimore","Marissa Jaret Winokur","thematic-autokeep (3 editorial lists)"
"349716631","Hello, Dolly!","Bette Midler","thematic-autokeep (3 editorial lists)"
"137727927","City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling","thematic-autokeep (2 editorial lists)"
"1579003","The Winner Takes It All (From ""Mamma Mia!"")","Meryl Streep","thematic-autokeep (2 editorial lists)"
"1578992","Mamma Mia (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Meryl Streep","thematic-autokeep (2 editorial lists)"
"107832312","Non-Stop","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832292","Wait for It","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832288","Satisfied","Renee Elise Goldsberry","thematic-autokeep (2 editorial lists)"
"107832280","You'll Be Back","Jonathan Groff","thematic-autokeep (2 editorial lists)"
"107832270","Aaron Burr, Sir","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"686931","Grease (2007 Remaster)","Frankie Valli","thematic-autokeep (2 editorial lists)"
"107832276","The Schuyler Sisters","Renee Elise Goldsberry","thematic-autokeep (2 editorial lists)"
"107832302","Guns and Ships","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832322","The Room Where It Happens","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832286","Helpless","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832342","Burn","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832282","Right Hand Man","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832284","A Winter's Ball","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"850087","Cell Block Tango","Catherine Zeta-Jones","thematic-autokeep (2 editorial lists)"
"107832278","Farmer Refuted","Thayne Jasperson","thematic-autokeep (2 editorial lists)"
"107832310","Dear Theodosia","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832314","What'd I Miss","Daveed Diggs","thematic-autokeep (2 editorial lists)"
"107832320","Say No to This","Jasmine Cephas-Jones","thematic-autokeep (2 editorial lists)"
"107832274","The Story of Tonight","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832316","Cabinet Battle #1","Christopher Jackson","thematic-autokeep (2 editorial lists)"
"107832306","Yorktown (The World Turned Upside Down)","Original Broadway Cast of Hamilton","thematic-autokeep (2 editorial lists)"
"107832328","Washington on Your Side","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832358","Who Lives, Who Dies, Who Tells Your Story","Original Broadway Cast of Hamilton","thematic-autokeep (2 editorial lists)"
"107832318","Take a Break","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832294","Stay Alive","Original Broadway Cast of Hamilton","thematic-autokeep (2 editorial lists)"
"107832290","The Story of Tonight (Reprise)","Okieriete Onaodowan","thematic-autokeep (2 editorial lists)"
"107832308","What Comes Next?","Jonathan Groff","thematic-autokeep (2 editorial lists)"
"107832304","History Has Its Eyes on You","Christopher Jackson","thematic-autokeep (2 editorial lists)"
"107832340","The Reynolds Pamphlet","Original Broadway Cast of Hamilton","thematic-autokeep (2 editorial lists)"
"107832296","Ten Duel Commandments","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832298","Meet Me Inside","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832336","We Know","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832330","One Last Time","Christopher Jackson","thematic-autokeep (2 editorial lists)"
"107832352","Your Obedient Servant","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832326","Cabinet Battle #2","Christopher Jackson","thematic-autokeep (2 editorial lists)"
"107832356","The World Was Wide Enough","Leslie Odom Jr.","thematic-autokeep (2 editorial lists)"
"107832324","Schuyler Defeated","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832300","That Would Be Enough","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832338","Hurricane","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"107832348","It's Quiet Uptown","Renee Elise Goldsberry","thematic-autokeep (2 editorial lists)"
"107832332","I Know Him","Jonathan Groff","thematic-autokeep (2 editorial lists)"
"107832350","The Election of 1800","Daveed Diggs","thematic-autokeep (2 editorial lists)"
"107832354","Best of Wives and Best of Women","Phillipa Soo","thematic-autokeep (2 editorial lists)"
"107832344","Blow Us All Away","Ariana DeBose","thematic-autokeep (2 editorial lists)"
"107832334","The Adams Administration","Original Broadway Cast of Hamilton","thematic-autokeep (2 editorial lists)"
"107832346","Stay Alive (Reprise)","Lin-Manuel Miranda","thematic-autokeep (2 editorial lists)"
"576950772","You Will Be Found","Ben Platt","thematic-autokeep (2 editorial lists)"
"393557142","Hello!","Andrew Rannells","thematic-autokeep (2 editorial lists)"
"3991703","Singin' In The Rain","Gene Kelly","thematic-autokeep (2 editorial lists)"
"2123751","Defying Gravity","Kristin Chenoweth","thematic-autokeep (2 editorial lists)"
"3664309","Take Me or Leave Me","Idina Menzel","thematic-autokeep (2 editorial lists)"
"125627186","She Used to Be Mine","Jessie Mueller","thematic-autokeep (2 editorial lists)"
"393557252","I Believe","Andrew Rannells","thematic-autokeep (2 editorial lists)"
"143785152","Welcome To The Rock","Joel Hatch","thematic-autokeep (2 editorial lists)"
"390859761","The Bitch Of Living (Original Broadway Cast Recording/2006)","John Gallagher, Jr.","thematic-autokeep (2 editorial lists)"
"143785182","Me And The Sky","Jenn Colella","thematic-autokeep (2 editorial lists)"
"3664292","Rent","Anthony Rapp","thematic-autokeep (2 editorial lists)"
"2123743","The Wizard And I","Carole Shelley","thematic-autokeep (2 editorial lists)"
"71947021","Annie : Tomorrow","Andrea McArdle","thematic-autokeep (2 editorial lists)"
"2123741","No One Mourns The Wicked","Kristin Chenoweth","thematic-autokeep (2 editorial lists)"
"16821449","Falling Slowly","Steve Kazee","thematic-autokeep (2 editorial lists)"
"2438245","Lady Marmalade (From ""Moulin Rouge"" Soundtrack)","Christina Aguilera","thematic-autokeep (1 editorial lists)"
"435175512","This Is Me","Keala Settle","thematic-autokeep (1 editorial lists)"
"435175502","Never Enough","Loren Allred","thematic-autokeep (1 editorial lists)"
"435175522","Rewrite The Stars","Zac Efron","thematic-autokeep (1 editorial lists)"
"435175552","From Now On","Hugh Jackman","thematic-autokeep (1 editorial lists)"
"137727911","Another Day Of Sun","La La Land Cast","thematic-autokeep (1 editorial lists)"
"435175462","A Million Dreams","Ziv Zaifman","thematic-autokeep (1 editorial lists)"
"1578995","Lay All Your Love On Me (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Dominic Cooper","thematic-autokeep (1 editorial lists)"
"1578990","Honey, Honey (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Amanda Seyfried","thematic-autokeep (1 editorial lists)"
"88374253","You're Never Fully Dressed Without a Smile (2014 Film Version)","Sia","thematic-autokeep (1 editorial lists)"
