DeezerId,Title,Artist,Source
"82715364","Skyfall","Adele","movie-soundtracks-split"
"1137370842","Cornfield Chase","Hans Zimmer","movie-soundtracks-split"
"72371930","Let It Go (From ""Frozen""/Soundtrack Version)","Idina Menzel","movie-soundtracks-split"
"139138743","Stayin Alive","Bee Gees","movie-soundtracks-split"
"6524423","Time","Hans Zimmer","movie-soundtracks-split"
"137727927","City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling","movie-soundtracks-split"
"128547767","Ghostbusters","Ray Parker, Jr.","movie-soundtracks-split"
"10686738","Pretty in Pink","The Psychedelic Furs","movie-soundtracks-split"
"561856742","Shallow","Lady Gaga","movie-soundtracks-split"
"134036426","Against All Odds (Take a Look at Me Now) (2016 Remaster)","Phil Collins","movie-soundtracks-split"
"561875132","You'll Be In My Heart","Phil Collins","movie-soundtracks-split"
"1137370862","Day One (Interstellar Theme)","Hans Zimmer","movie-soundtracks-split"
"17000055","My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion","movie-soundtracks-split"
"493896712","Duel of the Fates","John Williams","movie-soundtracks-split"
"5610919","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","movie-soundtracks-split"
"7050482","Maniac (Re-Recorded)","Michael Sembello","movie-soundtracks-split"
"781563062","You're The One That I Want (From “Grease”)","John Travolta","movie-soundtracks-split"
"568120982","Bohemian Rhapsody","Queen","movie-soundtracks-split"
"90379179","The Hanging Tree (From ""The Hunger Games: Mockingjay"" Soundtrack)","James Newton Howard","movie-soundtracks-split"
"421388782","Cruel Summer","Bananarama","movie-soundtracks-split"
"1764283617","Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer","movie-soundtracks-split"
"1137370902","Mountains","Hans Zimmer","movie-soundtracks-split"
"2296192","Theme From Jurassic Park","John Williams","movie-soundtracks-split"
"647394572","Lily's Theme","Alexandre Desplat","movie-soundtracks-split"
"132196486","I Heard It Through The Grapevine","Marvin Gaye","movie-soundtracks-split"
"561867002","American Beauty","Thomas Newman","movie-soundtracks-split"
"696962792","You've Got a Friend in Me","Randy Newman","movie-soundtracks-split"
"427219182","Night Fever (From ""Saturday Night Fever"" Soundtrack)","Bee Gees","movie-soundtracks-split"
"62953943","Django","Luis Bacalov","movie-soundtracks-split"
"493883202","The Imperial March (Darth Vader's Theme)","John Williams","movie-soundtracks-split"
"136349848","How Far I'll Go","Auli'i Cravalho","movie-soundtracks-split"
"440503542","Main Title and Escape","John Williams","movie-soundtracks-split"
"10357261","Let's Hear It for the Boy (From ""Footloose"" Original Soundtrack)","Deniece Williams","movie-soundtracks-split"
"468253402","Unchained Melody","The Righteous Brothers","movie-soundtracks-split"
"90120289","It Might Be You (Theme from Tootsie)","Stephen Bishop","movie-soundtracks-split"
"493836432","Anakin's Betrayal","John Williams","movie-soundtracks-split"
"5664761","Live And Let Die (Main Title)","Paul McCartney","movie-soundtracks-split"
"493836422","Battle of the Heroes","John Williams","movie-soundtracks-split"
"110148734","Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams","movie-soundtracks-split"
"493836482","Anakin vs. Obi-Wan","John Williams","movie-soundtracks-split"
"493883162","Star Wars (Main Theme)","John Williams","movie-soundtracks-split"
"493883322","Finale","John Williams","movie-soundtracks-split"
"104095200","Holiday Road (National Lampoon's Vacation)","Lindsey Buckingham","movie-soundtracks-split"
"682049832","(I'm Gonna) Love Me Again","Elton John","movie-soundtracks-split"
"555263792","Halloween Theme","John Carpenter","movie-soundtracks-split"
"493896722","Anakin's Theme","John Williams","movie-soundtracks-split"
"66660698","Young And Beautiful","Lana Del Rey","movie-soundtracks-split"
"602456552","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone","movie-soundtracks-split"
"64920072","Nightcall","Kavinsky","movie-soundtracks-split"
"124237488","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","movie-soundtracks-split"
"1988270837","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna","movie-soundtracks-split"
"586860862","Try Everything","Shakira","movie-soundtracks-split"
"92826786","Earned It (Fifty Shades Of Grey) (From The ""Fifty Shades Of Grey"" Soundtrack)","The Weeknd","movie-soundtracks-split"
"877873612","No Time To Die","Billie Eilish","movie-soundtracks-split"
"134036212","In the Air Tonight (2015 Remaster)","Phil Collins","movie-soundtracks-split"
"568120962","Killer Queen","Queen","movie-soundtracks-split"
"78033230","Oh, Pretty Woman","Roy Orbison","movie-soundtracks-split"
"13100386","Everybody Needs Somebody to Love","The Blues Brothers","movie-soundtracks-split"
"92872170","Immortals","Fall Out Boy","movie-soundtracks-split"
"107900036","Writing's On The Wall (From ""Spectre"" Soundtrack)","Sam Smith","movie-soundtracks-split"
"646290952","You Never Can Tell","Chuck Berry","movie-soundtracks-split"
"407643972","Society","Eddie Vedder","movie-soundtracks-split"
"798742662","The Mandalorian","Ludwig Göransson","movie-soundtracks-split"
"493812712","Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","John Williams","movie-soundtracks-split"
"107474516","Changes (2015 Remaster)","David Bowie","movie-soundtracks-split"
"2364462315","Can You Hear The Music","Ludwig Göransson","movie-soundtracks-split"
"144130194","Beauty and the Beast","Ariana Grande","movie-soundtracks-split"
"67770820","The Last of Us","Gustavo Santaolalla","movie-soundtracks-split"
"1550821762","We Don't Talk About Bruno","Carolina Gaitán - La Gaita","movie-soundtracks-split"
"17840804","The Avengers","Alan Silvestri","movie-soundtracks-split"
"374282981","Let's Go Crazy (2015 Paisley Park Remaster)","Prince","movie-soundtracks-split"
"116348108","Hey Jude (Remastered 2009)","The Beatles","movie-soundtracks-split"
"117729426","Main Title","Ramin Djawadi","movie-soundtracks-split"
"647343082","Flight","Hans Zimmer","movie-soundtracks-split"
"2670920782","A Time of Quiet Between the Storms","Hans Zimmer","movie-soundtracks-split"
"1496669252","Matera (From ''No Time To Die'' Soundtrack)","Hans Zimmer","movie-soundtracks-split"
"88725281","Alan Turing's Legacy (From ""The Imitation Game"" Soundtrack)","Alexandre Desplat","movie-soundtracks-split"
"493896542","Cantina Band","John Williams","movie-soundtracks-split"
"117726040","The Dragon Warrior","Hans Zimmer","movie-soundtracks-split"
"1398706572","Whiplash","Hank Levy","movie-soundtracks-split"
"80538212","Axel F (From ""Beverly Hills Cop"" Soundtrack)","Harold Faltermeyer","movie-soundtracks-split"
"493896612","The Throne Room and End Title","John Williams","movie-soundtracks-split"
"5522837","Alice's Theme","Danny Elfman","movie-soundtracks-split"
"424600042","Un Poco Loco","Anthony Gonzalez","movie-soundtracks-split"
"647709092","Why Do We Fall?","Hans Zimmer","movie-soundtracks-split"
"717247962","California Dreamin'","José Feliciano","movie-soundtracks-split"
"549302502","I Get Around","The Beach Boys","movie-soundtracks-split"
"3040782","Love Theme From ""The Godfather""","Nino Rota","movie-soundtracks-split"
"15439785","Falling Slowly","Glen Hansard","movie-soundtracks-split"
"669424052","Portals","Alan Silvestri","movie-soundtracks-split"
"499737922","9 to 5","Dolly Parton","movie-soundtracks-split"
"2296197","Welcome To Jurassic Park","John Williams","movie-soundtracks-split"
"17000045","Rose (From ""Titanic"" Soundtrack)","James Horner","movie-soundtracks-split"
"117729412","London","James Newton Howard","movie-soundtracks-split"
"115744966","Rey's Theme","John Williams","movie-soundtracks-split"
"538708842","Last Dance","Donna Summer","movie-soundtracks-split"
"14062602","Be My Baby","The Ronettes","movie-soundtracks-split"
"16918515","Safe & Sound (from The Hunger Games Soundtrack)","Taylor Swift","movie-soundtracks-split"
"70784948","Main Titles (From the HBO Miniseries ""Band of Brothers"" Soundtrack)","The London Metropolitan Orchestra","movie-soundtracks-split"
"80538204","The Heat Is On (From ""Beverly Hills Cop"" Soundtrack)","Glenn Frey","movie-soundtracks-split"
"393731742","Stay (I Missed You)","Lisa Loeb","movie-soundtracks-split"
"422280192","My Girl","The Temptations","movie-soundtracks-split"
"119437660","Coming Back Around","John Powell","movie-soundtracks-split"
"117728240","House Of Cards Main Title Theme","Jeff Beal","movie-soundtracks-split"
"11233716","We Got The Beat (2011 Remaster)","The Go-Go's","movie-soundtracks-split"
"767121772","Bathroom Dance","Hildur Guðnadóttir","movie-soundtracks-split"
"75643473","Once Upon a Time in The West (Main Theme)","Ennio Morricone","movie-soundtracks-split"
"3040776","The Godfather Waltz (Main Title)","Nino Rota","movie-soundtracks-split"
"540169472","The Shoop Shoop Song (It's In His Kiss)","Cher","movie-soundtracks-split"
"430264312","Remember Me (Dúo)","Miguel","movie-soundtracks-split"
"831930892","The Rise of Skywalker","John Williams","movie-soundtracks-split"
"117728414","Emma","Steven Price","movie-soundtracks-split"
"92200718","Lone Survivor","Steve Jablonsky","movie-soundtracks-split"
"2005660777","Wednesday Main Titles","Danny Elfman","movie-soundtracks-split"
"2381496005","Beauty and the Beast","Angela Lansbury","movie-soundtracks-split"
"440503712","The Last Jedi","John Williams","movie-soundtracks-split"
"493896462","Main Title","John Williams","movie-soundtracks-split"
"371523561","Theme (from ""Spider Man"") [Original Television Series]","Michael Giacchino","movie-soundtracks-split"
"74929085","Mr. Moustafa","Alexandre Desplat","movie-soundtracks-split"
"493835222","Ewok Celebration and Finale","John Williams","movie-soundtracks-split"
"3441564191","The Chamber of Secrets (From ""Harry Potter and the Chamber of Secrets"")","The City of Prague Philharmonic Orchestra","movie-soundtracks-split"
"831930952","We Go Together","John Williams","movie-soundtracks-split"
"440503552","Ahch-To Island","John Williams","movie-soundtracks-split"
"119871328","Back To The Future: Back To The Future (From ""Back To The Future"")","Alan Silvestri","movie-soundtracks-split"
"440503692","The Battle of Crait","John Williams","movie-soundtracks-split"
"1118037542","Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack / Remastered 2020)","Tangerine Dream","movie-soundtracks-split"
"823113702","Come Back to Us (From ""1917"" Soundtrack)","Thomas Newman","movie-soundtracks-split"
"493896472","Imperial Attack","John Williams","movie-soundtracks-split"
"493812702","Star Wars Main Title and Ambush on Coruscant","John Williams","movie-soundtracks-split"
"493836512","The Immolation Scene","John Williams","movie-soundtracks-split"
