DeezerId,Title,Artist,Source
"13128250","(I've Had) The Time Of My Life (From ""Dirty Dancing"" Soundtrack)","Bill Medley","movie-soundtracks-split"
"62419007","Flashdance...What a Feeling (Radio Edit)","Irene Cara","movie-soundtracks-split"
"3872734","Arthur's Theme (Best That You Can Do)","Christopher Cross","movie-soundtracks-split"
"576431","Eye of the Tiger","Survivor","movie-soundtracks-split"
"134012978","Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins","movie-soundtracks-split"
"7675055","Take My Breath Away (Love Theme from ""Top Gun"")","Berlin","movie-soundtracks-split"
"13128242","Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen","movie-soundtracks-split"
"5079647","Don't You (Forget About Me)","Simple Minds","movie-soundtracks-split"
"7675060","Top Gun Anthem (From ""Top Gun"" Original Soundtrack)","Harold Faltermeyer","movie-soundtracks-split"
"24307571","Circle of Life","Carmen Twillie","movie-soundtracks-split"
"7675403","I Will Always Love You","Whitney Houston","movie-soundtracks-split"
"3116046","The Power Of Love","Huey Lewis & The News","movie-soundtracks-split"
"7675051","Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","movie-soundtracks-split"
"3117931","He's a Pirate","Klaus Badelt","movie-soundtracks-split"
"3117869","Can You Feel the Love Tonight","Elton John","movie-soundtracks-split"
"3130429","A View to a Kill","Duran Duran","movie-soundtracks-split"
"3089031","The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone","movie-soundtracks-split"
"1014549","I'm Forrest... Forrest Gump","Alan Silvestri","movie-soundtracks-split"
"6410074","St. Elmos Fire (Man in Motion)","John Parr","movie-soundtracks-split"
"2485692","Mrs. Robinson","Simon & Garfunkel","movie-soundtracks-split"
"7398947","The Goonies 'R' Good Enough (From ""The Goonies"" Soundtrack)","Cyndi Lauper","movie-soundtracks-split"
"3093484","Goldfinger","Shirley Bassey","movie-soundtracks-split"
"906585","Up Where We Belong (From ""An Officer And A Gentleman"")","Joe Cocker","movie-soundtracks-split"
"3118641","Colors of the Wind","Judy Kuhn","movie-soundtracks-split"
"1109731","Lose Yourself","Eminem","movie-soundtracks-split"
"624823","I Don't Want To Miss A Thing","Aerosmith","movie-soundtracks-split"
"1101732","Ain't No Mountain High Enough","Marvin Gaye","movie-soundtracks-split"
"3055975","Now We Are Free","Lisa Gerrard","movie-soundtracks-split"
"13128241","She's Like the Wind (feat. Wendy Fraser) (From ""Dirty Dancing"" Soundtrack)","Patrick Swayze","movie-soundtracks-split"
"3130319","True (Single Edit)","Spandau Ballet","movie-soundtracks-split"
"576423","Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor","movie-soundtracks-split"
"669799","Stand By Me","Ben E. King","movie-soundtracks-split"
"906584","Endless Love (From ""The Endless Love"" Soundtrack)","Lionel Richie","movie-soundtracks-split"
"3819736","La Bamba","Los Lobos","movie-soundtracks-split"
"661779","Hedwig's Theme","John Williams","movie-soundtracks-split"
"3147390","Goldeneye","Tina Turner","movie-soundtracks-split"
"3108000","Drink Up Me Hearties Yo Ho","Hans Zimmer","movie-soundtracks-split"
"75392184","Rhythm Of The Night","DeBarge","movie-soundtracks-split"
"13163936","Xanadu","Olivia Newton-John","movie-soundtracks-split"
"3917698","Batdance","Prince","movie-soundtracks-split"
"3156230","If You Leave","Orchestral Manoeuvres In The Dark","movie-soundtracks-split"
"3041906","I Just Called To Say I Love You","Stevie Wonder","movie-soundtracks-split"
"679866","Dumbledore's Army","Nicholas Hooper","movie-soundtracks-split"
"2228692","The Look Of Love","Dusty Springfield","movie-soundtracks-split"
"120917666","A Whole New World","Lea Salonga","movie-soundtracks-split"
"145187392","Under the Sea","Samuel E. Wright","movie-soundtracks-split"
"685246","Respect","Aretha Franklin","movie-soundtracks-split"
"3169677","We Have All The Time In The World (Remastered 2003)","Louis Armstrong","movie-soundtracks-split"
"120917660","Friend Like Me","Robin Williams","movie-soundtracks-split"
"65443651","Main Title And First Victim","John Williams","movie-soundtracks-split"
"14617160","Good Times (with Jimmy Barnes)","INXS","movie-soundtracks-split"
"3167306","We Don't Need Another Hero (Thunderdome)","Tina Turner","movie-soundtracks-split"
"1020128","Jump in the Line","Harry Belafonte","movie-soundtracks-split"
"3085241","Kokomo (1995 Remaster)","The Beach Boys","movie-soundtracks-split"
"555639","Thriller","Michael Jackson","movie-soundtracks-split"
"912486","With Or Without You (Remastered 2007)","U2","movie-soundtracks-split"
"346967941","I'm So Excited","The Pointer Sisters","movie-soundtracks-split"
"532349","Total Eclipse of the Heart","Bonnie Tyler","movie-soundtracks-split"
"910474","Lovefool","The Cardigans","movie-soundtracks-split"
"856124","Your Love","The Outfield","movie-soundtracks-split"
"3098301","It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette","movie-soundtracks-split"
"664178","Kiss","Prince","movie-soundtracks-split"
"555640","Beat It","Michael Jackson","movie-soundtracks-split"
"3091966","Surfin' U.S.A. (Remastered 2001)","The Beach Boys","movie-soundtracks-split"
"3518231","Never Ending Story","Limahl","movie-soundtracks-split"
"905697","Say You, Say Me","Lionel Richie","movie-soundtracks-split"
"846215","Baby, I Love Your Way","Big Mountain","movie-soundtracks-split"
"3127387","Don't Worry Be Happy","Bobby McFerrin","movie-soundtracks-split"
"3402413","Hooked On A Feeling","Blue Swede","movie-soundtracks-split"
"3109247","I'm Gonna Be (500 Miles)","The Proclaimers","movie-soundtracks-split"
"4945407","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","movie-soundtracks-split"
"2627636","Glory of Love","Peter Cetera","movie-soundtracks-split"
"2525869","Every Little Thing She Does Is Magic","The Police","movie-soundtracks-split"
"906583","Celebration (Single Version)","Kool & The Gang","movie-soundtracks-split"
"15177141","Hungry Heart","Bruce Springsteen","movie-soundtracks-split"
"675801","Gloria","Laura Branigan","movie-soundtracks-split"
"863911","Lean On Me","Bill Withers","movie-soundtracks-split"
"3218408","The Promise","When In Rome","movie-soundtracks-split"
"866832","I'm Kissing You","Des'ree","movie-soundtracks-split"
"576439","No Easy Way Out (From ""Rocky IV"" Soundtrack)","Robert Tepper","movie-soundtracks-split"
"3598719","Tennessee","Hans Zimmer","movie-soundtracks-split"
"581533","Can't Fight This Feeling","REO Speedwagon","movie-soundtracks-split"
"1100395","You Know My Name (From ""Casino Royale"" Soundtrack)","Chris Cornell","movie-soundtracks-split"
"3599180","A Way of Life","Hans Zimmer","movie-soundtracks-split"
"1158692","When You Say Nothing At All","Ronan Keating","movie-soundtracks-split"
"1762557427","Jack Sparrow","Hans Zimmer","movie-soundtracks-split"
"2511688","Chevaliers De Sangreal (From The Da Vinci Code Original Motion Picture Soundtrack)","Hans Zimmer","movie-soundtracks-split"
"900973","Streets of Philadelphia","Bruce Springsteen","movie-soundtracks-split"
"117960244","Stuck In The Middle With You","Stealers Wheel","movie-soundtracks-split"
"4210321","These Boots Are Made for Walkin'","Nancy Sinatra","movie-soundtracks-split"
"3107999","One Day","Hans Zimmer","movie-soundtracks-split"
"14628816","Concerning Hobbits","Howard Shore","movie-soundtracks-split"
"5416678","Lux Aeterna","Clint Mansell","movie-soundtracks-split"
"4094807","The Living Daylights","a-ha","movie-soundtracks-split"
"6066638","Theme From Schindler's List","John Williams","movie-soundtracks-split"
"3616256","Wind Beneath My Wings","Bette Midler","movie-soundtracks-split"
"943152","I Melt with You","Modern English","movie-soundtracks-split"
"3016089391","Maestro","Hans Zimmer","movie-soundtracks-split"
"647838712","Discombobulate","Hans Zimmer","movie-soundtracks-split"
"3127743","Angel Of The Morning","Juice Newton","movie-soundtracks-split"
"14628728","Psycho Killer (Live)","Talking Heads","movie-soundtracks-split"
"3107992","Up Is Down","Hans Zimmer","movie-soundtracks-split"
"690101","1999","Prince","movie-soundtracks-split"
"2512462","Hurts So Good","John Mellencamp","movie-soundtracks-split"
"3089012","The Good, The Bad And The Ugly (2004 Remaster)","Ennio Morricone","movie-soundtracks-split"
"661749","Harry's Wondrous World (Extended Version)","John Williams","movie-soundtracks-split"
"904641","A Dark Knight","Hans Zimmer","movie-soundtracks-split"
"967017","Aquarius","Galt MacDermot","movie-soundtracks-split"
"72789516","On the Road Again","Willie Nelson","movie-soundtracks-split"
"12081830","In The Still of the Night","The Five Satins","movie-soundtracks-split"
"576436","Living in America (From ""Rocky IV"" Soundtrack)","James Brown","movie-soundtracks-split"
"65442214","For The Love Of A Princess","James Horner","movie-soundtracks-split"
"4828156","Becoming one of ""The People"" Becoming one with Neytiri","James Horner","movie-soundtracks-split"
"2794921","A Window to the Past","John Williams","movie-soundtracks-split"
"679859","Fireworks","Nicholas Hooper","movie-soundtracks-split"
"7675053","Playing with the Boys (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","movie-soundtracks-split"
"1032839","That Thing You Do!","The Wonders","movie-soundtracks-split"
"3599190","A Small Measure of Peace","Hans Zimmer","movie-soundtracks-split"
"3583326","Autobots","Steve Jablonsky","movie-soundtracks-split"
"751146","Bring on the Dancing Horses","Echo and the Bunnymen","movie-soundtracks-split"
"13148256","The Name's Bond... James Bond (From ""Casino Royale"" Soundtrack) (Album Version)","David Arnold","movie-soundtracks-split"
"3121967","Hip To Be Square","Huey Lewis & The News","movie-soundtracks-split"
"789587","Harry in Winter","Patrick Doyle","movie-soundtracks-split"
"24307621","Hakuna Matata","Nathan Lane","movie-soundtracks-split"
"1037326","The James Bond Theme (From ""Dr. No"")","John Barry","movie-soundtracks-split"
"608783","Hazy Shade of Winter","The Bangles","movie-soundtracks-split"
"661877","Fawkes the Phoenix","John Williams","movie-soundtracks-split"
"1030913","Main Theme (From ""Jurassic Park"")","John Williams","movie-soundtracks-split"
"65442204","Main Title","James Horner","movie-soundtracks-split"
"1055631","It Had to Be You (Big Band and Vocals)","Harry Connick Jr.","movie-soundtracks-split"
"15220573","Main Title","Danny Elfman","movie-soundtracks-split"
"13139973","Nothing's Gonna Stop Us Now","Starship","movie-soundtracks-split"
"789581","Neville's Waltz","Patrick Doyle","movie-soundtracks-split"
"691062","Main Titles","Vangelis","movie-soundtracks-split"
"13785214","Love You I Do","Jennifer Hudson","movie-soundtracks-split"
"145187390","Part of Your World","Jodi Benson","movie-soundtracks-split"
"581575","The John Dunbar Theme (From ""Dance with Wolves"" Soundtrack)","John Barry","movie-soundtracks-split"
"70603366","Main Title (From ""Chocolat"" Soundtrack)","Rachel Portman","movie-soundtracks-split"
"6697138","She","Elvis Costello","movie-soundtracks-split"
"1178950","Extreme Ways (Bourne's Ultimatum)","Moby","movie-soundtracks-split"
"1075589","Banana Boat (Day-O)","Harry Belafonte","movie-soundtracks-split"
"122832110","Just Around the Riverbend","Judy Kuhn","movie-soundtracks-split"
"2228680","Catch Me If You Can (From ""Catch Me If You Can"" Soundtrack)","John Williams","movie-soundtracks-split"
"1029782","Legends of the Fall","James Horner","movie-soundtracks-split"
"6620918","Somebody's Baby","Jackson Browne","movie-soundtracks-split"
"3169682","On Her Majesty's Secret Service (Remastered 2003)","John Barry","movie-soundtracks-split"
"722927","The Batman Theme","Danny Elfman","movie-soundtracks-split"
"546756","Neutron Dance","The Pointer Sisters","movie-soundtracks-split"
"4290178","A Groovy Kind of Love","Phil Collins","movie-soundtracks-split"
"578105","Man Against the World","Survivor","movie-soundtracks-split"
"134012988","I'm Free (Heaven Helps the Man) (From ""Footloose"" Soundtrack)","Kenny Loggins","movie-soundtracks-split"
"534811","Any Way You Want It","Journey","movie-soundtracks-split"
"3087485","Endless Summer Nights","Richard Marx","movie-soundtracks-split"
"3110548","Ben","Trevor Rabin","movie-soundtracks-split"
"586314","Spider-Man 2 Main Title","Danny Elfman","movie-soundtracks-split"
"1108040","Hymn To The Fallen (From ""Saving Private Ryan"" Soundtrack)","John Williams","movie-soundtracks-split"
"7675054","Lead Me On (From ""Top Gun"" Original Soundtrack)","Teena Marie","movie-soundtracks-split"
"145187400","Kiss the Girl","Samuel E. Wright","movie-soundtracks-split"
"3860459","Al otro lado del río","Jorge Drexler","movie-soundtracks-split"
"854612","Dancing In The Sheets","Shalamar","movie-soundtracks-split"
"24185241","The Glory Days","Michael Giacchino","movie-soundtracks-split"
"14617161","Lost in the Shadows (The Lost Boys)","Lou Gramm","movie-soundtracks-split"
"2514044","We Are Not Alone","Karla Devito","movie-soundtracks-split"
"6635013","Jungle Love","The Time","movie-soundtracks-split"
"3144076","Turning Japanese","The Vapors","movie-soundtracks-split"
"5431773","I'm Alright (Theme from ""Caddyshack"")","Kenny Loggins","movie-soundtracks-split"
"6632169","Love Theme from St. Elmo's Fire (Instrumental)","David Foster","movie-soundtracks-split"
"2298341","Great Balls Of Fire","Jerry Lee Lewis","movie-soundtracks-split"
"2191765","Theme From ""Shaft"" (Remastered 1991 Album Version)","Isaac Hayes","movie-soundtracks-split"
"3579822","Prelude and Main Title March","John Williams","movie-soundtracks-split"
"7423150","Now We Are Free (Maximus Mix)","Gavin Greenaway","movie-soundtracks-split"
"2514040","Fire In The Twilight","Wang Chung","movie-soundtracks-split"
"3124362","Diamonds Are Forever","Shirley Bassey","movie-soundtracks-split"
"675718","The Edge of Forever","The Dream Academy","movie-soundtracks-split"
"625952","Only the Young","Journey","movie-soundtracks-split"
"3404087","Rock This Town (Single Edit/24 Bit Mastering/ Digital Remaster/1999)","Stray Cats","movie-soundtracks-split"
"664107","Take on Me","a-ha","movie-soundtracks-split"
"15586296","Don't Stop 'Til You Get Enough","Michael Jackson","movie-soundtracks-split"
"925108","Don't Stop The Music","Rihanna","movie-soundtracks-split"
"2525864","Every Breath You Take","The Police","movie-soundtracks-split"
"68515055","Enjoy the Silence","Depeche Mode","movie-soundtracks-split"
"698274","Forever Young","Alphaville","movie-soundtracks-split"
"925106","Umbrella","Rihanna","movie-soundtracks-split"
"540175","...Baby One More Time","Britney Spears","movie-soundtracks-split"
"884025","Dancing Queen","ABBA","movie-soundtracks-split"
"1171163","I'm Still Standing","Elton John","movie-soundtracks-split"
"884041","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","movie-soundtracks-split"
"936899","Where Is My Mind?","Pixies","movie-soundtracks-split"
"1079668","Africa","Toto","movie-soundtracks-split"
"884035","The Winner Takes It All","ABBA","movie-soundtracks-split"
"15593566","Black or White","Michael Jackson","movie-soundtracks-split"
"1124111","The Bitch Is Back (Remastered 1995)","Elton John","movie-soundtracks-split"
"680518","Snow (Hey Oh)","Red Hot Chili Peppers","movie-soundtracks-split"
"69962764","Should I Stay or Should I Go (Remastered)","The Clash","movie-soundtracks-split"
"927900","Wind Of Change","Scorpions","movie-soundtracks-split"
"625643","Don't Stop Believin'","Journey","movie-soundtracks-split"
"1030221","Down Under","Men At Work","movie-soundtracks-split"
"2514681","Money For Nothing","Dire Straits","movie-soundtracks-split"
"24949681","Sweet Home Alabama","Lynyrd Skynyrd","movie-soundtracks-split"
"1173622","Tainted Love","Soft Cell","movie-soundtracks-split"
"1075781","No Scrubs","TLC","movie-soundtracks-split"
"786717","Believe","Cher","movie-soundtracks-split"
"15194531","Wake Me Up Before You Go-Go","Wham!","movie-soundtracks-split"
"678044","Basket Case","Green Day","movie-soundtracks-split"
"82199332","Womanizer","Britney Spears","movie-soundtracks-split"
