DeezerId,Title,Artist,Source
"13128250","(I've Had) The Time Of My Life (From ""Dirty Dancing"" Soundtrack)","Bill Medley","thematic-autokeep (7 editorial lists)"
"82715364","Skyfall","Adele","thematic-autokeep (6 editorial lists)"
"1137370842","Cornfield Chase","Hans Zimmer","thematic-autokeep (6 editorial lists)"
"62419007","Flashdance...What a Feeling (Radio Edit)","Irene Cara","thematic-autokeep (6 editorial lists)"
"3872734","Arthur's Theme (Best That You Can Do)","Christopher Cross","thematic-autokeep (6 editorial lists)"
"72371930","Let It Go (From ""Frozen""/Soundtrack Version)","Idina Menzel","thematic-autokeep (6 editorial lists)"
"576431","Eye of the Tiger","Survivor","thematic-autokeep (5 editorial lists)"
"139138743","Stayin Alive","Bee Gees","thematic-autokeep (5 editorial lists)"
"134012978","Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins","thematic-autokeep (5 editorial lists)"
"7675055","Take My Breath Away (Love Theme from ""Top Gun"")","Berlin","thematic-autokeep (5 editorial lists)"
"6524423","Time","Hans Zimmer","thematic-autokeep (5 editorial lists)"
"13128242","Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen","thematic-autokeep (5 editorial lists)"
"137727927","City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling","thematic-autokeep (5 editorial lists)"
"5079647","Don't You (Forget About Me)","Simple Minds","thematic-autokeep (5 editorial lists)"
"128547767","Ghostbusters","Ray Parker, Jr.","thematic-autokeep (5 editorial lists)"
"7675060","Top Gun Anthem (From ""Top Gun"" Original Soundtrack)","Harold Faltermeyer","thematic-autokeep (5 editorial lists)"
"10686738","Pretty in Pink","The Psychedelic Furs","thematic-autokeep (5 editorial lists)"
"24307571","Circle of Life","Carmen Twillie","thematic-autokeep (5 editorial lists)"
"561856742","Shallow","Lady Gaga","thematic-autokeep (4 editorial lists)"
"7675403","I Will Always Love You","Whitney Houston","thematic-autokeep (4 editorial lists)"
"3116046","The Power Of Love","Huey Lewis & The News","thematic-autokeep (4 editorial lists)"
"134036426","Against All Odds (Take a Look at Me Now) (2016 Remaster)","Phil Collins","thematic-autokeep (4 editorial lists)"
"561875132","You'll Be In My Heart","Phil Collins","thematic-autokeep (4 editorial lists)"
"7675051","Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","thematic-autokeep (4 editorial lists)"
"3117931","He's a Pirate","Klaus Badelt","thematic-autokeep (4 editorial lists)"
"3117869","Can You Feel the Love Tonight","Elton John","thematic-autokeep (4 editorial lists)"
"3130429","A View to a Kill","Duran Duran","thematic-autokeep (4 editorial lists)"
"3089031","The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone","thematic-autokeep (4 editorial lists)"
"1137370862","Day One (Interstellar Theme)","Hans Zimmer","thematic-autokeep (4 editorial lists)"
"17000055","My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion","thematic-autokeep (4 editorial lists)"
"493896712","Duel of the Fates","John Williams","thematic-autokeep (4 editorial lists)"
"1014549","I'm Forrest... Forrest Gump","Alan Silvestri","thematic-autokeep (4 editorial lists)"
"6410074","St. Elmos Fire (Man in Motion)","John Parr","thematic-autokeep (4 editorial lists)"
"2485692","Mrs. Robinson","Simon & Garfunkel","thematic-autokeep (4 editorial lists)"
"7398947","The Goonies 'R' Good Enough (From ""The Goonies"" Soundtrack)","Cyndi Lauper","thematic-autokeep (4 editorial lists)"
"5610919","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","thematic-autokeep (4 editorial lists)"
"3093484","Goldfinger","Shirley Bassey","thematic-autokeep (4 editorial lists)"
"906585","Up Where We Belong (From ""An Officer And A Gentleman"")","Joe Cocker","thematic-autokeep (4 editorial lists)"
"3118641","Colors of the Wind","Judy Kuhn","thematic-autokeep (4 editorial lists)"
"7050482","Maniac (Re-Recorded)","Michael Sembello","thematic-autokeep (4 editorial lists)"
"1109731","Lose Yourself","Eminem","thematic-autokeep (3 editorial lists)"
"624823","I Don't Want To Miss A Thing","Aerosmith","thematic-autokeep (3 editorial lists)"
"1101732","Ain't No Mountain High Enough","Marvin Gaye","thematic-autokeep (3 editorial lists)"
"781563062","You're The One That I Want (From “Grease”)","John Travolta","thematic-autokeep (3 editorial lists)"
"3055975","Now We Are Free","Lisa Gerrard","thematic-autokeep (3 editorial lists)"
"13128241","She's Like the Wind (feat. Wendy Fraser) (From ""Dirty Dancing"" Soundtrack)","Patrick Swayze","thematic-autokeep (3 editorial lists)"
"568120982","Bohemian Rhapsody","Queen","thematic-autokeep (3 editorial lists)"
"3130319","True (Single Edit)","Spandau Ballet","thematic-autokeep (3 editorial lists)"
"90379179","The Hanging Tree (From ""The Hunger Games: Mockingjay"" Soundtrack)","James Newton Howard","thematic-autokeep (3 editorial lists)"
"576423","Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor","thematic-autokeep (3 editorial lists)"
"421388782","Cruel Summer","Bananarama","thematic-autokeep (3 editorial lists)"
"669799","Stand By Me","Ben E. King","thematic-autokeep (3 editorial lists)"
"906584","Endless Love (From ""The Endless Love"" Soundtrack)","Lionel Richie","thematic-autokeep (3 editorial lists)"
"1764283617","Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer","thematic-autokeep (3 editorial lists)"
"3819736","La Bamba","Los Lobos","thematic-autokeep (3 editorial lists)"
"1137370902","Mountains","Hans Zimmer","thematic-autokeep (3 editorial lists)"
"2296192","Theme From Jurassic Park","John Williams","thematic-autokeep (3 editorial lists)"
"661779","Hedwig's Theme","John Williams","thematic-autokeep (3 editorial lists)"
"647394572","Lily's Theme","Alexandre Desplat","thematic-autokeep (3 editorial lists)"
"132196486","I Heard It Through The Grapevine","Marvin Gaye","thematic-autokeep (3 editorial lists)"
"561867002","American Beauty","Thomas Newman","thematic-autokeep (3 editorial lists)"
"3147390","Goldeneye","Tina Turner","thematic-autokeep (3 editorial lists)"
"696962792","You've Got a Friend in Me","Randy Newman","thematic-autokeep (3 editorial lists)"
"427219182","Night Fever (From ""Saturday Night Fever"" Soundtrack)","Bee Gees","thematic-autokeep (3 editorial lists)"
"62953943","Django","Luis Bacalov","thematic-autokeep (3 editorial lists)"
"493883202","The Imperial March (Darth Vader's Theme)","John Williams","thematic-autokeep (3 editorial lists)"
"3108000","Drink Up Me Hearties Yo Ho","Hans Zimmer","thematic-autokeep (3 editorial lists)"
"75392184","Rhythm Of The Night","DeBarge","thematic-autokeep (3 editorial lists)"
"136349848","How Far I'll Go","Auli'i Cravalho","thematic-autokeep (3 editorial lists)"
"13163936","Xanadu","Olivia Newton-John","thematic-autokeep (3 editorial lists)"
"3917698","Batdance","Prince","thematic-autokeep (3 editorial lists)"
"3156230","If You Leave","Orchestral Manoeuvres In The Dark","thematic-autokeep (3 editorial lists)"
"440503542","Main Title and Escape","John Williams","thematic-autokeep (3 editorial lists)"
"10357261","Let's Hear It for the Boy (From ""Footloose"" Original Soundtrack)","Deniece Williams","thematic-autokeep (3 editorial lists)"
"468253402","Unchained Melody","The Righteous Brothers","thematic-autokeep (3 editorial lists)"
"90120289","It Might Be You (Theme from Tootsie)","Stephen Bishop","thematic-autokeep (3 editorial lists)"
"3041906","I Just Called To Say I Love You","Stevie Wonder","thematic-autokeep (3 editorial lists)"
"493836432","Anakin's Betrayal","John Williams","thematic-autokeep (3 editorial lists)"
"5664761","Live And Let Die (Main Title)","Paul McCartney","thematic-autokeep (3 editorial lists)"
"679866","Dumbledore's Army","Nicholas Hooper","thematic-autokeep (3 editorial lists)"
"2228692","The Look Of Love","Dusty Springfield","thematic-autokeep (3 editorial lists)"
"120917666","A Whole New World","Lea Salonga","thematic-autokeep (3 editorial lists)"
"145187392","Under the Sea","Samuel E. Wright","thematic-autokeep (3 editorial lists)"
"493836422","Battle of the Heroes","John Williams","thematic-autokeep (3 editorial lists)"
