DeezerId,Title,Artist,Source
"3602074142","Choosin' Texas","Ella Langley","thematic-autokeep (4 editorial lists)"
"1899060227","End of Beginning","Djo","thematic-autokeep (2 editorial lists)"
"2755315691","Love Me Not","Ravyn Lenae","thematic-autokeep (2 editorial lists)"
"3650665212","ONE TRACK MIND","Naïka","thematic-autokeep (2 editorial lists)"
"564326662","Babydoll","Dominic Fike","thematic-autokeep (2 editorial lists)"
"3400077541","Manchild","Sabrina Carpenter","thematic-autokeep (2 editorial lists)"
"2728070371","Good Luck, Babe!","Chappell Roan","thematic-autokeep (2 editorial lists)"
"1040154662","Heat Waves","Glass Animals","thematic-autokeep (2 editorial lists)"
"3794985752","Homewrecker","sombr","thematic-autokeep (2 editorial lists)"
"24949681","Sweet Home Alabama","Lynyrd Skynyrd","thematic-autokeep (2 editorial lists)"
"15546830","Pumped Up Kicks","Foster The People","thematic-autokeep (2 editorial lists)"
"3387454721","Fame is a Gun","Addison Rae","thematic-autokeep (2 editorial lists)"
"910474","Lovefool","The Cardigans","thematic-autokeep (2 editorial lists)"
"985985832","Wonderwall","Oasis","thematic-autokeep (2 editorial lists)"
"107329230","Catch & Release (Deepend Remix)","Matt Simons","thematic-autokeep (2 editorial lists)"
"2181330357","Back On 74","Jungle","thematic-autokeep (2 editorial lists)"
"2252935","Save Tonight","Eagle-Eye Cherry","thematic-autokeep (2 editorial lists)"
"3954281411","Potential","sombr","thematic-autokeep (2 editorial lists)"
"1457107762","Take My Breath (Single Version)","The Weeknd","thematic-autokeep (2 editorial lists)"
"747399472","Virtual Insanity (Remastered 2013)","Jamiroquai","thematic-autokeep (2 editorial lists)"
"3929350","Love Shack","The B-52's","thematic-autokeep (2 editorial lists)"
"426703702","Life in the Fast Lane (2013 Remaster)","Eagles","thematic-autokeep (2 editorial lists)"
"2815968782","Messy","Lola Young","thematic-autokeep (1 editorial lists)"
"3850680281","New Religion","Bebe Rexha","thematic-autokeep (1 editorial lists)"
"3558373981","melodrama","disiz","thematic-autokeep (1 editorial lists)"
"3869647201","FEVER DREAM","Alex Warren","thematic-autokeep (1 editorial lists)"
"2610711672","Beautiful Things","Benson Boone","thematic-autokeep (1 editorial lists)"
"3050380851","APT.","ROSÉ","thematic-autokeep (1 editorial lists)"
"65723649","Another Love","Tom Odell","thematic-autokeep (1 editorial lists)"
"3471224101","12 to 12","sombr","thematic-autokeep (1 editorial lists)"
"3548216281","WHERE IS MY HUSBAND!","RAYE","thematic-autokeep (1 editorial lists)"
"3503857201","Man I Need","Olivia Dean","thematic-autokeep (1 editorial lists)"
"4015341011","Dai Dai","Shakira","thematic-autokeep (1 editorial lists)"
"3862691491","Save Me Tonight","Jennifer Lopez","thematic-autokeep (1 editorial lists)"
"3210709941","Ordinary","Alex Warren","thematic-autokeep (1 editorial lists)"
"2424911405","Feel Good","Charlotte Cardin","thematic-autokeep (1 editorial lists)"
"664107","Take on Me","a-ha","thematic-autokeep (1 editorial lists)"
"144389048","Lush Life","Zara Larsson","thematic-autokeep (1 editorial lists)"
"3410229851","No Broke Boys","Disco Lines","thematic-autokeep (1 editorial lists)"
"3818963601","Dracula (JENNIE Remix)","Tame Impala","thematic-autokeep (1 editorial lists)"
"3151351511","back to friends","sombr","thematic-autokeep (1 editorial lists)"
