DeezerId,Title,Artist,Source
"68513610","Just Can't Get Enough","Depeche Mode","thematic-autokeep (2 editorial lists)"
"84668451","Diamonds","Josef Salvat","thematic-autokeep (2 editorial lists)"
"71519882","The Man","Aloe Blacc","thematic-autokeep (2 editorial lists)"
"118425530","In the Air Tonight (2015 Remaster)","Phil Collins","thematic-autokeep (2 editorial lists)"
"907944","You're All I Need To Get By","Marvin Gaye","thematic-autokeep (2 editorial lists)"
"2610711672","Beautiful Things","Benson Boone","thematic-autokeep (1 editorial lists)"
"92720046","Back In Black","AC/DC","thematic-autokeep (1 editorial lists)"
"2206500507","La symphonie des éclairs","Zaho de Sagazan","thematic-autokeep (1 editorial lists)"
"2992806421","Nightcall","Kavinsky","thematic-autokeep (1 editorial lists)"
"532349","Total Eclipse of the Heart","Bonnie Tyler","thematic-autokeep (1 editorial lists)"
"664444","Everywhere","Fleetwood Mac","thematic-autokeep (1 editorial lists)"
"910474","Lovefool","The Cardigans","thematic-autokeep (1 editorial lists)"
"67446406","Love Me Again","John Newman","thematic-autokeep (1 editorial lists)"
"8011857","Count on Me","Bruno Mars","thematic-autokeep (1 editorial lists)"
"116348452","Come Together (Remastered 2009)","The Beatles","thematic-autokeep (1 editorial lists)"
"3107395","Are You Gonna Go My Way","Lenny Kravitz","thematic-autokeep (1 editorial lists)"
"11282931","Need You Tonight","INXS","thematic-autokeep (1 editorial lists)"
"958021","You Spin Me Round (Like A Record) (Original 7"" Mix)","Dead Or Alive","thematic-autokeep (1 editorial lists)"
"3613215","Owner of a Lonely Heart","Yes","thematic-autokeep (1 editorial lists)"
"3824093","Feeling Good","Muse","thematic-autokeep (1 editorial lists)"
"75711295","Best Day Of My Life","American Authors","thematic-autokeep (1 editorial lists)"
"1151503","Tiny Dancer","Elton John","thematic-autokeep (1 editorial lists)"
"65759979","Counting Stars","OneRepublic","thematic-autokeep (1 editorial lists)"
"7923756","Valerie (feat. Amy Winehouse) (Version Revisited)","Mark Ronson","thematic-autokeep (1 editorial lists)"
"69924599","London Calling (Remastered)","The Clash","thematic-autokeep (1 editorial lists)"
"576423","Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor","thematic-autokeep (1 editorial lists)"
"5503498","Break My Stride","Matthew Wilder","thematic-autokeep (1 editorial lists)"
"2509817","Video Killed The Radio Star","The Buggles","thematic-autokeep (1 editorial lists)"
"24246281","It's My Life","No Doubt","thematic-autokeep (1 editorial lists)"
"1089861","Let Me Blow Ya Mind","Eve","thematic-autokeep (1 editorial lists)"
"70562298","All Night","Parov Stelar","thematic-autokeep (1 editorial lists)"
"937332","A-Punk","Vampire Weekend","thematic-autokeep (1 editorial lists)"
"891619","You Make Me Feel (Mighty Real)","Sylvester","thematic-autokeep (1 editorial lists)"
"3122352561","Big City Life","Mattafix","thematic-autokeep (1 editorial lists)"
"479843892","The Power Of Love","Frankie Goes To Hollywood","thematic-autokeep (1 editorial lists)"
