DeezerId,Title,Artist,Source
"831350","The Fresh Prince of Bel-Air","DJ Jazzy Jeff & The Fresh Prince","thematic-autokeep (4 editorial lists)"
"15672498","The Muppet Show Theme","The Muppets","thematic-autokeep (4 editorial lists)"
"4289170","I'll Be There for You (Theme from ""Friends')","The Rembrandts","thematic-autokeep (4 editorial lists)"
"647367982","Main Title Theme - Westworld","Ramin Djawadi","thematic-autokeep (3 editorial lists)"
"752911","Believe It or Not (Theme from ""Greatest American Hero"")","Joey Scarbury","thematic-autokeep (3 editorial lists)"
"13805986","Big Bang Theory Theme","Barenaked Ladies","thematic-autokeep (3 editorial lists)"
"5093914","(Theme From) The Monkees","The Monkees","thematic-autokeep (3 editorial lists)"
"89987203","At Least It Was Here (""Community"" Main Title) [Full Length Version]","The 88","thematic-autokeep (3 editorial lists)"
"119836806","Knight Rider","TV Themes","thematic-autokeep (3 editorial lists)"
"2083623","Where Everybody Knows Your Name (Cheers Theme)","Gary Portnoy","thematic-autokeep (3 editorial lists)"
"13207752","The Transformers (Theme)","Lion","thematic-autokeep (3 editorial lists)"
"677778992","Duck Tales Theme (From “Duck Tales“)","The Disney Afternoon Studio Chorus","thematic-autokeep (3 editorial lists)"
"677778982","Gummi Bears Theme","The Disney Afternoon Studio Chorus","thematic-autokeep (3 editorial lists)"
"677779002","Chip 'N' Dale's Rescue Rangers Theme Song","The Disney Afternoon Studio Chorus","thematic-autokeep (3 editorial lists)"
"3051185","""Sanford & Son Theme"" - NBC-TV (The Streetbeater)","Quincy Jones","thematic-autokeep (3 editorial lists)"
"677779012","Darkwing Duck Theme","The Disney Afternoon Studio Chorus","thematic-autokeep (3 editorial lists)"
"86494227","Full House","The Hollywood prime Time Orchestra","thematic-autokeep (3 editorial lists)"
"694079092","Inspector Gadget","TV Themes","thematic-autokeep (3 editorial lists)"
"119836776","Hart to Hart","TV Themes","thematic-autokeep (3 editorial lists)"
"647797132","Fame","Irene Cara","thematic-autokeep (2 editorial lists)"
"3667834","I Don't Want to Wait","Paula Cole","thematic-autokeep (2 editorial lists)"
"117729426","Main Title","Ramin Djawadi","thematic-autokeep (2 editorial lists)"
"127563039","Main Titles","Ramin Djawadi","thematic-autokeep (2 editorial lists)"
"758527","Happy Days (Theme from ''Happy Days'')","Pratt & McClain","thematic-autokeep (2 editorial lists)"
"9125239","Superman","Lazlo Bane","thematic-autokeep (2 editorial lists)"
"643753642","The Fresh Prince of Bel-Air - The Theme Music","TV Themes","thematic-autokeep (2 editorial lists)"
"108475686","Teenage Mutant Ninja Turtles Cartoon Opening Theme (1987)","Teenage Mutant Ninja Turtles","thematic-autokeep (2 editorial lists)"
"14637931","Moonlighting (Theme) (2009 Remaster)","Al Jarreau","thematic-autokeep (2 editorial lists)"
"3177908","Hawaii Five-O","The Ventures","thematic-autokeep (2 editorial lists)"
"2661713","Batman Theme (from ""Batman"" A Greenway Production in association with Twentieth Century-Fox Television)","Neal Hefti & his Orchestra and Chorus","thematic-autokeep (2 editorial lists)"
"21582501","Knots Landing - Theme from the Television Series","Dominik Hauser","thematic-autokeep (2 editorial lists)"
"1053752862","Main Title (from the Television Series ""Knight Rider"")","Stu Phillips","thematic-autokeep (2 editorial lists)"
"1717141","Punky Brewster Theme (Full Length Version)","Gary Portnoy","thematic-autokeep (2 editorial lists)"
"414308332","Theme from the Walking Dead","Bear McCreary","thematic-autokeep (2 editorial lists)"
"927410522","Tale Spin Theme","The Disney Afternoon Studio Chorus","thematic-autokeep (2 editorial lists)"
"7695435","Star Trek: The Next Generation Main Title","Jerry Goldsmith, Ron Jones","thematic-autokeep (2 editorial lists)"
"4242620","Desperate Housewives Theme","Danny Elfman","thematic-autokeep (2 editorial lists)"
"529193901","He-Man And The Masters Of The Universe - Main Theme","Geek Music","thematic-autokeep (2 editorial lists)"
"756636","Theme from Hill Street Blues (feat. Larry Carlton)","Mike Post","thematic-autokeep (2 editorial lists)"
"113489518","Wacky Races","TV Themes","thematic-autokeep (2 editorial lists)"
"7695334","Star Trek: Voyager - Main Title","Jerry Goldsmith","thematic-autokeep (2 editorial lists)"
"92720102","Thunderstruck","AC/DC","thematic-autokeep (1 editorial lists)"
"670804","Roadhouse Blues","The Doors","thematic-autokeep (1 editorial lists)"
"3167295","The Best (Edit)","Tina Turner","thematic-autokeep (1 editorial lists)"
"128548959","Cold Little Heart","Michael Kiwanuka","thematic-autokeep (1 editorial lists)"
"3866895","Hero (feat. Josey Scott)","Chad Kroeger","thematic-autokeep (1 editorial lists)"
"929222","All Right Now","Free","thematic-autokeep (1 editorial lists)"
