DeezerId,Title,Artist,Source
"79875064","Thinking out Loud","Ed Sheeran","thematic-autokeep (5 editorial lists)"
"731732292","You're Still The One","Shania Twain","thematic-autokeep (5 editorial lists)"
"8011850","Just the Way You Are","Bruno Mars","thematic-autokeep (4 editorial lists)"
"8011854","Marry You","Bruno Mars","thematic-autokeep (4 editorial lists)"
"14499484","a thousand years","Christina Perri","thematic-autokeep (4 editorial lists)"
"2171224","At Last","Etta James","thematic-autokeep (4 editorial lists)"
"940347","Make You Feel My Love","Adele","thematic-autokeep (4 editorial lists)"
"580441","Amazed","Lonestar","thematic-autokeep (4 editorial lists)"
"4290138","Iris","The Goo Goo Dolls","thematic-autokeep (3 editorial lists)"
"70079770","All of Me","John Legend","thematic-autokeep (3 editorial lists)"
"624823","I Don't Want To Miss A Thing","Aerosmith","thematic-autokeep (3 editorial lists)"
"880181","Your Song","Elton John","thematic-autokeep (3 editorial lists)"
"2686140","I'm Yours","Jason Mraz","thematic-autokeep (3 editorial lists)"
"7675403","I Will Always Love You","Whitney Houston","thematic-autokeep (3 editorial lists)"
"737967302","Lover","Taylor Swift","thematic-autokeep (3 editorial lists)"
"546004","You Make My Dreams (Come True)","Daryl Hall & John Oates","thematic-autokeep (3 editorial lists)"
"1175626","Wonderful Tonight","Eric Clapton","thematic-autokeep (3 editorial lists)"
"17827563","I Won't Give Up","Jason Mraz","thematic-autokeep (3 editorial lists)"
"680660","Everything","Michael Bublé","thematic-autokeep (3 editorial lists)"
"94065898","The One","Kodaline","thematic-autokeep (3 editorial lists)"
"71433038","Crazy Love (2013 Remaster)","Van Morrison","thematic-autokeep (3 editorial lists)"
"499632732","Speechless","Dan + Shay","thematic-autokeep (3 editorial lists)"
"477116472","You Are The Best Thing","Ray Lamontagne","thematic-autokeep (3 editorial lists)"
"4773503","You And Me","Lifehouse","thematic-autokeep (3 editorial lists)"
"3128096","Yellow","Coldplay","thematic-autokeep (2 editorial lists)"
"142986206","Perfect","Ed Sheeran","thematic-autokeep (2 editorial lists)"
"136710424","Stand By Me","Ben E. King","thematic-autokeep (2 editorial lists)"
"136336110","24K Magic","Bruno Mars","thematic-autokeep (2 editorial lists)"
"10308117","Give Me Everything (feat. Nayer)","Pitbull","thematic-autokeep (2 editorial lists)"
"67238735","Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Daft Punk","thematic-autokeep (2 editorial lists)"
"629466","If I Ain't Got You","Alicia Keys","thematic-autokeep (2 editorial lists)"
"13040252","Feel So Close (Radio Edit)","Calvin Harris","thematic-autokeep (2 editorial lists)"
"131742260","Say You Won't Let Go","James Arthur","thematic-autokeep (2 editorial lists)"
"468232742","You Are The Reason","Calum Scott","thematic-autokeep (2 editorial lists)"
"906625","What A Wonderful World","Louis Armstrong","thematic-autokeep (2 editorial lists)"
"1526991462","I Love You So","The Walters","thematic-autokeep (2 editorial lists)"
"14552288","Because You Loved Me (Theme from ""Up Close and Personal"")","Céline Dion","thematic-autokeep (2 editorial lists)"
"145434430","Sweet Caroline","Neil Diamond","thematic-autokeep (2 editorial lists)"
"75711295","Best Day Of My Life","American Authors","thematic-autokeep (2 editorial lists)"
"2320086","Better Together","Jack Johnson","thematic-autokeep (2 editorial lists)"
"845910","Lucky","Jason Mraz","thematic-autokeep (2 editorial lists)"
"1576190","Chasing Cars","Snow Patrol","thematic-autokeep (2 editorial lists)"
"1579730","More Than Words","Extreme","thematic-autokeep (2 editorial lists)"
"140044655","I Only Have Eyes for You","The Flamingos","thematic-autokeep (2 editorial lists)"
