OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(gap)","","","","Forever Young","Alphaville","Forever Young","698274","960598","226","false","https://www.deezer.com/us/track/698274","https://cdnt-preview.dzcdn.net/api/1/1/7/f/0/0/7f02fea4b9542f7219e32b30a0b50e60.mp3?hdnea=exp=1781297467~acl=/api/1/1/7/f/0/0/7f02fea4b9542f7219e32b30a0b50e60.mp3*~data=user_id=0,application_id=42~hmac=352f1eaa1234f13dd29354ea5710d6b6f50e12c582ad5fb0d64965a7ace68537","On 4 editorial lists"
"(gap)","","","","Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.","Love Songs","3085246","805750","438","false","https://www.deezer.com/us/track/3085246","https://cdnt-preview.dzcdn.net/api/1/1/3/5/c/0/35c48941902a315d9bb277dcfa0614a9.mp3?hdnea=exp=1781297467~acl=/api/1/1/3/5/c/0/35c48941902a315d9bb277dcfa0614a9.mp3*~data=user_id=0,application_id=42~hmac=f19f7305bb1149d8a7436aa2717e0c30a6cc05c4f715ba04b46def30235346ba","On 3 editorial lists"
"(gap)","","","","Woman In Love","Barbra Streisand","The Essential Barbra Streisand","625398","784503","231","false","https://www.deezer.com/us/track/625398","https://cdnt-preview.dzcdn.net/api/1/1/7/9/3/0/7930130f3a1f8c4c1686cd53e463d3f5.mp3?hdnea=exp=1781297467~acl=/api/1/1/7/9/3/0/7930130f3a1f8c4c1686cd53e463d3f5.mp3*~data=user_id=0,application_id=42~hmac=336f950700bfee581d9a924216b746d523e6972a535ec34bd86f54641328663a","On 3 editorial lists"
"(gap)","","","","Sweet Love","Anita Baker","Rapture","717534","669406","266","false","https://www.deezer.com/us/track/717534","https://cdnt-preview.dzcdn.net/api/1/1/a/6/a/0/a6a2f8d1ed2606a7fb6bb006d87d70d6.mp3?hdnea=exp=1781297467~acl=/api/1/1/a/6/a/0/a6a2f8d1ed2606a7fb6bb006d87d70d6.mp3*~data=user_id=0,application_id=42~hmac=037f85420caeb4930da3d39f83ad74c51447d251e6e0a376ba74881d0de5dccb","On 3 editorial lists"
"(gap)","","","","Wind Beneath My Wings","Bette Midler","Experience The Divine (Greatest Hits)","3616256","583594","293","false","https://www.deezer.com/us/track/3616256","https://cdnt-preview.dzcdn.net/api/1/1/f/3/c/0/f3c8c2f8c0625f783bad1996ed91f476.mp3?hdnea=exp=1781297467~acl=/api/1/1/f/3/c/0/f3c8c2f8c0625f783bad1996ed91f476.mp3*~data=user_id=0,application_id=42~hmac=3a346caf776ef4349624cf1039bb3733abde1581a1a5ed05efb0cb06cbefaaa4","On 3 editorial lists"
"(gap)","","","","A Forest","The Cure","Seventeen Seconds","2498167","913022","355","false","https://www.deezer.com/us/track/2498167","https://cdnt-preview.dzcdn.net/api/1/1/3/2/7/0/327522f47155f873083b5e0091477f4a.mp3?hdnea=exp=1781297470~acl=/api/1/1/3/2/7/0/327522f47155f873083b5e0091477f4a.mp3*~data=user_id=0,application_id=42~hmac=71b874fe394bb6266028c885ac5b827920707f16be15a81d18f2ec277586346e","On 2 editorial lists"
"(gap)","","","","Paradise City","Guns N' Roses","Appetite For Destruction (Super Deluxe Edition)","518458142","875943","406","false","https://www.deezer.com/us/track/518458142","https://cdnt-preview.dzcdn.net/api/1/1/9/c/8/0/9c8ef7fd15bb502b764c0551a3c9306f.mp3?hdnea=exp=1781297470~acl=/api/1/1/9/c/8/0/9c8ef7fd15bb502b764c0551a3c9306f.mp3*~data=user_id=0,application_id=42~hmac=b9fc662064193cebaa3455ade324841a718785568f096e68da741b3093454e06","On 2 editorial lists"
"(gap)","","","","Words (Original Version 1983)","F.R. David","Words (Original Album)","5367498","797901","208","false","https://www.deezer.com/us/track/5367498","https://cdnt-preview.dzcdn.net/api/1/1/e/9/4/0/e94d35f29a7b6829fec06f38c142c768.mp3?hdnea=exp=1781297469~acl=/api/1/1/e/9/4/0/e94d35f29a7b6829fec06f38c142c768.mp3*~data=user_id=0,application_id=42~hmac=530d9f2eb75a758834b046fd5dba4f2dd25e2526627dc9e4024f1801a4aa3f0f","On 2 editorial lists"
"(gap)","","","","This Charming Man (Single Version; 2008 Remaster)","The Smiths","The Sound of the Smiths (Deluxe; 2008 Remaster)","5093604","779634","163","false","https://www.deezer.com/us/track/5093604","https://cdnt-preview.dzcdn.net/api/1/1/c/b/8/0/cb836f510f8aa8c754947b692d480df5.mp3?hdnea=exp=1781297472~acl=/api/1/1/c/b/8/0/cb836f510f8aa8c754947b692d480df5.mp3*~data=user_id=0,application_id=42~hmac=44bb755e4bae2ce34a0bb8c95a27c6937d29831fddf98cacbdb1ff5e8d254593","On 2 editorial lists"
"(gap)","","","","Don't Worry Be Happy","Bobby McFerrin","Simple Pleasures","3127387","757614","288","false","https://www.deezer.com/us/track/3127387","https://cdnt-preview.dzcdn.net/api/1/1/7/e/1/0/7e1118a5e2b38f81b06e5b99a0e71b64.mp3?hdnea=exp=1781297467~acl=/api/1/1/7/e/1/0/7e1118a5e2b38f81b06e5b99a0e71b64.mp3*~data=user_id=0,application_id=42~hmac=c06772a6201bb62ae0ea88fa2e2dd839f824698b6c50a58be69189eaaa79f69b","On 2 editorial lists"
"(gap)","","","","Little Lies (2017 Remaster)","Fleetwood Mac","Tango in the Night (2017 Remaster)","341017571","741542","221","false","https://www.deezer.com/us/track/341017571","https://cdnt-preview.dzcdn.net/api/1/1/0/4/c/0/04ca57aa206b1f2a48acda1d53a0362c.mp3?hdnea=exp=1781297468~acl=/api/1/1/0/4/c/0/04ca57aa206b1f2a48acda1d53a0362c.mp3*~data=user_id=0,application_id=42~hmac=e005a582a124c508085e4daf372c18cccd56aa973a3a3ad67d3ea4d33dea4662","On 2 editorial lists"
