"We Don't Talk About Bruno","Encanto Cast",""
"Surface Pressure","Jessica Darrow",""
"What Was I Made For?","Billie Eilish",""
"I'm Just Ken","Ryan Gosling",""
"Peaches","Jack Black",""
"Fancy Like","Walker Hayes",""
"Buy Dirt","Jordan Davis & Luke Bryan",""
"Till You Can't","Cody Johnson",""
"5 Foot 9","Tyler Hubbard",""
"Thinking 'Bout You","Dustin Lynch feat. MacKenzie Porter",""
"Watermelon Moonshine","Lainey Wilson",""
"Save Me","Jelly Roll & Lainey Wilson",""
"Pretty Heart","Parker McCollum",""
"Fall in Love","Bailey Zimmerman",""
"Cupid (Twin Ver.)","FIFTY FIFTY",""
"Super Shy","NewJeans",""
"OMG","NewJeans",""
"Permission to Dance","BTS",""
"The Feels","TWICE",""
"Flower","JISOO",""
"Magnetic","ILLIT",""
"Smart","LE SSERAFIM",""
"Tacones Rojos","Sebastián Yatra",""
"PROVENZA","KAROL G",""
"Mon Amour (Remix)","zzoilo & Aitana",""
"Todo De Ti","Rauw Alejandro",""
"La Bachata","Manuel Turizo",""
"El Merengue","Marshmello & Manuel Turizo",""
"Pareja del Año","Sebastián Yatra & Myke Towers",""
"LALA","Myke Towers",""
"Bang!","AJR",""
"World's Smallest Violin","AJR",""
"Wellerman (Sea Shanty)","Nathan Evans",""
"I Love You So","The Walters",""
"Snap","Rosa Linn",""
"Padam Padam","Kylie Minogue",""
"Space Man","Sam Ryder",""
"Tattoo","Loreen",""
"Cha Cha Cha","Käärijä",""
"Fly Away","Tones and I",""
"Glimpse of Us","Joji",""
"If the World Was Ending","JP Saxe feat. Julia Michaels",""
"Hold Me Closer","Elton John & Britney Spears",""
"The Motto","Tiësto & Ava Max",""
"Don't Be Shy","Tiësto & KAROL G",""
"Miracle","Calvin Harris & Ellie Goulding",""
"Desire","Calvin Harris & Sam Smith",""
"Crazy What Love Can Do","David Guetta, Becky Hill & Ella Henderson",""
"Remember","Becky Hill & David Guetta",""
"Miss You","Oliver Tree & Robin Schulz",""
"Overdrive","Oliver Tree",""
"Forget Me","Lewis Capaldi",""
"Wish You the Best","Lewis Capaldi",""
"Rescued","Foo Fighters",""
"Sharks","Imagine Dragons",""
"Monsters","All Time Low feat. blackbear",""
"Overcompensated","Twenty One Pilots",""
"Dark Matter","Pearl Jam",""
"One More Time","Blink-182",""
"Lux Æterna","Metallica",""
"Chaise Longue","Wet Leg",""
"I Can Feel It","Kane Brown",""
"Maybe You're the Problem","Ava Max",""
"Celestial","Ed Sheeran",""
"Training Season","Dua Lipa",""
"Sacrifice","The Weeknd",""
"Take My Breath","The Weeknd",""
"Less Than Zero","The Weeknd",""
"Life Goes On","BTS",""
"LALISA","LISA",""
