DeezerId,Title,Artist,Album,Source
"72371930","Let It Go (From ""Frozen""/Soundtrack Version)","Idina Menzel","","Frozen"
"72371923","Do You Want to Build a Snowman? (From ""Frozen""/Soundtrack Version)","Kristen Bell","","Frozen"
"72371927","For the First Time in Forever (From ""Frozen""/Soundtrack Version)","Kristen Bell","","Frozen"
"72371928","Love Is an Open Door (From ""Frozen""/Soundtrack Version)","Kristen Bell","","Frozen"
"803932592","Into the Unknown","Idina Menzel","","Frozen 2"
"803932632","Show Yourself","Idina Menzel","","Frozen 2"
"803932582","Some Things Never Change","Kristen Bell","","Frozen 2"
"136340808","How Far I'll Go","Auli'i Cravalho","","Moana"
"136340814","You're Welcome","Dwayne Johnson","","Moana"
"136340824","We Know The Way (Finale)","Lin-Manuel Miranda","","Moana"
"136340816","Shiny","Jemaine Clement","","Moana"
"419915862","Remember Me (Dúo)","Miguel","","Coco"
"424600042","Un Poco Loco","Anthony Gonzalez","","Coco"
"1550822122","We Don't Talk About Bruno (Instrumental)","Lin-Manuel Miranda","","Encanto"
"1550821752","Surface Pressure","Jessica Darrow","","Encanto"
"1550821782","Dos Oruguitas","Sebastián Yatra","","Encanto"
"1550821742","Waiting On A Miracle","Stephanie Beatriz","","Encanto"
"7599985","I See the Light (From ""Tangled"" / Soundtrack Version)","Mandy Moore","","Tangled"
"7599979","When Will My Life Begin? (From ""Tangled"" / Soundtrack Version)","Mandy Moore","","Tangled"
"35087811","Touch The Sky","Julie Fowlis","","Brave"
"1675161847","Nobody Like U","4*TOWN (From Disney and Pixar’s Turning Red)","","Turning Red"
"63041537","I Dreamed A Dream (From ""Les Misérables"")","Anne Hathaway","","Les Misérables"
"392046272","Do You Hear The People Sing?","Aaron Tveit","","Les Misérables"
"63041545","On My Own","Samantha Barks","","Les Misérables"
"63041541","Suddenly","Hugh Jackman","","Les Misérables"
"435175512","This Is Me","Keala Settle","","The Greatest Showman"
"435175522","Rewrite The Stars","Zac Efron","","The Greatest Showman"
"435175502","Never Enough","Loren Allred","","The Greatest Showman"
"435175552","From Now On","Hugh Jackman","","The Greatest Showman"
"435175452","The Greatest Show","Hugh Jackman","","The Greatest Showman"
"137727927","City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling","","La La Land"
"137727933","Audition (The Fools Who Dream)","Emma Stone","","La La Land"
"137727911","Another Day Of Sun","La La Land Cast","","La La Land"
"137727913","Someone In The Crowd","Emma Stone","","La La Land"
"561856742","Shallow","Lady Gaga","","A Star Is Born"
"561856792","Always Remember Us This Way","Lady Gaga","","A Star Is Born"
"561856952","I'll Never Love Again (Film Version)","Lady Gaga","","A Star Is Born"
"3100316061","Defying Gravity","Cynthia Erivo","","Wicked"
"3100316021","Popular","Ariana Grande","","Wicked"
"3100315991","What Is This Feeling?","Ariana Grande","","Wicked"
"107832272","My Shot","Lin-Manuel Miranda","","Hamilton"
"107832292","Wait for It","Leslie Odom Jr.","","Hamilton"
"107832286","Helpless","Phillipa Soo","","Hamilton"
"107832288","Satisfied","Renee Elise Goldsberry","","Hamilton"
"826858182","Memory (From The Motion Picture Soundtrack ""Cats"")","Jennifer Hudson","","Cats"
"602456552","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone","","Spider-Man: Into the Spider-Verse"
"602456542","What's Up Danger","Blackway","","Spider-Man: Into the Spider-Verse"
"456965032","All The Stars (From ""Black Panther: The Album"")","Kendrick Lamar","","Black Panther"
"456011702","Pray For Me","The Weeknd","","Black Panther"
"95813354","See You Again (feat. Charlie Puth)","Wiz Khalifa","","Furious 7"
"1738831217","Hold My Hand","Lady Gaga","","Top Gun: Maverick"
"82715364","Skyfall","Adele","","Skyfall"
"107900036","Writing's On The Wall (From ""Spectre"" Soundtrack)","Sam Smith","","Spectre"
"877873612","No Time To Die","Billie Eilish","","No Time to Die"
"90379179","The Hanging Tree (From ""The Hunger Games: Mockingjay"" Soundtrack)","James Newton Howard","","The Hunger Games: Mockingjay"
"14499484","a thousand years","Christina Perri","","The Twilight Saga: Breaking Dawn"
"92826786","Earned It (Fifty Shades Of Grey) (From The ""Fifty Shades Of Grey"" Soundtrack)","The Weeknd","","Fifty Shades of Grey"
"111780476","Love Me Like You Do (From ""Fifty Shades Of Grey"")","Ellie Goulding","","Fifty Shades of Grey"
"2366043655","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish","","Barbie"
"2299840635","Dance The Night (From Barbie The Album)","Dua Lipa","","Barbie"
"2373296465","Pink","Lizzo","","Barbie"
"2364462315","Can You Hear The Music","Ludwig Göransson","","Oppenheimer"
"568115892","Bohemian Rhapsody (2011 Remaster)","Queen","","Bohemian Rhapsody"
"568116192","Don't Stop Me Now (…revisited)","Queen","","Bohemian Rhapsody"
"568115782","Somebody To Love (2011 Remaster)","Queen","","Bohemian Rhapsody"
"716513472","Radio Ga Ga (Remastered 2011)","Queen","","Bohemian Rhapsody"
"17479889","Hound Dog","Elvis Presley","","Elvis"
"1007284052","Cups (Pitch Perfect’s “When I’m Gone”) (Pop Version)","Anna Kendrick","","Pitch Perfect"
"105708778","Flashlight (From ""Pitch Perfect 2"" Soundtrack)","Jessie J","","Pitch Perfect 2"
"2173954687","Running Up That Hill (A Deal With God)","Kate Bush","","Stranger Things"
"1806332507","Master of Puppets","Metallica","","Stranger Things"
"723289462","All For Us (from the HBO Original Series Euphoria)","Labrinth","","Euphoria"
