OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"Alone","Heart","3102828","28559","Alone","Heart","Bad Animals","3127630","740927","218","false","https://www.deezer.com/us/track/3127630","https://cdnt-preview.dzcdn.net/api/1/1/2/f/9/0/2f9bf282efccca1cb2b5806315c8a807.mp3?hdnea=exp=1781147168~acl=/api/1/1/2/f/9/0/2f9bf282efccca1cb2b5806315c8a807.mp3*~data=user_id=0,application_id=42~hmac=f590454f2a56573c0af566d01c364bd0fd8376435009b72e4bffe14393ef3034","Exact title match"
"The Whole Of The Moon","The Waterboys","3151400","27419","The Whole Of The Moon (Video Version)","The Waterboys","The Whole Of The Moon (Video Version)","2546985242","202111","298","false","https://www.deezer.com/us/track/2546985242","https://cdnt-preview.dzcdn.net/api/1/1/c/9/7/0/c97963f6c4fc5f6781fd0db33b313dce.mp3?hdnea=exp=1781147169~acl=/api/1/1/c/9/7/0/c97963f6c4fc5f6781fd0db33b313dce.mp3*~data=user_id=0,application_id=42~hmac=2b2126dd23134e89369ef7b43627c9942fed1f5b0aa47d196e4deba3a3d3beff","Exact title match"
"A Little Respect (Remastered 2009)","Erasure","68925713","27040","A Little Respect (2009 Remastered Version)","Erasure","Always: The Very Best of Erasure","143031198","41303","211","false","https://www.deezer.com/us/track/143031198","https://cdnt-preview.dzcdn.net/api/1/1/d/a/c/0/dacee4aa4779bdd6d40fb0ae1e01369f.mp3?hdnea=exp=1781147169~acl=/api/1/1/d/a/c/0/dacee4aa4779bdd6d40fb0ae1e01369f.mp3*~data=user_id=0,application_id=42~hmac=aead060ad98e3f9d516007a4928034bcd8939cffd798b772e5fb2beb6f3d1800","Exact title match"
"Running Up That Hill (A Deal With God)","Kate Bush","11221319","25149","Running Up That Hill (A Deal With God)","Kate Bush","Hounds Of Love","2173954687","953088","298","false","https://www.deezer.com/us/track/2173954687","https://cdnt-preview.dzcdn.net/api/1/1/9/b/b/0/9bbc5f3d55dbac396dfdb82f16607c61.mp3?hdnea=exp=1781147169~acl=/api/1/1/9/b/b/0/9bbc5f3d55dbac396dfdb82f16607c61.mp3*~data=user_id=0,application_id=42~hmac=3141a6bdc348348f114416ad11bddbf974c2f744a0595f76a1db89363a7b8269","Exact title match"
"Don't You (Forget About Me)","Simple Minds","65039246","24963","Don't You (Forget About Me)","Simple Minds","The Breakfast Club","5079647","698348","260","false","https://www.deezer.com/us/track/5079647","https://cdnt-preview.dzcdn.net/api/1/1/e/f/d/0/efd6e58a12296e620f6080638f28203b.mp3?hdnea=exp=1781147170~acl=/api/1/1/e/f/d/0/efd6e58a12296e620f6080638f28203b.mp3*~data=user_id=0,application_id=42~hmac=b8e16f3b43f33bd429401e0c8bc336bcbaad9b7da77c4b5c2c464da36c6ed188","Exact title match"
"Let's Dance (1999 Remaster)","David Bowie","3103847","21835","","","","","","","","","","NO ALTERNATIVE — keep cut"
"Separate Ways (Worlds Apart)","Journey","534670","21539","Separate Ways (Worlds Apart) (Steve Perry & Bryce Miller Extended Remix)","Journey","Stranger Things: Soundtrack from the Netflix Series, Season 4","1806332527","579589","195","false","https://www.deezer.com/us/track/1806332527","https://cdnt-preview.dzcdn.net/api/1/1/6/8/6/0/68613af47aa500c87a7e426e3b950fcd.mp3?hdnea=exp=1781147170~acl=/api/1/1/6/8/6/0/68613af47aa500c87a7e426e3b950fcd.mp3*~data=user_id=0,application_id=42~hmac=dbb45d5b543e825f6dad24049e0a6d91e86df101a96f19bbdbe9d25a29025a06","Exact title match"
"Come On Eileen","Dexys Midnight Runners","4585682","20938","Come On Eileen (Single Edit)","Dexys Midnight Runners","Come On Eileen / Dubious","4255658","627298","208","false","https://www.deezer.com/us/track/4255658","https://cdnt-preview.dzcdn.net/api/1/1/c/1/8/0/c182e2a6f6ba24782cf2ceac508bac13.mp3?hdnea=exp=1781147171~acl=/api/1/1/c/1/8/0/c182e2a6f6ba24782cf2ceac508bac13.mp3*~data=user_id=0,application_id=42~hmac=750ced45f91b75b796b13a85cb85b39245ce91ef9cf3de837ee9fa14c321c2a3","Exact title match"
"Come On Eileen","Dexys Midnight Runners","1115061","18409","Come On Eileen (Single Edit)","Dexys Midnight Runners","Come On Eileen / Dubious","4255658","627298","208","false","https://www.deezer.com/us/track/4255658","https://cdnt-preview.dzcdn.net/api/1/1/c/1/8/0/c182e2a6f6ba24782cf2ceac508bac13.mp3?hdnea=exp=1781147171~acl=/api/1/1/c/1/8/0/c182e2a6f6ba24782cf2ceac508bac13.mp3*~data=user_id=0,application_id=42~hmac=750ced45f91b75b796b13a85cb85b39245ce91ef9cf3de837ee9fa14c321c2a3","Exact title match"
"I Wanna Dance with Somebody (Single Version)","Whitney Houston","615819","17771","","","","","","","","","","NO ALTERNATIVE — keep cut"
"Heaven Is A Place On Earth","Belinda Carlisle","67539452","15805","Heaven Is A Place On Earth","Belinda Carlisle","Heaven On Earth","24968371","406576","244","false","https://www.deezer.com/us/track/24968371","https://cdnt-preview.dzcdn.net/api/1/1/9/d/3/0/9d32b00ce0ff50b9b5c55583f60aa9ee.mp3?hdnea=exp=1781147172~acl=/api/1/1/9/d/3/0/9d32b00ce0ff50b9b5c55583f60aa9ee.mp3*~data=user_id=0,application_id=42~hmac=de0e1c12f4b31f8046455f1067ce7c00bb1ab5c9a592e1efde436a00676ab638","Exact title match"
"Our House","Madness","8253529","15494","Our House","Madness","Total Madness... The Very Best Of Madness","130399608","338139","199","false","https://www.deezer.com/us/track/130399608","https://cdnt-preview.dzcdn.net/api/1/1/a/0/6/0/a0600833ab6447239b95ec9471124f43.mp3?hdnea=exp=1781147172~acl=/api/1/1/a/0/6/0/a0600833ab6447239b95ec9471124f43.mp3*~data=user_id=0,application_id=42~hmac=111b770caba87b369d2ef49c8310726367d7de1decf46b3f3a1c92c2c7628d03","Exact title match"
"Hungry Like The Wolf (2001 Remastered Version)","Duran Duran","3153334","13702","","","","","","","","","","NO ALTERNATIVE — keep cut"
"Against All Odds (Take a Look at Me Now) [From ""Against All Odds""]","Phil Collins","75094696","10212","Against All Odds (Take a Look at Me Now) (Live from the Serious Tour 1990; 2019 Remaster)","Phil Collins","Serious Hits...Live! (2019 Remaster)","624596492","467755","209","false","https://www.deezer.com/us/track/624596492","https://cdnt-preview.dzcdn.net/api/1/1/4/a/1/0/4a1486ee37b9c849d197fc8906caa0d3.mp3?hdnea=exp=1781147173~acl=/api/1/1/4/a/1/0/4a1486ee37b9c849d197fc8906caa0d3.mp3*~data=user_id=0,application_id=42~hmac=cf0560d7b8c2b842fc0cd6b213dc631f549e848319805c120398746396a9d9f2","Exact title match"
"The Living Years","Mike + The Mechanics","140521373","8907","The Living Years (Acoustic)","Mike + The Mechanics","Out Of The Blue","2598565452","343837","332","false","https://www.deezer.com/us/track/2598565452","https://cdnt-preview.dzcdn.net/api/1/1/c/b/0/0/cb0b3ab3bee76cc253467dc21c01c060.mp3?hdnea=exp=1781147173~acl=/api/1/1/c/b/0/0/cb0b3ab3bee76cc253467dc21c01c060.mp3*~data=user_id=0,application_id=42~hmac=ea16a16b3ddccca3896f908b62d5bb1cbff82e3888520e12cc3905d2f8140730","Exact title match"
"Eye of the Tiger","Survivor","651355112","2486","Eye of the Tiger","Survivor","Rocky IV","576431","898987","245","false","https://www.deezer.com/us/track/576431","https://cdnt-preview.dzcdn.net/api/1/1/6/a/6/0/6a6cec63a2a62ad17c65c3706e216ce8.mp3?hdnea=exp=1781147173~acl=/api/1/1/6/a/6/0/6a6cec63a2a62ad17c65c3706e216ce8.mp3*~data=user_id=0,application_id=42~hmac=d2cb895beb2d271905fc4a5073573da3907130946280f02ebc1a88d571db8a4d","Exact title match"
"Our Lips Are Sealed (Single Version)","The Go-Go's","-2656405662","219394","Our Lips Are Sealed (Single Version)","The Go-Go's","Beauty And The Beat","2113409","219394","165","false","https://www.deezer.com/us/track/2113409","https://cdnt-preview.dzcdn.net/api/1/1/9/7/2/0/972aa2072a6191525dc597f01350bb72.mp3?hdnea=exp=1781147173~acl=/api/1/1/9/7/2/0/972aa2072a6191525dc597f01350bb72.mp3*~data=user_id=0,application_id=42~hmac=c3e0c2ff561fae30160cc3a90ef62c8c5aa1752dc77cbc6b3cadc0b405b1e611","Exact title match"
"Eternal Flame","The Bangles","3037340","138412","","","","","","","","","","NO ALTERNATIVE — keep cut"
"Road to Nowhere (2005 Remaster)","Talking Heads","-2648428262","62898","Road to Nowhere (2005 Remaster)","Talking Heads","Little Creatures (Deluxe Version)","14635963","62898","259","false","https://www.deezer.com/us/track/14635963","https://cdnt-preview.dzcdn.net/api/1/1/3/a/b/0/3abd37e01798fc5ad6769cfff4ddd972.mp3?hdnea=exp=1781147174~acl=/api/1/1/3/a/b/0/3abd37e01798fc5ad6769cfff4ddd972.mp3*~data=user_id=0,application_id=42~hmac=2c188f5585cca45b3d642f67096caf52ec734e8a6f9edd9c36a15116316ff5d1","Exact title match"
