OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"Missing","Everything But The Girl","400190542","21587","Missing (Todd Terry Club Mix / US Radio Edit)","Everything But The Girl","Amplified Heart","1787742227","626122","249","https://www.deezer.com/us/track/1787742227","https://cdnt-preview.dzcdn.net/api/1/1/f/3/4/0/f341777665d07e01d4bff688ed93fcbe.mp3?hdnea=exp=1781058087~acl=/api/1/1/f/3/4/0/f341777665d07e01d4bff688ed93fcbe.mp3*~data=user_id=0,application_id=42~hmac=2f3aa5a2f1affc4c18187c645b398b5c3d950b100b4162bc9c6394e56a25903b","Exact title match"
"Virtual Insanity","Jamiroquai","83796590","7236","Virtual Insanity (Bklava Remix - Radio Edit)","Jamiroquai","Virtual Insanity (Bklava Remix)","1575749302","214253","203","https://www.deezer.com/us/track/1575749302","https://cdnt-preview.dzcdn.net/api/1/1/6/e/b/0/6eb2057ac5d07e3059eeb87b2604c5d6.mp3?hdnea=exp=1781058087~acl=/api/1/1/6/e/b/0/6eb2057ac5d07e3059eeb87b2604c5d6.mp3*~data=user_id=0,application_id=42~hmac=ce1ae680328c41f462bcd543a3f262cbd47b0d0412191baccc45da2f108fe01a","Exact title match"
"Fantasy","Mariah Carey","618428","1239","Fantasy","Mariah Carey","Daydream","1013792","764149","244","https://www.deezer.com/us/track/1013792","https://cdnt-preview.dzcdn.net/api/1/1/8/0/7/0/8075ab03acadc3f8587fccbbb1b2e7aa.mp3?hdnea=exp=1781058088~acl=/api/1/1/8/0/7/0/8075ab03acadc3f8587fccbbb1b2e7aa.mp3*~data=user_id=0,application_id=42~hmac=5e7f55c522f8c1d7771cfba3b694742a6efef0a11711e317db2ceaeb470fe6f6","Exact title match"
"Linger","The Cranberries","1137657","329361","Linger","The Cranberries","Stars: The Best Of The Cranberries 1992-2002","1176440","649884","274","https://www.deezer.com/us/track/1176440","https://cdnt-preview.dzcdn.net/api/1/1/1/8/2/0/1821215a7044c6662af5e72f5a5b65f2.mp3?hdnea=exp=1781058088~acl=/api/1/1/1/8/2/0/1821215a7044c6662af5e72f5a5b65f2.mp3*~data=user_id=0,application_id=42~hmac=e539b840d2bf17ca2ed7b88f6ebf187dcfe93151ba74d333cb1f9f66b98b7d22","Exact title match"
"You Were Meant For Me","Jewel","1089822742","29071","You Were Meant For Me","Jewel","Pieces Of You (25th Anniversary Edition)","1444389232","439664","254","https://www.deezer.com/us/track/1444389232","https://cdnt-preview.dzcdn.net/api/1/1/c/9/a/0/c9adaf07c04fee5338e736714bf3f77c.mp3?hdnea=exp=1781058088~acl=/api/1/1/c/9/a/0/c9adaf07c04fee5338e736714bf3f77c.mp3*~data=user_id=0,application_id=42~hmac=ca16f4cdf0c0a8cc728b040ed4a1d39dca498c50baa1c082e2e3daea327e316f","Exact title match"
"It Feels So Good","Sonique","582327622","27631","It Feels So Good (Sonique vs. Ramiro) [Damon Hess Club Mix] (Radio Edit)","Sonique","Feels So Good (Sonique vs. Ramiro) (Remixes)","410495582","263871","193","https://www.deezer.com/us/track/410495582","https://cdnt-preview.dzcdn.net/api/1/1/3/e/b/0/3eb479feadec2cb6d47173bf838350db.mp3?hdnea=exp=1781058089~acl=/api/1/1/3/e/b/0/3eb479feadec2cb6d47173bf838350db.mp3*~data=user_id=0,application_id=42~hmac=0a9f4c6e78a755957b36df973095daf993aed5188d4d6e74afe822e50ce13dfc","Exact title match"
"Whatta Man","Salt-N-Pepa","9990585","26724","Whatta Man (feat. En Vogue) (EP Version)","Salt 'N' Pepa","The Very Best of En Vogue","772271","460398","296","https://www.deezer.com/us/track/772271","https://cdnt-preview.dzcdn.net/api/1/1/6/1/a/0/61a6150d6c82aa223276a0d9bcd785a1.mp3?hdnea=exp=1781058089~acl=/api/1/1/6/1/a/0/61a6150d6c82aa223276a0d9bcd785a1.mp3*~data=user_id=0,application_id=42~hmac=0bd071ef84c40da61ba359cec1ae3f21bbc333683fc233f140e5ff1e58387159","Exact title match"
"Virtual Insanity (Remastered 2006)","Jamiroquai","73696392","26715","Virtual Insanity (Remastered 2006)","Jamiroquai","High Times: Singles 1992-2006","1884719637","828053","229","https://www.deezer.com/us/track/1884719637","https://cdnt-preview.dzcdn.net/api/1/1/1/7/f/0/17f0fe767a557b5e1a9bfa954e7d40ac.mp3?hdnea=exp=1781058089~acl=/api/1/1/1/7/f/0/17f0fe767a557b5e1a9bfa954e7d40ac.mp3*~data=user_id=0,application_id=42~hmac=67677e824b48a1140b2bf07f661764f35f70f8137a0b6e860e3ce396adb4ecce","Exact title match"
"If I Let You Go (Radio Edit)","Westlife","959916","26509","If I Let You Go (Radio Edit)","Westlife","Westlife","1170141562","278743","218","https://www.deezer.com/us/track/1170141562","https://cdnt-preview.dzcdn.net/api/1/1/3/0/0/0/300c3c8abfe35caaf1daa631dd0bf670.mp3?hdnea=exp=1781058090~acl=/api/1/1/3/0/0/0/300c3c8abfe35caaf1daa631dd0bf670.mp3*~data=user_id=0,application_id=42~hmac=eff7c3813f641874feb4cf20fc70b15dd6eccad48b3ac262e7575b386ce477b1","Exact title match"
"You Gotta Be","Des'ree","12976633","26434","You Gotta Be","Des'ree","Supernatural","866837","707910","246","https://www.deezer.com/us/track/866837","https://cdnt-preview.dzcdn.net/api/1/1/7/1/6/0/716372c56cdf2482c49c078e61ae0853.mp3?hdnea=exp=1781058090~acl=/api/1/1/7/1/6/0/716372c56cdf2482c49c078e61ae0853.mp3*~data=user_id=0,application_id=42~hmac=81dd486c32840089f592688b02b8363e4e98602c577299b1ac0125390a01aec1","Exact title match"
