OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(thematic candidate)","","","","Don't Matter (Radio Edit)","Akon","Don't Matter","1100118","174989","249","false","https://www.deezer.com/us/track/1100118","https://cdnt-preview.dzcdn.net/api/1/1/2/5/e/0/25e1133e517b854e49d659af00f63426.mp3?hdnea=exp=1781745688~acl=/api/1/1/2/5/e/0/25e1133e517b854e49d659af00f63426.mp3*~data=user_id=0,application_id=42~hmac=bfc4bf50b2676a4ed621dcdc299735427c3efc43388d7044cfefd2cb946e70da","On 2 editorial lists"
"(thematic candidate)","","","","Can't Get Enough Of Your Love, Babe","Barry White","Love Songs","537987222","170313","267","false","https://www.deezer.com/us/track/537987222","https://cdnt-preview.dzcdn.net/api/1/1/b/d/c/0/bdcb6030fc04be62d0d177b5bffe46de.mp3?hdnea=exp=1781745700~acl=/api/1/1/b/d/c/0/bdcb6030fc04be62d0d177b5bffe46de.mp3*~data=user_id=0,application_id=42~hmac=6568e2d628aba13355f9994ae7aabe4f41eb68dfa7c1cec9575a83b00afbae43","On 2 editorial lists"
"(thematic candidate)","","","","I Knew I Loved You","Savage Garden","Affirmation","532605","47901","250","false","https://www.deezer.com/us/track/532605","https://cdnt-preview.dzcdn.net/api/1/1/5/1/5/0/515de4ba5d45a934ba07fa9fbc2fa70d.mp3?hdnea=exp=1781745694~acl=/api/1/1/5/1/5/0/515de4ba5d45a934ba07fa9fbc2fa70d.mp3*~data=user_id=0,application_id=42~hmac=e5483df7d9bee4c334fcc7f2a553c645d620d259a6d4ca5808165d2dafca959a","On 2 editorial lists"
"(thematic candidate)","","","","Me and Mrs. Jones","Billy Paul","Love Songs","74977353","36999","285","false","https://www.deezer.com/us/track/74977353","https://cdnt-preview.dzcdn.net/api/1/1/2/9/f/0/29f69223fde4bf25fd159afc21e7b060.mp3?hdnea=exp=1781745700~acl=/api/1/1/2/9/f/0/29f69223fde4bf25fd159afc21e7b060.mp3*~data=user_id=0,application_id=42~hmac=a8bc892d0fff70056ef22ad13590868b9fcc9d1fba1b3d4d40deb6c595dd046a","On 2 editorial lists"
"(thematic candidate)","","","","Never Let Me Down Again","Depeche Mode","Music for the Masses (Deluxe)","136334622","699271","288","false","https://www.deezer.com/us/track/136334622","https://cdnt-preview.dzcdn.net/api/1/1/d/8/e/0/d8e268efbf105c80a7215eb8973eba2e.mp3?hdnea=exp=1781745697~acl=/api/1/1/d/8/e/0/d8e268efbf105c80a7215eb8973eba2e.mp3*~data=user_id=0,application_id=42~hmac=f61474de809dbdae68bbe195cdf01cfd66cc852b235b7b64f1787df740420e09","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Stuck On You","Lionel Richie","Can't Slow Down","920067","697149","190","false","https://www.deezer.com/us/track/920067","https://cdnt-preview.dzcdn.net/api/1/1/b/d/c/0/bdc6385b031a9876dfa389c16c583474.mp3?hdnea=exp=1781745694~acl=/api/1/1/b/d/c/0/bdc6385b031a9876dfa389c16c583474.mp3*~data=user_id=0,application_id=42~hmac=82db285025de90ad445135b278e346abedae18eae314674e8b1883dc90592263","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Men In Black (From ""Men In Black"" Soundtrack)","Will Smith","Greatest Hits","626417","697084","227","false","https://www.deezer.com/us/track/626417","https://cdnt-preview.dzcdn.net/api/1/1/6/2/9/0/629d2b639cf2763d8f18a5dc94c90430.mp3?hdnea=exp=1781745691~acl=/api/1/1/6/2/9/0/629d2b639cf2763d8f18a5dc94c90430.mp3*~data=user_id=0,application_id=42~hmac=0e3503dfff8f1b22dcdd356ee5596c0bead4b2de7600e415603cc1b55ada2905","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","One Headlight","The Wallflowers","Bringing Down The Horse","2193499","696123","312","false","https://www.deezer.com/us/track/2193499","https://cdnt-preview.dzcdn.net/api/1/1/c/c/a/0/cca4a1a93af87370ed9b84e76b6333d9.mp3?hdnea=exp=1781745693~acl=/api/1/1/c/c/a/0/cca4a1a93af87370ed9b84e76b6333d9.mp3*~data=user_id=0,application_id=42~hmac=857ce993ea75997a3612d722d6c06fd26aced853e0e90a1db282b427c980db1d","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Greatest Love of All","Whitney Houston","Whitney Houston","1131194","695902","292","false","https://www.deezer.com/us/track/1131194","https://cdnt-preview.dzcdn.net/api/1/1/d/8/b/0/d8be301fccd44a9838b52dcd0bc6d964.mp3?hdnea=exp=1781745702~acl=/api/1/1/d/8/b/0/d8be301fccd44a9838b52dcd0bc6d964.mp3*~data=user_id=0,application_id=42~hmac=670a3cdb3ff1ab28bd67f174f796d164dca56f9a0d0e5c81979e8f69111b233a","On 1 list: Billboard #1 hits '80s - Number one singles 1980-1989"
"(thematic candidate)","","","","Our House","Crosby, Stills, Nash & Young","Deja Vu","3821908","695883","179","false","https://www.deezer.com/us/track/3821908","https://cdnt-preview.dzcdn.net/api/1/1/4/b/f/0/4bf23842250f84e9fa3cba9797e04127.mp3?hdnea=exp=1781745691~acl=/api/1/1/4/b/f/0/4bf23842250f84e9fa3cba9797e04127.mp3*~data=user_id=0,application_id=42~hmac=602c0285ab3223d2469a9a0fb3b8dd0a9d18855bfcc131db36fa45e00a683be0","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","X","Xzibit","Restless","532268","695598","256","true","https://www.deezer.com/us/track/532268","https://cdnt-preview.dzcdn.net/api/1/1/b/8/8/0/b888542189619903985dc16d21fe3897.mp3?hdnea=exp=1781745688~acl=/api/1/1/b/8/8/0/b888542189619903985dc16d21fe3897.mp3*~data=user_id=0,application_id=42~hmac=1b4e7080a00edb345bd0ddee07a8c70d2af253602792e989abeff6afc34ccac1","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Yummy","Justin Bieber","Yummy","845095592","695473","208","false","https://www.deezer.com/us/track/845095592","https://cdnt-preview.dzcdn.net/api/1/1/6/d/a/0/6da3656d6dc6c45ffb629437f4c79bbb.mp3?hdnea=exp=1781745697~acl=/api/1/1/6/d/a/0/6da3656d6dc6c45ffb629437f4c79bbb.mp3*~data=user_id=0,application_id=42~hmac=dfa287639db3b5cb2d8b7fdf5433717de193ebe560d7533df4c6aadb1293506b","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Don't Stop The Dance","Bryan Ferry","Boys And Girls","3135078","695431","259","false","https://www.deezer.com/us/track/3135078","https://cdnt-preview.dzcdn.net/api/1/1/a/6/a/0/a6a26006ef3149bb731926bbc9d610f9.mp3?hdnea=exp=1781745696~acl=/api/1/1/a/6/a/0/a6a26006ef3149bb731926bbc9d610f9.mp3*~data=user_id=0,application_id=42~hmac=e8f44bad3ca3681c249e3ad28b2782521487d85c2de83d63dac1acc98a106560","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Rivers of Babylon","Boney M.","Rivers Of Babylon","968798","695338","262","false","https://www.deezer.com/us/track/968798","https://cdnt-preview.dzcdn.net/api/1/1/0/2/1/0/021ea95d7fdd138c63ad77b45d1eab5d.mp3?hdnea=exp=1781745696~acl=/api/1/1/0/2/1/0/021ea95d7fdd138c63ad77b45d1eab5d.mp3*~data=user_id=0,application_id=42~hmac=b317c324634d4a72955a54190cc26f4e7a713f25990ca3acefb09941ee3bc2f1","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","My Life","Billy Joel","52nd Street","1025636","694795","282","false","https://www.deezer.com/us/track/1025636","https://cdnt-preview.dzcdn.net/api/1/1/d/e/d/0/ded15d04574c7e1691212e4288d196e5.mp3?hdnea=exp=1781745691~acl=/api/1/1/d/e/d/0/ded15d04574c7e1691212e4288d196e5.mp3*~data=user_id=0,application_id=42~hmac=c79121fac865d59a1beb5602b3e63f2d363a9cf2335f114ed7eee122fe9c890e","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Let's All Chant","Michael Zager Band","Let's All Chant","129771348","694557","184","false","https://www.deezer.com/us/track/129771348","https://cdnt-preview.dzcdn.net/api/1/1/7/2/c/0/72c36896e7355d43113eeefb22a09f9d.mp3?hdnea=exp=1781745691~acl=/api/1/1/7/2/c/0/72c36896e7355d43113eeefb22a09f9d.mp3*~data=user_id=0,application_id=42~hmac=3c0a7e4533ddb5a0dfcf0e2fd8dec4e9c980108c7db0ba1700a6b2bb7c80e4ee","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Say It Ain't So (Original Mix)","Weezer","Weezer (Blue Album)","2542120","693896","258","false","https://www.deezer.com/us/track/2542120","https://cdnt-preview.dzcdn.net/api/1/1/6/c/b/0/6cbc15fc294d2388bbb9339ec9983a7d.mp3?hdnea=exp=1781745693~acl=/api/1/1/6/c/b/0/6cbc15fc294d2388bbb9339ec9983a7d.mp3*~data=user_id=0,application_id=42~hmac=5c799c419e44139e012e3c8634dc7b786a37775846bf8ec9ab5aa51c203634eb","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Gloria","Laura Branigan","The Best of Branigan","675801","693623","295","false","https://www.deezer.com/us/track/675801","https://cdnt-preview.dzcdn.net/api/1/1/1/5/4/0/154b6033b75763f55610f633936e7088.mp3?hdnea=exp=1781745696~acl=/api/1/1/1/5/4/0/154b6033b75763f55610f633936e7088.mp3*~data=user_id=0,application_id=42~hmac=98278a74c0e12390bb7d1c0e23ae2ce857a3b272b77f469212b106dd09749021","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Satisfaction (Isak Original Extended)","Benny Benassi","Hypnotica (Benny Benassi Presents The Biz)","13839055","692398","286","false","https://www.deezer.com/us/track/13839055","https://cdnt-preview.dzcdn.net/api/1/1/f/1/8/0/f188ceaea66f507346054ced21c3dab8.mp3?hdnea=exp=1781745688~acl=/api/1/1/f/1/8/0/f188ceaea66f507346054ced21c3dab8.mp3*~data=user_id=0,application_id=42~hmac=9a7cee0b47f0b67605df7183aef9586166ce62a69519454249ef5c40c5f6f64c","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","I Just Can't Stop Loving You (feat. Siedah Garrett) (2012 Remaster)","Michael Jackson","Bad 25th Anniversary","59509601","692332","251","false","https://www.deezer.com/us/track/59509601","https://cdnt-preview.dzcdn.net/api/1/1/a/d/1/0/ad1066f8199343ad914eeaf60f202b60.mp3?hdnea=exp=1781745702~acl=/api/1/1/a/d/1/0/ad1066f8199343ad914eeaf60f202b60.mp3*~data=user_id=0,application_id=42~hmac=e156538ac7b7834a463c0eefa363249fd8a6275afb50e018cea7312292204023","On 1 list: Billboard #1 hits '80s - Number one singles 1980-1989"
"(thematic candidate)","","","","Whatever You Want","Status Quo","Whatever You Want","1181897","692304","243","false","https://www.deezer.com/us/track/1181897","https://cdnt-preview.dzcdn.net/api/1/1/8/5/f/0/85facbc956d0ee630990893ba0ed5410.mp3?hdnea=exp=1781745690~acl=/api/1/1/8/5/f/0/85facbc956d0ee630990893ba0ed5410.mp3*~data=user_id=0,application_id=42~hmac=9bbc9ae91a32b34f6a3548bdb9e6039941e88f26b94ad7be132a6ddf8956494d","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","Angeleyes","ABBA","Abba Gold Anniversary Edition","76376891","692094","260","false","https://www.deezer.com/us/track/76376891","https://cdnt-preview.dzcdn.net/api/1/1/c/f/d/0/cfd2692638e9799cced3f08930b4872b.mp3?hdnea=exp=1781745691~acl=/api/1/1/c/f/d/0/cfd2692638e9799cced3f08930b4872b.mp3*~data=user_id=0,application_id=42~hmac=5d7e7bb69d6930fbf43859a5d52fc59f72ebbee2aa18c9e068449b1536d2b964","On 1 list: All Hits 70s-20s 1"
"(thematic candidate)","","","","My Oh My (feat. DaBaby)","Camila Cabello","Romance","823567772","691678","170","false","https://www.deezer.com/us/track/823567772","https://cdnt-preview.dzcdn.net/api/1/1/c/7/4/0/c745a298910268b0c9f598c2748fb342.mp3?hdnea=exp=1781745698~acl=/api/1/1/c/7/4/0/c745a298910268b0c9f598c2748fb342.mp3*~data=user_id=0,application_id=42~hmac=4c31409ca070e6f4169e7b8e3760268b0c3acf8b35afa0128b14e20729456dd5","On 1 list: All Hits 70s-20s 1"
