OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(thematic candidate)","","","","I'm Breaking Down","Stephanie J. Block","Falsettos (2016 Broadway Cast Recording)","394747312","197670","288","false","https://www.deezer.com/us/track/394747312","https://cdnt-preview.dzcdn.net/api/1/1/7/f/8/0/7f874686df9ca32ed5aa6605d6fff074.mp3?hdnea=exp=1781745672~acl=/api/1/1/7/f/8/0/7f874686df9ca32ed5aa6605d6fff074.mp3*~data=user_id=0,application_id=42~hmac=18a666f2ef3346d2d1b7118c95e0ec09340ff05fefffb7f9b97d76de4a35b8a4","On 2 editorial lists"
"(thematic candidate)","","","","Always Look On The Bright Side Of Life (From ""Spamalot"" Original Broadway Cast Recording)","Michael McGrath","Monty Python's Spamalot","2440642","195953","269","false","https://www.deezer.com/us/track/2440642","https://cdnt-preview.dzcdn.net/api/1/1/0/5/2/0/052a2fb926d1698b87deb4c0a79948ec.mp3?hdnea=exp=1781745671~acl=/api/1/1/0/5/2/0/052a2fb926d1698b87deb4c0a79948ec.mp3*~data=user_id=0,application_id=42~hmac=8bf00f131b4e3f5c239473b27402d30e753d6aaa41ba996ab392fd9dea41e640","On 2 editorial lists"
"(thematic candidate)","","","","Diamonds Are a Girl's Best Friend (Original Mix)","Marilyn Monroe","Diamonds Are a Girl's Best Friend","347949561","193684","211","false","https://www.deezer.com/us/track/347949561","https://cdnt-preview.dzcdn.net/api/1/1/9/a/d/0/9addd741cd7748da4365aedd5d0fe84a.mp3?hdnea=exp=1781745671~acl=/api/1/1/9/a/d/0/9addd741cd7748da4365aedd5d0fe84a.mp3*~data=user_id=0,application_id=42~hmac=7e196a8b0a79d4ba42929d6082165baa484cb50e793ea667f461a91297c418e1","On 2 editorial lists"
"(thematic candidate)","","","","A Musical","Brad Oscar","Something Rotten! (Original Broadway Cast Recording)","392425342","192584","467","false","https://www.deezer.com/us/track/392425342","https://cdnt-preview.dzcdn.net/api/1/1/a/e/4/0/ae4a061e4f6ac50c21c4258d89ebc1c2.mp3?hdnea=exp=1781745669~acl=/api/1/1/a/e/4/0/ae4a061e4f6ac50c21c4258d89ebc1c2.mp3*~data=user_id=0,application_id=42~hmac=81bf12913127694d7e5ed591971b9fce8e4781046157a2bcbe8efa863716ea02","On 2 editorial lists"
"(thematic candidate)","","","","The Impossible Dream (The Quest)","Brian Stokes Mitchell","Man of La Mancha (New Broadway Cast Recording (2002))","964050","190306","233","false","https://www.deezer.com/us/track/964050","https://cdnt-preview.dzcdn.net/api/1/1/d/3/2/0/d32f3b50d66e681e3779ec55274a3d6c.mp3?hdnea=exp=1781745671~acl=/api/1/1/d/3/2/0/d32f3b50d66e681e3779ec55274a3d6c.mp3*~data=user_id=0,application_id=42~hmac=f6a350f036139d2b89b60e0ca05f009b6fbedb488b75ea3de796cb728312f941","On 2 editorial lists"
"(thematic candidate)","","","","This Had Better Come to a Stop","Christian Borle","Falsettos (2016 Broadway Cast Recording)","394747302","187102","170","false","https://www.deezer.com/us/track/394747302","https://cdnt-preview.dzcdn.net/api/1/1/4/e/8/0/4e81b20f2f494eb6fd34d454db964560.mp3?hdnea=exp=1781745670~acl=/api/1/1/4/e/8/0/4e81b20f2f494eb6fd34d454db964560.mp3*~data=user_id=0,application_id=42~hmac=0f5c0394271fd58170bd15e99b86438d5e90361425dcb79b8811fadd4aa42495","On 2 editorial lists"
"(thematic candidate)","","","","Luck Be a Lady","Peter Gallagher","Guys and Dolls (New Broadway Cast Recording (1992))","15728546","171111","182","false","https://www.deezer.com/us/track/15728546","https://cdnt-preview.dzcdn.net/api/1/1/1/e/e/0/1eef5f4df6ff7d2523886c4e11d17858.mp3?hdnea=exp=1781745669~acl=/api/1/1/1/e/e/0/1eef5f4df6ff7d2523886c4e11d17858.mp3*~data=user_id=0,application_id=42~hmac=c2f10119c7448e7708b935032e46d6c8bf55bf1dcc2131b44e31c7ef52c4c0ce","On 2 editorial lists"
"(thematic candidate)","","","","Run and Tell That!","Corey Reynolds","Hairspray (Original Broadway Cast Recording)","849112","169349","229","false","https://www.deezer.com/us/track/849112","https://cdnt-preview.dzcdn.net/api/1/1/4/c/8/0/4c8699b37e7226fcb1a6ac040d5bb1ba.mp3?hdnea=exp=1781745669~acl=/api/1/1/4/c/8/0/4c8699b37e7226fcb1a6ac040d5bb1ba.mp3*~data=user_id=0,application_id=42~hmac=7d83c1ba200dfb9948e494c6905ca15a112cfca3790e64b5e7757622d15a3dbc","On 2 editorial lists"
"(thematic candidate)","","","","Diva's Lament (What Ever Happened To My Part?) (From ""Spamalot"" Original Broadway Cast Recording)","Sara Ramirez","Monty Python's Spamalot","2440645","162514","151","false","https://www.deezer.com/us/track/2440645","https://cdnt-preview.dzcdn.net/api/1/1/4/0/4/0/4044312ee00a1c0cc45e8527871ace91.mp3?hdnea=exp=1781745670~acl=/api/1/1/4/0/4/0/4044312ee00a1c0cc45e8527871ace91.mp3*~data=user_id=0,application_id=42~hmac=26b98fe492eebd32878ec5b6d9662e4ebc19192733e5ff8e0ddc23784a37c352","On 2 editorial lists"
"(thematic candidate)","","","","Shall We Dance? (From ""The King And I"" Soundtrack)","Deborah Kerr","The Marvelous Mrs. Maisel: Season 2 (Music From The Prime Original Series)","602456292","155565","262","false","https://www.deezer.com/us/track/602456292","https://cdnt-preview.dzcdn.net/api/1/1/5/2/5/0/5256873656e36bf85736a5c9bfdfc5d1.mp3?hdnea=exp=1781745671~acl=/api/1/1/5/2/5/0/5256873656e36bf85736a5c9bfdfc5d1.mp3*~data=user_id=0,application_id=42~hmac=51d70471416ae2c857ce7d432f18991b8d45853539ef24859d751cbe6b0ca6a1","On 2 editorial lists"
