OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(thematic candidate)","","","","Tush (2006 Remaster)","ZZ Top","Ultimate 70s Rock Legends","78971418","62702","133","false","https://www.deezer.com/us/track/78971418","https://cdnt-preview.dzcdn.net/api/1/1/3/5/b/0/35bdf62269345dec6a723d3864897cc3.mp3?hdnea=exp=1781363514~acl=/api/1/1/3/5/b/0/35bdf62269345dec6a723d3864897cc3.mp3*~data=user_id=0,application_id=42~hmac=e0397288831e3973c1c1647408937ed1fa375e23cd3e7770f8424355dddbf488","On 2 editorial lists"
"(thematic candidate)","","","","With You (feat. Omah Lay)","Davido","5ive","3324595541","698436","136","false","https://www.deezer.com/us/track/3324595541","https://cdnt-preview.dzcdn.net/api/1/1/0/2/d/0/02d66bc4643a06950c10d9c3da68e543.mp3?hdnea=exp=1781363517~acl=/api/1/1/0/2/d/0/02d66bc4643a06950c10d9c3da68e543.mp3*~data=user_id=0,application_id=42~hmac=e4d0d18c141c1a99202b8f36cfcd9abc5183f8a4d03264bff4d1db17b3f5f4cf","On 1 list: Summer Hits"
"(thematic candidate)","","","","New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz","New Gold (feat. Tame Impala and Bootie Brown)","1878740837","697310","215","true","https://www.deezer.com/us/track/1878740837","https://cdnt-preview.dzcdn.net/api/1/1/5/0/5/0/5056caf925fb44a44947313b485f660e.mp3?hdnea=exp=1781363516~acl=/api/1/1/5/0/5/0/5056caf925fb44a44947313b485f660e.mp3*~data=user_id=0,application_id=42~hmac=7bbeb40b4a59674f644e029998c94aafe0ab09597dd2c3ba43ff670dfdda176c","On 1 list: Feel Good Commute"
"(thematic candidate)","","","","Edge of Seventeen","Stevie Nicks","Crystal Visions...The Very Best of Stevie Nicks","680601","695064","329","false","https://www.deezer.com/us/track/680601","https://cdnt-preview.dzcdn.net/api/1/1/f/d/7/0/fd7c75f22ada3716d3c3367c06154ec7.mp3?hdnea=exp=1781363514~acl=/api/1/1/f/d/7/0/fd7c75f22ada3716d3c3367c06154ec7.mp3*~data=user_id=0,application_id=42~hmac=ef074793c2070582670f969d1b94e5825ac87e23a6b13a2c40d13c95d7288065","On 1 list: 100 Greatest Driving Songs"
"(thematic candidate)","","","","Panama (2015 Remaster)","Van Halen","1984 (Remastered)","97098412","694728","210","false","https://www.deezer.com/us/track/97098412","https://cdnt-preview.dzcdn.net/api/1/1/3/5/0/0/3500ceffbfe9b3200471e8c67e80f8db.mp3?hdnea=exp=1781363514~acl=/api/1/1/3/5/0/0/3500ceffbfe9b3200471e8c67e80f8db.mp3*~data=user_id=0,application_id=42~hmac=c8ea197391a693ac9417480e73b8a4e990ec35d91856db6c207a1754f2b5059e","On 1 list: 100 Greatest Driving Songs"
"(thematic candidate)","","","","I'm a Believer (2006 Remaster)","The Monkees","More of The Monkees (Deluxe Edition)","764920","690072","167","false","https://www.deezer.com/us/track/764920","https://cdnt-preview.dzcdn.net/api/1/1/a/2/c/0/a2ceac5e338df5614ab25380a3b15206.mp3?hdnea=exp=1781363514~acl=/api/1/1/a/2/c/0/a2ceac5e338df5614ab25380a3b15206.mp3*~data=user_id=0,application_id=42~hmac=08d65ed8e407ce1ef8316492edeec8232b5140319dc31e5d34ef0b3afa11d494","On 1 list: 100 Greatest Driving Songs"
"(thematic candidate)","","","","Tongue Tied","Grouplove","Never Trust a Happy Song","13544758","688409","218","false","https://www.deezer.com/us/track/13544758","https://cdnt-preview.dzcdn.net/api/1/1/6/c/c/0/6cc10b494e12b44cf4e5250e0593539f.mp3?hdnea=exp=1781363515~acl=/api/1/1/6/c/c/0/6cc10b494e12b44cf4e5250e0593539f.mp3*~data=user_id=0,application_id=42~hmac=96cc55a3ee113efa028dac5776aaf3874cfc74ce91fd9d62c2d7e20c07e8dc85","On 1 list: Summer Road Trip Jams 2023"
"(thematic candidate)","","","","Ride Lonesome","Beck","Ride Lonesome","3958563661","685690","272","false","https://www.deezer.com/us/track/3958563661","https://cdnt-preview.dzcdn.net/api/1/1/9/f/c/0/9fcb6bd6f11e970df9fd1f2628d290ed.mp3?hdnea=exp=1781363512~acl=/api/1/1/9/f/c/0/9fcb6bd6f11e970df9fd1f2628d290ed.mp3*~data=user_id=0,application_id=42~hmac=003a51746ebd0a365989f2fa2646c5d31714611dbc4086a14791702408250b4c","On 1 list: Rock Road Trip"
"(thematic candidate)","","","","Égaré","M. Pokora","ADRÉNALINE, LA RÉÉDITION","3630231462","681960","167","false","https://www.deezer.com/us/track/3630231462","https://cdnt-preview.dzcdn.net/api/1/1/6/2/f/0/62f213edd08211e83cb02311758b4532.mp3?hdnea=exp=1781363516~acl=/api/1/1/6/2/f/0/62f213edd08211e83cb02311758b4532.mp3*~data=user_id=0,application_id=42~hmac=a719bd1bab99bb5bf0dc097c43358adb34fe3223480c511e1a5db10181b0453b","On 1 list: Feel Good Commute"
"(thematic candidate)","","","","One","Johnny Cash","American III: Solitary Man","65690342","680753","231","false","https://www.deezer.com/us/track/65690342","https://cdnt-preview.dzcdn.net/api/1/1/6/6/e/0/66ee1ace08f03dc3158e60e8240c69cd.mp3?hdnea=exp=1781363512~acl=/api/1/1/6/6/e/0/66ee1ace08f03dc3158e60e8240c69cd.mp3*~data=user_id=0,application_id=42~hmac=212edf585152581d2d60cdaceeae29ad923fa26856e744e5a81f20eaeef97b6b","On 1 list: Rock Road Trip"
"(thematic candidate)","","","","Feels Like Summer","Childish Gambino","Summer Pack","526591392","680622","297","false","https://www.deezer.com/us/track/526591392","https://cdnt-preview.dzcdn.net/api/1/1/6/d/e/0/6de1a8d1bca56af740fb5902e33b274e.mp3?hdnea=exp=1781363515~acl=/api/1/1/6/d/e/0/6de1a8d1bca56af740fb5902e33b274e.mp3*~data=user_id=0,application_id=42~hmac=6a6ee4448a8c9223eeaeca101c0110a7b59b948eda2a769b0948053c686bda4c","On 1 list: Summer Road Trip Jams 2023"
"(thematic candidate)","","","","Life On The Run","Brandi Carlile","Life On The Run","4022864071","678826","229","false","https://www.deezer.com/us/track/4022864071","https://cdnt-preview.dzcdn.net/api/1/1/b/2/6/0/b26337a721cc3c8cb67ee8bb0fb69737.mp3?hdnea=exp=1781363513~acl=/api/1/1/b/2/6/0/b26337a721cc3c8cb67ee8bb0fb69737.mp3*~data=user_id=0,application_id=42~hmac=056168d3239bd7fcfa6bd77dad4881a26f051575323e5a195ed179c16ecc3b74","On 1 list: roadtrip radio"
"(thematic candidate)","","","","Black Horse And The Cherry Tree (Radio Version)","KT Tunstall","Eye To The Telescope","3120612","676480","171","false","https://www.deezer.com/us/track/3120612","https://cdnt-preview.dzcdn.net/api/1/1/1/7/4/0/174e82d80a4145d7641c0ec02f2d457c.mp3?hdnea=exp=1781363513~acl=/api/1/1/1/7/4/0/174e82d80a4145d7641c0ec02f2d457c.mp3*~data=user_id=0,application_id=42~hmac=39e0e18b104ff7e488d91dd33a9fb6f3d44c3038bad3932e1c50270a5533dc9a","On 1 list: roadtrip radio"
"(thematic candidate)","","","","Light Switch","Charlie Puth","Light Switch","1622528782","675833","185","false","https://www.deezer.com/us/track/1622528782","https://cdnt-preview.dzcdn.net/api/1/1/3/4/2/0/34267e5d2940f55f62844e22d10d6eb2.mp3?hdnea=exp=1781363513~acl=/api/1/1/3/4/2/0/34267e5d2940f55f62844e22d10d6eb2.mp3*~data=user_id=0,application_id=42~hmac=557c53ed7e689dd80daa7f127842af14fc67cebb680b1a566da462ff67a1048c","On 1 list: roadtrip radio"
"(thematic candidate)","","","","Fell On Black Days","Soundgarden","Telephantasm","7087587","674329","282","false","https://www.deezer.com/us/track/7087587","https://cdnt-preview.dzcdn.net/api/1/1/3/f/a/0/3faa5e508bbfa0ca1b520abfdafc24eb.mp3?hdnea=exp=1781363512~acl=/api/1/1/3/f/a/0/3faa5e508bbfa0ca1b520abfdafc24eb.mp3*~data=user_id=0,application_id=42~hmac=ffd34bd2586f2f184eabca673d70649db66d34b7979a5244227ca145a4868971","On 1 list: Rock Road Trip"
"(thematic candidate)","","","","American Cars","Noah Kahan","The Great Divide","3974113441","668639","272","true","https://www.deezer.com/us/track/3974113441","https://cdnt-preview.dzcdn.net/api/1/1/4/9/0/0/49089663a40e7707b1db6391d8e5ce70.mp3?hdnea=exp=1781363516~acl=/api/1/1/4/9/0/0/49089663a40e7707b1db6391d8e5ce70.mp3*~data=user_id=0,application_id=42~hmac=231a6aa5e1b51ad05bbd4af4cf1967807978cdb4133580fc04c264fdb17e2a3a","On 1 list: Feel Good Commute"
"(thematic candidate)","","","","White Tiger (Single Version)","Izzy Bizu","White Tiger (Single Version)","109703514","667599","180","false","https://www.deezer.com/us/track/109703514","https://cdnt-preview.dzcdn.net/api/1/1/0/a/3/0/0a3b600ddc3e02eb0539620e2c1e77b9.mp3?hdnea=exp=1781363513~acl=/api/1/1/0/a/3/0/0a3b600ddc3e02eb0539620e2c1e77b9.mp3*~data=user_id=0,application_id=42~hmac=d3a0079acb52f7340758f89118cc4fdc76f9cabb2e813f48f5644e300be8cc55","On 1 list: roadtrip radio"
"(thematic candidate)","","","","Ironic (2015 Remaster)","Alanis Morissette","Jagged Little Pill (2015 Remaster)","109843304","665979","230","false","https://www.deezer.com/us/track/109843304","https://cdnt-preview.dzcdn.net/api/1/1/b/d/5/0/bd560d55773d135084e87f07a7d4df35.mp3?hdnea=exp=1781363514~acl=/api/1/1/b/d/5/0/bd560d55773d135084e87f07a7d4df35.mp3*~data=user_id=0,application_id=42~hmac=ae18f33d533c0af1800b8aed89f2725bff49548ceebed9555958e1c38f4872aa","On 1 list: 100 Greatest Driving Songs"
"(thematic candidate)","","","","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","Funk Wav Bounces Vol.1","376480961","660961","223","true","https://www.deezer.com/us/track/376480961","https://cdnt-preview.dzcdn.net/api/1/1/9/a/e/0/9ae28d3a010d95112358f9542f121685.mp3?hdnea=exp=1781363513~acl=/api/1/1/9/a/e/0/9ae28d3a010d95112358f9542f121685.mp3*~data=user_id=0,application_id=42~hmac=5045a03b50da6bad7e30ff0fadfc781280fd0e98e399b2f695734af0b5fd8561","On 1 list: roadtrip radio"
"(thematic candidate)","","","","I Keep Forgettin' (Every Time You're Near)","Michael McDonald","If That's What It Takes","5617796","659576","222","false","https://www.deezer.com/us/track/5617796","https://cdnt-preview.dzcdn.net/api/1/1/9/5/d/0/95de4b7920eaad133dff7457ecff2048.mp3?hdnea=exp=1781363514~acl=/api/1/1/9/5/d/0/95de4b7920eaad133dff7457ecff2048.mp3*~data=user_id=0,application_id=42~hmac=cbcdcdf3b3a337dc2bc9b675902842608e7c1dec47f006d15fc97c10e5d91263","On 1 list: 100 Greatest Driving Songs"
"(thematic candidate)","","","","Sleeping Satellite","Tasmin Archer","Great Expectations","3115574","657992","281","false","https://www.deezer.com/us/track/3115574","https://cdnt-preview.dzcdn.net/api/1/1/f/d/8/0/fd8dd55ecd828a6b02d20d4c09552114.mp3?hdnea=exp=1781363514~acl=/api/1/1/f/d/8/0/fd8dd55ecd828a6b02d20d4c09552114.mp3*~data=user_id=0,application_id=42~hmac=e9977f880aa4fd01000bfa02daf613a7dc3f9edeb22d8469ac5551459543cbc8","On 1 list: 100 Greatest Driving Songs"
