OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(thematic candidate)","","","","Feels Like Home (Acoustic Extended Version)","Matt Johnson","Acoustic Hits, Vol.4","129424380","137783","282","false","https://www.deezer.com/us/track/129424380","https://cdnt-preview.dzcdn.net/api/1/1/f/9/0/0/f905ad4c8b5f55c26cc3470d95a252e4.mp3?hdnea=exp=1781363509~acl=/api/1/1/f/9/0/0/f905ad4c8b5f55c26cc3470d95a252e4.mp3*~data=user_id=0,application_id=42~hmac=3c76807750d3b3ef9aa14d7d759ae0d4991ba2bab20ff5cfed651dee7d2e5513","On 2 editorial lists"
"(thematic candidate)","","","","Crazy What Love Can Do","David Guetta","Crazy What Love Can Do","1685068157","698890","169","false","https://www.deezer.com/us/track/1685068157","https://cdnt-preview.dzcdn.net/api/1/1/3/2/1/0/3213eb52dfec499a0858739912464356.mp3?hdnea=exp=1781363506~acl=/api/1/1/3/2/1/0/3213eb52dfec499a0858739912464356.mp3*~data=user_id=0,application_id=42~hmac=66c8d1c081a4f129005537bbd4ac0a38381d2cfa3ca4e0d79c13df9d8b7ad7a9","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","Love Shack","The B-52's","Cosmic Thing","3929350","698578","320","false","https://www.deezer.com/us/track/3929350","https://cdnt-preview.dzcdn.net/api/1/1/7/b/b/0/7bb756207eeb777e6067e42fc218ecd9.mp3?hdnea=exp=1781363506~acl=/api/1/1/7/b/b/0/7bb756207eeb777e6067e42fc218ecd9.mp3*~data=user_id=0,application_id=42~hmac=9a8a0624252dacef430f12f10a1e275a467709eab53a85a448eea8b697fbd854","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","Stuck On You","Lionel Richie","Can't Slow Down","920067","697149","190","false","https://www.deezer.com/us/track/920067","https://cdnt-preview.dzcdn.net/api/1/1/b/d/c/0/bdc6385b031a9876dfa389c16c583474.mp3?hdnea=exp=1781363509~acl=/api/1/1/b/d/c/0/bdc6385b031a9876dfa389c16c583474.mp3*~data=user_id=0,application_id=42~hmac=697f7a8df7362de402cf4f2a136e83e385bef240f00f71ed04eca32c0fdfa15e","On 1 list: Wedding First Dance Songs"
"(thematic candidate)","","","","Just Dance","Lady Gaga","The Fame","2603555","692347","244","false","https://www.deezer.com/us/track/2603555","https://cdnt-preview.dzcdn.net/api/1/1/8/2/0/0/82006e670fe9f4fa417c7fcc22dcf456.mp3?hdnea=exp=1781363511~acl=/api/1/1/8/2/0/0/82006e670fe9f4fa417c7fcc22dcf456.mp3*~data=user_id=0,application_id=42~hmac=b7e2a342b0ca6fa5d1138f5c39060e35916e56a5e630d0c1862a2ca507785dce","On 1 list: Wedding Reception BANGERS"
"(thematic candidate)","","","","Love Of My Life","Harry Styles","Harry's House","1756569687","690946","191","false","https://www.deezer.com/us/track/1756569687","https://cdnt-preview.dzcdn.net/api/1/1/4/2/d/0/42dcd33d3088488004398b65b3ce8446.mp3?hdnea=exp=1781363511~acl=/api/1/1/4/2/d/0/42dcd33d3088488004398b65b3ce8446.mp3*~data=user_id=0,application_id=42~hmac=a9ab269c436aee5a0c86debe653391fccbac46d9a80fca0408caacd994e1f0ba","On 1 list: 2023 - Top Wedding Slow First Dance Songs"
"(thematic candidate)","","","","I'm a Believer (2006 Remaster)","The Monkees","More of The Monkees (Deluxe Edition)","764920","690072","167","false","https://www.deezer.com/us/track/764920","https://cdnt-preview.dzcdn.net/api/1/1/a/2/c/0/a2ceac5e338df5614ab25380a3b15206.mp3?hdnea=exp=1781363506~acl=/api/1/1/a/2/c/0/a2ceac5e338df5614ab25380a3b15206.mp3*~data=user_id=0,application_id=42~hmac=8b72fc6f07d10a71ad328b35287c2a46566c4cb6c6913ae36e2950b1d9474173","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","Haven't Met You Yet","Michael Bublé","Crazy Love","4311272","689465","244","false","https://www.deezer.com/us/track/4311272","https://cdnt-preview.dzcdn.net/api/1/1/0/f/5/0/0f567d6d2da5b1c81ebde632e69e2a6b.mp3?hdnea=exp=1781363505~acl=/api/1/1/0/f/5/0/0f567d6d2da5b1c81ebde632e69e2a6b.mp3*~data=user_id=0,application_id=42~hmac=63b6ec239e3a31b33e5760f866a4b9c0cdf3df18f3cd4a57c093ae6285a261af","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","I Say a Little Prayer","Aretha Franklin","Aretha Now","904785","688622","216","false","https://www.deezer.com/us/track/904785","https://cdnt-preview.dzcdn.net/api/1/1/9/7/f/0/97f7f6ae7dd46cf5db160c8ab4db5213.mp3?hdnea=exp=1781363505~acl=/api/1/1/9/7/f/0/97f7f6ae7dd46cf5db160c8ab4db5213.mp3*~data=user_id=0,application_id=42~hmac=d27265dfc458de591b2257911fa5cd574bafebd74977b11cb83af7e47ec57382","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","Arthur's Theme (Best That You Can Do)","Christopher Cross","Arthur - The Album [Original Soundtrack]","3872734","687974","234","false","https://www.deezer.com/us/track/3872734","https://cdnt-preview.dzcdn.net/api/1/1/d/5/7/0/d57a468a90697a6793100319059215ce.mp3?hdnea=exp=1781363509~acl=/api/1/1/d/5/7/0/d57a468a90697a6793100319059215ce.mp3*~data=user_id=0,application_id=42~hmac=94938bcbfcc9c7db0cb99c65fea809129038dca2b426d432c63c240772e9a58f","On 1 list: Wedding First Dance Songs"
"(thematic candidate)","","","","Something in the Orange","Zach Bryan","Something in the Orange","1714552247","687937","228","false","https://www.deezer.com/us/track/1714552247","https://cdnt-preview.dzcdn.net/api/1/1/7/8/6/0/786d9d803879699be22e6a9818e517b1.mp3?hdnea=exp=1781363505~acl=/api/1/1/7/8/6/0/786d9d803879699be22e6a9818e517b1.mp3*~data=user_id=0,application_id=42~hmac=e109a9145961825059c6b8f63601b23d50f29c8a3abc1295551e780fc6614bc9","On 1 list: Wedding Songs 2026"
