DeezerId,Title,Artist,Album,Source,ProposedSource,Confidence
"1137370842","Cornfield Chase","Hans Zimmer","","","Interstellar","high"
"6524423","Time","Hans Zimmer","","","Inception","high"
"548743","Pretty In Pink","The Psychedelic Furs","","","Pretty in Pink","high"
"561875132","You'll Be In My Heart","Phil Collins","","","Tarzan","high"
"493895402","Duel of the Fates","John Williams","","","Star Wars","high"
"5610919","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","","","The Pacific","high"
"781563062","You're The One That I Want (From “Grease”)","John Travolta","","","Grease","high"
"421388782","Cruel Summer","Bananarama","","","The Karate Kid","medium"
"1764283617","Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer","","","Top Gun","high"
"1137370902","Mountains","Hans Zimmer","","","Interstellar","high"
"2296192","Theme From Jurassic Park","John Williams","","","Jurassic Park","high"
"647394572","Lily's Theme","Alexandre Desplat","","","Harry Potter and the Deathly Hallows","high"
"132196486","I Heard It Through The Grapevine","Marvin Gaye","","","The Big Chill","medium"
"561867002","American Beauty","Thomas Newman","","","American Beauty","high"
"62953943","Django","Luis Bacalov","","","Django","high"
"493842012","The Imperial March (Darth Vader's Theme)","John Williams","","","The Empire Strikes Back","high"
"440475672","Main Title and Escape","John Williams","","","The Fugitive","medium"
"134012980","Let's Hear It for the Boy (From ""Footloose"" Soundtrack)","Deniece Williams","","","Footloose","high"
"90120289","It Might Be You (Theme from Tootsie)","Stephen Bishop","","","Tootsie","high"
"493883802","Anakin's Betrayal","John Williams","","","Star Wars Revenge of the Sith","high"
"5664761","Live And Let Die (Main Title)","Paul McCartney","","","Live and Let Die","high"
"493883792","Battle of the Heroes","John Williams","","","Star Wars","high"
"110148734","Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams","","","Home Alone","high"
"493883852","Anakin vs. Obi-Wan","John Williams","","","Star Wars","high"
"493841972","Star Wars (Main Theme)","John Williams","","","Star Wars","high"
"493842132","Finale","John Williams","","","Star Wars","low"
"104095200","Holiday Road (National Lampoon's Vacation)","Lindsey Buckingham","","","National Lampoon's Vacation","high"
"682049832","(I'm Gonna) Love Me Again","Elton John","","","Rocketman","high"
"555263792","Halloween Theme","John Carpenter","","","Halloween","high"
"493895412","Anakin's Theme","John Williams","","","Star Wars Episode I The Phantom Menace","high"
"66660698","Young And Beautiful","Lana Del Rey","","","The Great Gatsby","high"
"62496771","Nightcall","Kavinsky","","","Drive","high"
"132635814","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","","","Trolls","high"
"1988270837","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna","","","Black Panther: Wakanda Forever","high"
"586860862","Try Everything","Shakira","","","Zootopia","high"
"134036212","In the Air Tonight (2015 Remaster)","Phil Collins","","","Miami Vice","medium"
"568115872","Killer Queen (2011 Remaster)","Queen","","","Bohemian Rhapsody","low"
"13100386","Everybody Needs Somebody to Love","The Blues Brothers","","","The Blues Brothers","high"
"92872170","Immortals","Fall Out Boy","","","Big Hero 6","high"
"407643972","Society","Eddie Vedder","","","Into the Wild","high"
"798742662","The Mandalorian","Ludwig Göransson","","","The Mandalorian","high"
"493885752","Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","John Williams","","","Star Wars: Attack of the Clones","high"
"107474516","Changes (2015 Remaster)","David Bowie","","","","no_tie"
"144130194","Beauty and the Beast","Ariana Grande","","","Beauty and the Beast","high"
"67770820","The Last of Us","Gustavo Santaolalla","","","The Last of Us","high"
"1550821762","We Don't Talk About Bruno","Carolina Gaitán - La Gaita","","","Encanto","high"
"17840804","The Avengers","Alan Silvestri","","","The Avengers","high"
"374282981","Let's Go Crazy (2015 Paisley Park Remaster)","Prince","","","Purple Rain","high"
"116348108","Hey Jude (Remastered 2009)","The Beatles","","","Hey Jude","medium"
"117729426","Main Title","Ramin Djawadi","","","Game of Thrones","high"
"647235962","Flight","Hans Zimmer","","","Flight","medium"
"2670920782","A Time of Quiet Between the Storms","Hans Zimmer","","","Interstellar","low"
"1496669252","Matera (From ''No Time To Die'' Soundtrack)","Hans Zimmer","","","No Time To Die","high"
"88725281","Alan Turing's Legacy (From ""The Imitation Game"" Soundtrack)","Alexandre Desplat","","","The Imitation Game","high"
"493886962","Cantina Band","John Williams","","","Star Wars","high"
"117726040","The Dragon Warrior","Hans Zimmer","","","Kung Fu Panda","high"
"80538212","Axel F (From ""Beverly Hills Cop"" Soundtrack)","Harold Faltermeyer","","","Beverly Hills Cop","high"
"493887032","The Throne Room and End Title","John Williams","","","Star Wars","high"
"647709092","Why Do We Fall?","Hans Zimmer","","","The Dark Knight Rises","high"
"717247962","California Dreamin'","José Feliciano","","","The Mamas & the Papas","low"
"3091964","I Get Around (Remastered 2001)","The Beach Boys","","","","no_tie"
"3040782","Love Theme From ""The Godfather""","Nino Rota","","","The Godfather","high"
"15439785","Falling Slowly","Glen Hansard","","","Once","high"
"669424052","Portals","Alan Silvestri","","","Avengers Endgame","high"
"2296197","Welcome To Jurassic Park","John Williams","","","Jurassic Park","high"
"17000045","Rose (From ""Titanic"" Soundtrack)","James Horner","","","Titanic","high"
"117729412","London","James Newton Howard","","","Batman Begins","low"
"115709934","Rey's Theme","John Williams","","","Star Wars: The Force Awakens","high"
"538708842","Last Dance","Donna Summer","","","Thank God It's Friday","high"
"16918515","Safe & Sound (from The Hunger Games Soundtrack)","Taylor Swift","","","The Hunger Games","high"
"70784948","Main Titles (From the HBO Miniseries ""Band of Brothers"" Soundtrack)","The London Metropolitan Orchestra","","","Band of Brothers","high"
"393731742","Stay (I Missed You)","Lisa Loeb","","","Reality Bites","high"
"119437660","Coming Back Around","John Powell","","","How to Train Your Dragon","medium"
"117728240","House Of Cards Main Title Theme","Jeff Beal","","","House of Cards","high"
"11233716","We Got The Beat (2011 Remaster)","The Go-Go's","","","Sing Street","low"
"767121772","Bathroom Dance","Hildur Guðnadóttir","","","Joker","high"
"75643473","Once Upon a Time in The West (Main Theme)","Ennio Morricone","","","Once Upon a Time in the West","high"
"3040776","The Godfather Waltz (Main Title)","Nino Rota","","","The Godfather","high"
"540169472","The Shoop Shoop Song (It's In His Kiss)","Cher","","","Mermaids","high"
"831930892","The Rise of Skywalker","John Williams","","","Star Wars","high"
"117728414","Emma","Steven Price","","","Emma","high"
"2005660777","Wednesday Main Titles","Danny Elfman","","","Wednesday","high"
"2381496005","Beauty and the Beast","Angela Lansbury","","","Beauty and the Beast","high"
"440475842","The Last Jedi","John Williams","","","Star Wars","high"
"121590094","Main Title","John Williams","","","Star Wars","medium"
"371523561","Theme (from ""Spider Man"") [Original Television Series]","Michael Giacchino","","","Spider-Man","high"
"74929085","Mr. Moustafa","Alexandre Desplat","","","The Grand Budapest Hotel","high"
"493840112","Ewok Celebration and Finale","John Williams","","","Return of the Jedi","high"
"3441564191","The Chamber of Secrets (From ""Harry Potter and the Chamber of Secrets"")","The City of Prague Philharmonic Orchestra","","","Harry Potter and the Chamber of Secrets","high"
"831930952","We Go Together","John Williams","","","Grease","high"
"440475682","Ahch-To Island","John Williams","","","Star Wars","high"
"119871328","Back To The Future: Back To The Future (From ""Back To The Future"")","Alan Silvestri","","","Back to the Future","high"
"1118045302","Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack)","Tangerine Dream","","","Risky Business","high"
"823113702","Come Back to Us (From ""1917"" Soundtrack)","Thomas Newman","","","1917","high"
"493885742","Star Wars Main Title and Ambush on Coruscant","John Williams","","","Star Wars","high"
"493883882","The Immolation Scene","John Williams","","","Star Wars","high"
"474185072","Shake It Up (2017 Remaster)","The Cars","","","Shake It Up","low"
"6769019","We Belong Together (From ""Toy Story 3""/Soundtrack)","Randy Newman","","","Toy Story 3","high"
"848945","Evergreen (Love Theme from ""A Star Is Born"")","Barbra Streisand","","","A Star Is Born","high"
"518465972","Finale & End Credits","John Williams","","","Star Wars","medium"
"115709948","Kylo Ren Arrives at the Battle","John Williams","","","Star Wars: The Force Awakens","high"
"93450044","Main Title","Jerry Goldsmith","","","Star Trek The Motion Picture","low"
"14457236","Man Or Muppet","Jason Segel","","","The Muppets","high"
"132199902","The Magnificent Seven","Elmer Bernstein","","","The Magnificent Seven","high"
"642683942","Captain Marvel","Pinar Toprak","","","Captain Marvel","high"
"1612786","Raindrops Keep Falling On My Head (Re-Recorded)","B.J. Thomas","","","Butch Cassidy and the Sundance Kid","high"
"624844592","Titles","Vangelis","","","Chariots of Fire","high"
"3813527482","Moon River","Henry Mancini","","","Breakfast at Tiffany's","high"
"3589406821","Zoo (From ""Zootopia 2"")","Disney","","","Zootopia 2","high"
"80274512","Bring Me To Life","Evanescence","","","Daredevil","medium"
"139470659","Shape of You","Ed Sheeran","","","","no_tie"
"59509611","Dirty Diana (2012 Remaster)","Michael Jackson","","","","no_tie"
"8930372","On The Floor (Radio Edit)","Jennifer Lopez","","","Jennifer Lopez Live","low"
"58071451","Demons","Imagine Dragons","","","The Host","low"
