DeezerId,Title,Artist,Album,Source,ProposedSource,Confidence
"904732","Respect","Aretha Franklin","I Never Loved a Man the Way I Love You","","Selma","low"
"347363311","With Or Without You","U2","The Best Of 1980-1990 & B-Sides","","","no_tie"
"346967941","I'm So Excited","The Pointer Sisters","So Excited! (Expanded Edition)","","","no_tie"
"5404547","Total Eclipse of the Heart","Bonnie Tyler","80s 100 Hits","","Footloose","low"
"856124","Your Love","The Outfield","Super Hits","","Grosse Pointe Blank","low"
"4763165","Beat It","Michael Jackson","Michael Jackson's This Is It","","This Is It","high"
"3091966","Surfin' U.S.A. (Remastered 2001)","The Beach Boys","The Very Best Of The Beach Boys: Sounds Of Summer","","","no_tie"
"3127387","Don't Worry Be Happy","Bobby McFerrin","Simple Pleasures","","","no_tie"
"75981528","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","Whitney","","The Bodyguard","low"
"2525869","Every Little Thing She Does Is Magic","The Police","The Very Best Of Sting And The Police","","","no_tie"
"95873824","Celebration","Kool & The Gang","Celebrate!","","","no_tie"
"15177141","Hungry Heart","Bruce Springsteen","The River","","","no_tie"
"675801","Gloria","Laura Branigan","The Best of Branigan","","Flashdance","low"
"2512462","Hurts So Good","John Mellencamp","The Best That I Could Do 1978 - 1988","","An Officer and a Gentleman","medium"
"12081830","In The Still of the Night","The Five Satins","For Collectors Only","","Stand by Me","low"
"3087485","Endless Summer Nights","Richard Marx","Greatest Hits","","","no_tie"
"3177990","Turning Japanese","The Vapors","Turning Japanese - Best Of The Vapors","","","no_tie"
"3404087","Rock This Town (Single Edit/24 Bit Mastering/ Digital Remaster/1999)","Stray Cats","The Brian Setzer Collection 1981-1988 (Remastered)","","La Bamba","low"
"664107","Take on Me","a-ha","Hunting High and Low","","Deadpool & Wolverine","low"
"15586296","Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall","","Off the Wall","low"
"925108","Don't Stop The Music","Rihanna","Good Girl Gone Bad: Reloaded","","","no_tie"
"2525864","Every Breath You Take","The Police","The Very Best Of Sting And The Police","","","unknown"
"68515055","Enjoy the Silence","Depeche Mode","The Singles 86-98","","Depeche Mode 101","low"
"698274","Forever Young","Alphaville","Forever Young","","Napoleon Dynamite","medium"
"925106","Umbrella","Rihanna","Good Girl Gone Bad: Reloaded","","","no_tie"
"540175","...Baby One More Time","Britney Spears","...Baby One More Time (Digital Deluxe Version)","","","no_tie"
"1079668","Africa","Toto","Toto IV","","","no_tie"
"15593566","Black or White","Michael Jackson","Dangerous","","Jungle Book","low"
"1124111","The Bitch Is Back (Remastered 1995)","Elton John","Caribou (Remastered 1995)","","","no_tie"
"680518","Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium","","","no_tie"
"927900","Wind Of Change","Scorpions","Crazy World","","","no_tie"
"625643","Don't Stop Believin'","Journey","The Essential Journey","","Rock of Ages","medium"
"1030221","Down Under","Men At Work","The Best Of Men At Work: Contraband","","Australia","low"
"1075781","No Scrubs","TLC","Fanmail","","","no_tie"
"678044","Basket Case","Green Day","Dookie","","","no_tie"
"82199332","Womanizer","Britney Spears","Circus (Deluxe Version)","","Circus","low"
"80304804","Walk of Life","Dire Straits","The Best of - Private Investigations","","","no_tie"
"646330632","Apologize","OneRepublic","Apologize","","","no_tie"
"2176852","Rehab","Amy Winehouse","Back To Black","","Amy Winehouse: Back to Black","low"
"620264642","It Wasn't Me","Shaggy","Hot Shot","","Lilo & Stitch","low"
"3803020582","I’m Yours (Deluxe Version)","Jason Mraz","Look For The Good (Deluxe Edition)","","","no_tie"
"82697686","Take Me Home, Country Roads (Original Version)","John Denver","Poems, Prayers and Promises","","Fallout 76","medium"
"2271563","Fast Car","Tracy Chapman","Tracy Chapman","","Boomerang","low"
"3151232","It Ain't Over 'Til It's Over","Lenny Kravitz","Mama Said","","","no_tie"
"1025659","Uptown Girl","Billy Joel","An Innocent Man","","Billy Joel: Piano Man - The Very Best of Billy Joel","low"
"1581601","I'm Not In Love","10cc","The Original Soundtrack","","The Original Soundtrack","high"
"15586246","Dancing In the Dark","Bruce Springsteen","Born In The U.S.A.","","","no_tie"
"3167611","Red Red Wine","UB40","The Very Best Of","","Cocktail","low"
"427638172","Holiday","Green Day","Greatest Hits: God's Favorite Band","","Fahrenheit 9/11","low"
"698260","Big in Japan","Alphaville","Forever Young","","Lost in Translation","low"
"831294","Two Princes","Spin Doctors","Just Go Ahead Now: A Retrospective","","Reality Bites","low"
"15586213","Born in the U.S.A.","Bruce Springsteen","Born In The U.S.A.","","Born in the U.S.A.","no_tie"
"409670382","Friday I'm in Love","The Cure","Greatest Hits","","50 First Dates","low"
"3130430","Ordinary World","Duran Duran","Greatest","","","no_tie"
"725837","Give It Away","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","","","no_tie"
"2511224","Kryptonite","3 Doors Down","The Better Life","","Superman","low"
"851867","Sexual Healing","Marvin Gaye","Midnight Love","","","no_tie"
"2172900","Here Without You","3 Doors Down","Away From The Sun","","","no_tie"
"725965","The Zephyr Song","Red Hot Chili Peppers","By the Way (Deluxe Edition)","","By the Way","low"
"924937","Bubbly","Colbie Caillat","Coco","","","no_tie"
"2503284","Give A Little Bit","Supertramp","The Very Best Of Supertramp","","Robots","low"
"110479784","Baby Jane","Rod Stewart","Storyteller - The Complete Anthology: 1964 - 1990","","","no_tie"
