DeezerId,Title,Artist,Album,Source,ProposedSource,Confidence
"62419007","Flashdance...What a Feeling (Radio Edit)","Irene Cara","What a Feelin'","Flashdance","Flashdance","high"
"3872734","Arthur's Theme (Best That You Can Do)","Christopher Cross","Arthur - The Album [Original Soundtrack]","Arthur","Arthur","high"
"576431","Eye of the Tiger","Survivor","Rocky IV","Rocky III","Rocky III","high"
"5079647","Don't You (Forget About Me)","Simple Minds","The Breakfast Club","The Breakfast Club","The Breakfast Club","high"
"24307571","Circle of Life","Carmen Twillie","The Lion King","The Lion King","The Lion King","high"
"7675403","I Will Always Love You","Whitney Houston","The Bodyguard - Original Soundtrack Album","The Bodyguard","The Bodyguard","high"
"3117869","Can You Feel the Love Tonight","Elton John","The Lion King: Special Edition Original Soundtrack (French Version)","The Lion King","The Lion King","high"
"3130429","A View to a Kill","Duran Duran","Greatest","A View to a Kill","A View to a Kill","high"
"3276735","Goldfinger","Shirley Bassey","20 of the Best","Goldfinger","Goldfinger","high"
"122832120","Colors of the Wind","Judy Kuhn","Pocahontas","Pocahontas","Pocahontas","high"
"1109731","Lose Yourself","Eminem","Curtain Call: The Hits","8 Mile","8 Mile","high"
"646327092","Ain't No Mountain High Enough","Marvin Gaye","United","Remember the Titans","Remember the Titans","unknown"
"3055975","Now We Are Free","Lisa Gerrard","Gladiator - Music From The Motion Picture","Gladiator","Gladiator","high"
"3130319","True (Single Edit)","Spandau Ballet","Gold - The Best of Spandau Ballet","Sixteen Candles","Sixteen Candles","unknown"
"136710424","Stand By Me","Ben E. King","Stand By Me","Stand By Me","Stand By Me","high"
"3819736","La Bamba","Los Lobos","La Bamba / Charlena","La Bamba","La Bamba","high"
"3147390","Goldeneye","Tina Turner","Goldeneye","GoldenEye","GoldenEye","high"
"75392184","Rhythm Of The Night","DeBarge","Rhythm Of The Night","The Last Dragon","The Last Dragon","high"
"3917698","Batdance","Prince","Batman","Batman","Batman","high"
"3156230","If You Leave","Orchestral Manoeuvres In The Dark","The OMD Singles","Pretty in Pink","Pretty in Pink","high"
"538709362","I Just Called To Say I Love You","Stevie Wonder","The Definitive Collection (Deluxe Edition)","The Woman in Red","The Woman in Red","high"
"137751717","The Look Of Love","Dusty Springfield","The Very Best Of Dusty Springfield","Casino Royale","Casino Royale","medium"
"145187392","Under the Sea","Samuel E. Wright","The Little Mermaid Special Edition","The Little Mermaid","The Little Mermaid","high"
"65443651","Main Title And First Victim","John Williams","Jaws (The Collector's Edition Soundtrack)","Jaws","Jaws","high"
"102271990","We Don't Need Another Hero (Thunderdome)","Tina Turner","Private Dancer (30th Anniversary Issue)","Mad Max Beyond Thunderdome","Mad Max Beyond Thunderdome","high"
"959903","Jump in the Line","Harry Belafonte","Greatest Hits","Beetlejuice","Beetlejuice","medium"
"3091987","Kokomo","The Beach Boys","The Very Best Of The Beach Boys: Sounds Of Summer","Cocktail","Cocktail","medium"
"555639","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition","Thriller","Thriller","high"
