title,artist,album,isrc,isFound
"I Don't Want To Miss A Thing",Aerosmith,,,0
"Say It Ain't So (Original Mix)",Weezer,,,0
"All My Life","K-Ci & JoJo",,,0
Amber,,,,0
"If You Tolerate This Your Children Will Be Next","Manic Street Preachers",,,0
"Only Wanna Be With You","Hootie & The Blowfish",,,0
Summertime,"DJ Jazzy Jeff & The Fresh Prince",,,0
"Beautiful Disaster",,,,0
"Hold My Hand","Hootie & The Blowfish",,,0
"Gonna Make You Sweat (Everybody Dance Now)","C & C Music Factory",,,0
"It's Gonna Be Me","N Sync",,,0
"Let Her Cry","Hootie & The Blowfish",,,0
"Neon Moon","Brooks & Dunn",,,0
"Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys",,,0
