Title,Artist
"Enjoy the Silence","Depeche Mode"
"Californication","Red Hot Chili Peppers"
"...Baby One More Time","Britney Spears"
"Remember the Time","Michael Jackson"
"Iris","The Goo Goo Dolls"
"Losing My Religion","R.E.M."
"What's Up?","4 Non Blondes"
"The Kids Aren't Alright","The Offspring"
"Black or White","Michael Jackson"
"Fade Into You","Mazzy Star"
"Say My Name","Destiny's Child"
"Scar Tissue","Red Hot Chili Peppers"
"Knockin' On Heaven's Door","Guns N' Roses"
"I Don't Want To Miss A Thing","Aerosmith"
"Cherry Pie","Warrant"
"Killing In The Name","Rage Against the Machine"
"Bitter Sweet Symphony (Remastered 2016)","The Verve"
"Freed From Desire","Gala"
"No Scrubs","TLC"
"I Want It That Way","Backstreet Boys"
"Basket Case","Green Day"
"Everlong","Foo Fighters"
"Lovefool","The Cardigans"
"Black Hole Sun","Soundgarden"
"Lithium","Nirvana"
"Why Don't You Get A Job","The Offspring"
"November Rain","Guns N' Roses"
"Kiss Me","Sixpence None The Richer"
"Believe","Cher"
"Pretty Fly (For A White Guy)","The Offspring"
"It Wasn't Me","Shaggy"
"It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette"
"Mr. Jones","Counting Crows"
"Macarena","Los Del Río"
"All The Small Things","blink-182"
"Barbie Girl","Aqua"
"It Ain't Over 'Til It's Over","Lenny Kravitz"
"Maria Maria (feat. The Product G&B)","Santana"
"Black","Pearl Jam"
"Thank You","Dido"
"Are You Gonna Go My Way","Lenny Kravitz"
"Break Stuff","Limp Bizkit"
"Around the World","Daft Punk"
"Fly Away","Lenny Kravitz"
"Heart-Shaped Box","Nirvana"
"Sandstorm","Darude"
"Bye Bye Bye","*NSYNC"
"Learn to Fly","Foo Fighters"
"Two Princes","Spin Doctors"
"Du hast","Rammstein"
"One Of Us","Joan Osborne"
"One","U2"
"All By Myself","Céline Dion"
"Teardrop","Massive Attack"
"My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion"
"All Star","Smash Mouth"
"Dreams","The Cranberries"
"Ready or Not","Fugees"
"In Bloom","Nirvana"
"Ordinary World","Duran Duran"
"Even Flow","Pearl Jam"
"Give It Away","Red Hot Chili Peppers"
"Ride on Time","Black Box"
"Good Riddance (Time of Your Life)","Green Day"
"1979","The Smashing Pumpkins"
"Return of the Mack","Mark Morrison"
"High and Dry","Radiohead"
"'74-'75","The Connells"
"No Diggity","Blackstreet"
"Shiny Happy People","R.E.M."
"No Limit","2 Unlimited"
"Insomnia (Radio Edit)","Faithless"
"Bullet With Butterfly Wings (Remastered 2012)","The Smashing Pumpkins"
"Kiss from a Rose","Seal"
"My Love Is Your Love","Whitney Houston"
"Fantasy","Mariah Carey"
"Only Time","Enya"
"Thong Song","Sisqo"
"Baby, I Love Your Way","Big Mountain"
"Runaway Train (2022 Remaster)","Soul Asylum"
"I Love You Always Forever","Donna Lewis"
"Because You Loved Me (Theme from ""Up Close and Personal"")","Céline Dion"
"You Get What You Give","New Radicals"
"If It Makes You Happy","Sheryl Crow"
"Scatman (ski-ba-bop-ba-dop-bop)","Scatman John"
"Mr. Vain (Original Radio Edit)","Culture Beat"
"I'm Gonna Be (500 Miles)","The Proclaimers"
"Insane in the Brain","Cypress Hill"
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy"
"Jeremy","Pearl Jam"
"Miami","Will Smith"
"My Name Is","Eminem"
"Here With Me","Dido"
"Stars","Simply Red"
"Regulate (Album Version Explicit)","Warren G"
"My All","Mariah Carey"
"Smooth (feat. Rob Thomas)","Santana"
"My Hero","Foo Fighters"
"Plush","Stone Temple Pilots"
"They Don't Care About Us","Michael Jackson"
"Frozen","Madonna"
"Push The Feeling On (Mk Dub Revisited Edit)","Nightcrawlers"
"Hard Knock Life (Ghetto Anthem)","JAŸ-Z"
"Got the Life","Korn"
"Father Figure (Remastered)","George Michael"
"You'll Be In My Heart","Phil Collins"
