Title,Artist
"Alexander Hamilton","Leslie Odom Jr."
"Popular (From Wicked Original Broadway Cast Recording/2003)","Kristin Chenoweth"
"Waving Through A Window","Ben Platt"
"All That Jazz","Chicago Ensemble (1997)"
"Defying Gravity","Kristin Chenoweth"
"The Wizard And I","Carole Shelley"
"Mamma Mia (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Meryl Streep"
"Satisfied","Renee Elise Goldsberry"
"My Shot","Lin-Manuel Miranda"
"You'll Be Back","Jonathan Groff"
"Helpless","Phillipa Soo"
"Cell Block Tango","Catherine Zeta-Jones"
"Dear Theodosia","Leslie Odom Jr."
"She Used to Be Mine","Jessie Mueller"
"For Good (From Wicked Original Broadway Cast Recording/2003)","Kristin Chenoweth"
"Non-Stop","Leslie Odom Jr."
"Wait for It","Leslie Odom Jr."
"Your Song (From Moulin Rouge Soundtrack)","Ewan McGregor"
"The Schuyler Sisters","Renee Elise Goldsberry"
"The Room Where It Happens","Leslie Odom Jr."
"Burn","Phillipa Soo"
"Right Hand Man","Lin-Manuel Miranda"
"What'd I Miss","Daveed Diggs"
"Say No to This","Jasmine Cephas-Jones"
"The Story of Tonight","Lin-Manuel Miranda"
"Take a Break","Phillipa Soo"
"The Story of Tonight (Reprise)","Okieriete Onaodowan"
"What Comes Next?","Jonathan Groff"
"History Has Its Eyes on You","Christopher Jackson"
"One Last Time","Christopher Jackson"
"I Know Him","Jonathan Groff"
"My Favorite Things","Julie Andrews"
"Supercalifragilisticexpialidocious","Julie Andrews"
"When He Sees Me","Kimiko Glenn"
"West Side Story: Act I: America","West Side Story Ensemble (Original Motion Picture Soundtrack)"
"You Will Be Found","Ben Platt"
"Roxie (Album Version)","Renée Zellweger"
"For Forever","Ben Platt"
"Take Me or Leave Me","Idina Menzel"
"Opening Up","Jessie Mueller"
"Seize The Day","Ben Fankhauser"
"I'd Rather Be Me","Barrett Wilbert Weed"
"Welcome To The Rock","Joel Hatch"
"The Bitch Of Living (Original Broadway Cast Recording/2006)","John Gallagher, Jr."
"Still Hurting","Anna Kendrick"
"Me And The Sky","Jenn Colella"
"What Is This Feeling?","Kristin Chenoweth"
"No One Mourns The Wicked (From Wicked Original Broadway Cast Recording/2003)","Kristin Chenoweth"
"No Good Deed (From Wicked Original Broadway Cast Recording/2003)","Idina Menzel"
"Dancing Through Life","Norbert Leo Butz"
"I'm Not That Girl (From Wicked Original Broadway Cast Recording/2003)","Idina Menzel"
"One Short Day","Kristin Chenoweth"
"Good Morning Baltimore","Marissa Jaret Winokur"
"This Had Better Come to a Stop","Christian Borle"
"I Can Do Better Than That","Anna Kendrick"
"Hello, Dolly!","Bette Midler"
"First Date / Last Night","Lindsay Mendez"
"Forget About the Boy","Sutton Foster"
"City Of Stars (From La La Land Soundtrack)","Ryan Gosling"
"The Winner Takes It All (From Mamma Mia!)","Meryl Streep"
"Dancing Queen (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Meryl Streep"
"Popular","Ariana Grande"
"Aaron Burr, Sir","Lin-Manuel Miranda"
"Grease (2007 Remaster)","Frankie Valli"
"Once Upon a December","Christy Altomare"
"Guns and Ships","Leslie Odom Jr."
"A Winter's Ball","Leslie Odom Jr."
"Farmer Refuted","Thayne Jasperson"
"Cabinet Battle #1","Christopher Jackson"
"Yorktown (The World Turned Upside Down)","Original Broadway Cast of Hamilton"
"Washington on Your Side","Leslie Odom Jr."
"Who Lives, Who Dies, Who Tells Your Story","Original Broadway Cast of Hamilton"
"Stay Alive","Original Broadway Cast of Hamilton"
"The Reynolds Pamphlet","Original Broadway Cast of Hamilton"
"Ten Duel Commandments","Lin-Manuel Miranda"
"When I Kissed The Teacher","Lily James"
"Ex-Wives","Six"
"Meet Me Inside","Lin-Manuel Miranda"
"We Know","Lin-Manuel Miranda"
"Your Obedient Servant","Leslie Odom Jr."
"Cabinet Battle #2","Christopher Jackson"
"The World Was Wide Enough","Leslie Odom Jr."
"Schuyler Defeated","Phillipa Soo"
