Title,Artist
"Skyfall","Adele"
"Cornfield Chase","Hans Zimmer"
"Let It Go (From ""Frozen""/Soundtrack Version)","Idina Menzel"
"Stayin Alive","Bee Gees"
"Time","Hans Zimmer"
"City Of Stars (From ""La La Land"" Soundtrack)","Ryan Gosling"
"Ghostbusters","Ray Parker, Jr."
"Pretty in Pink","The Psychedelic Furs"
"Shallow","Lady Gaga"
"Against All Odds (Take a Look at Me Now) (2016 Remaster)","Phil Collins"
"You'll Be In My Heart","Phil Collins"
"Day One (Interstellar Theme)","Hans Zimmer"
"My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion"
"Duel of the Fates","John Williams"
"Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer"
"Maniac (Re-Recorded)","Michael Sembello"
"You're The One That I Want (From “Grease”)","John Travolta"
"Bohemian Rhapsody","Queen"
"The Hanging Tree (From ""The Hunger Games: Mockingjay"" Soundtrack)","James Newton Howard"
"Cruel Summer","Bananarama"
"Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer"
"Mountains","Hans Zimmer"
"Theme From Jurassic Park","John Williams"
"Lily's Theme","Alexandre Desplat"
"I Heard It Through The Grapevine","Marvin Gaye"
"American Beauty","Thomas Newman"
"You've Got a Friend in Me","Randy Newman"
"Night Fever (From ""Saturday Night Fever"" Soundtrack)","Bee Gees"
"Django","Luis Bacalov"
"The Imperial March (Darth Vader's Theme)","John Williams"
"How Far I'll Go","Auli'i Cravalho"
"Main Title and Escape","John Williams"
"Let's Hear It for the Boy (From ""Footloose"" Original Soundtrack)","Deniece Williams"
"Unchained Melody","The Righteous Brothers"
"It Might Be You (Theme from Tootsie)","Stephen Bishop"
"Anakin's Betrayal","John Williams"
"Live And Let Die (Main Title)","Paul McCartney"
"Battle of the Heroes","John Williams"
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams"
"Anakin vs. Obi-Wan","John Williams"
"Star Wars (Main Theme)","John Williams"
"Finale","John Williams"
"Holiday Road (National Lampoon's Vacation)","Lindsey Buckingham"
"(I'm Gonna) Love Me Again","Elton John"
"Halloween Theme","John Carpenter"
"Anakin's Theme","John Williams"
"Young And Beautiful","Lana Del Rey"
"Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone"
"Nightcall","Kavinsky"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake"
"Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna"
"Try Everything","Shakira"
"Earned It (Fifty Shades Of Grey) (From The ""Fifty Shades Of Grey"" Soundtrack)","The Weeknd"
"No Time To Die","Billie Eilish"
"In the Air Tonight (2015 Remaster)","Phil Collins"
"Killer Queen","Queen"
"Oh, Pretty Woman","Roy Orbison"
"Everybody Needs Somebody to Love","The Blues Brothers"
"Immortals","Fall Out Boy"
"Writing's On The Wall (From ""Spectre"" Soundtrack)","Sam Smith"
"You Never Can Tell","Chuck Berry"
"Society","Eddie Vedder"
