Title,Artist
"(I've Had) The Time Of My Life (From ""Dirty Dancing"" Soundtrack)","Bill Medley"
"Flashdance...What a Feeling (Radio Edit)","Irene Cara"
"Arthur's Theme (Best That You Can Do)","Christopher Cross"
"Eye of the Tiger","Survivor"
"Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins"
"Take My Breath Away (Love Theme from ""Top Gun"")","Berlin"
"Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen"
"Don't You (Forget About Me)","Simple Minds"
"Top Gun Anthem (From ""Top Gun"" Original Soundtrack)","Harold Faltermeyer"
"Circle of Life","Carmen Twillie"
"I Will Always Love You","Whitney Houston"
"The Power Of Love","Huey Lewis & The News"
"Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins"
"He's a Pirate","Klaus Badelt"
"Can You Feel the Love Tonight","Elton John"
"A View to a Kill","Duran Duran"
"The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone"
"I'm Forrest... Forrest Gump","Alan Silvestri"
"St. Elmos Fire (Man in Motion)","John Parr"
"Mrs. Robinson","Simon & Garfunkel"
"The Goonies 'R' Good Enough (From ""The Goonies"" Soundtrack)","Cyndi Lauper"
"Goldfinger","Shirley Bassey"
"Up Where We Belong (From ""An Officer And A Gentleman"")","Joe Cocker"
"Colors of the Wind","Judy Kuhn"
"Lose Yourself","Eminem"
"I Don't Want To Miss A Thing","Aerosmith"
"Ain't No Mountain High Enough","Marvin Gaye"
"Now We Are Free","Lisa Gerrard"
"She's Like the Wind (feat. Wendy Fraser) (From ""Dirty Dancing"" Soundtrack)","Patrick Swayze"
"True (Single Edit)","Spandau Ballet"
"Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor"
"Stand By Me","Ben E. King"
"Endless Love (From ""The Endless Love"" Soundtrack)","Lionel Richie"
"La Bamba","Los Lobos"
"Hedwig's Theme","John Williams"
"Goldeneye","Tina Turner"
"Drink Up Me Hearties Yo Ho","Hans Zimmer"
"Rhythm Of The Night","DeBarge"
