Title,Artist
"Time","Hans Zimmer"
"He's a Pirate","Klaus Badelt"
"The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone"
"Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer"
"The Mandalorian","Ludwig Göransson"
"Can You Hear The Music","Ludwig Göransson"
"Hedwig's Theme","John Williams"
"Concerning Hobbits","Howard Shore"
"Theme From Jurassic Park","John Williams"
"The Avengers","Alan Silvestri"
"I'm Forrest... Forrest Gump","Alan Silvestri"
"The Good, The Bad And The Ugly (2004 Remaster)","Ennio Morricone"
"For The Love Of A Princess","James Horner"
"Love Theme From ""The Godfather""","Nino Rota"
"Portals","Alan Silvestri"
"Rose (From ""Titanic"" Soundtrack)","James Horner"
"Main Title And First Victim","John Williams"
"Circle of Life","Carmen Twillie"
"Main Title","James Horner"
"The Godfather Waltz (Main Title)","Nino Rota"
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams"
"Main Title","Danny Elfman"
"The Batman Theme","Danny Elfman"
"Main Titles (From the HBO Miniseries ""Band of Brothers"" Soundtrack)","The London Metropolitan Orchestra"
"Once Upon a Time in The West (Main Theme)","Ennio Morricone"
"Wednesday Main Titles","Danny Elfman"
"Duel of the Fates","John Williams"
"Spider-Man 2 Main Title","Danny Elfman"
"Back To The Future: Back To The Future (From ""Back To The Future"")","Alan Silvestri"
"Halloween Theme","John Carpenter"
"Theme (from ""Spider Man"") [Original Television Series]","Michael Giacchino"
"Star Wars (Main Theme)","John Williams"
"The Glory Days","Michael Giacchino"
"Prelude and Main Title March","John Williams"
"Main Title","Jerry Goldsmith"
"The Magnificent Seven","Elmer Bernstein"
"Flying Theme (From ""E.T. the Extra-Terrestrial"")","John Williams"
"Now We Are Free (Maximus Mix)","Gavin Greenaway"
"Captain Marvel","Pinar Toprak"
"Titles (Remastered)","Vangelis"
"Stayin Alive","Bee Gees"
"(I've Had) The Time Of My Life (From ""Dirty Dancing"" Soundtrack)","Bill Medley"
"Now We Are Free","Lisa Gerrard"
"Mia & Sebastian’s Theme","Justin Hurwitz"
"You'll Be In My Heart","Phil Collins"
"Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins"
"End Credits","Alan Silvestri"
"Theme from Glass Onion","Nathan Johnson"
"Arthur's Theme (Best That You Can Do)","Christopher Cross"
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","John Williams"
"Light of the Seven","Ramin Djawadi"
"Chase","Giorgio Moroder"
"Tennessee","Hans Zimmer"
"My Heart Will Go On (Love Theme from ""Titanic"")","Céline Dion"
"A Way of Life","Hans Zimmer"
"The Sound Of Silence","Simon & Garfunkel"
"Chevaliers De Sangreal (From The Da Vinci Code Original Motion Picture Soundtrack)","Hans Zimmer"
"Going The Distance (From ""Rocky"" Soundtrack / Remastered 2006)","Bill Conti"
"One Summer Day","Joe Hisaishi"
"Kids","Kyle Dixon & Michael Stein"
"Gortoz A Ran","Denez Prigent"
"The Last of Us","Gustavo Santaolalla"
"Evenstar","Howard Shore"
"Test Drive (From How To Train Your Dragon Music From The Motion Picture)","John Powell"
"One Day","Hans Zimmer"
"Ghostbusters","Ray Parker, Jr."
"Top Gun Anthem","Harold Faltermeyer"
"Up Is Down","Hans Zimmer"
"Lux Aeterna","Clint Mansell"
"Django","Luis Bacalov"
"Theme From Schindler's List","John Williams"
"Stranger Things","Kyle Dixon & Michael Stein"
"Eulogy","Kyle Dixon & Michael Stein"
