Source,Kind,Year,CanonicalTitle,TrackCount
"1492: Conquest of Paradise","MOVIE","1992","1492: Conquest of Paradise","1"
"1999","OTHER","1982","1999","1"
"500 Days of Summer","MOVIE","2009","500 Days of Summer","1"
"8 Mile","MOVIE","2002","8 Mile","1"
"9 to 5","MOVIE","1980","9 to 5","1"
"A Night at the Roxbury","MOVIE","1998","A Night at the Roxbury","1"
"A Star Is Born","MOVIE","1937","A Star Is Born","3"
"A View to a Kill","MOVIE","1985","A View to a Kill","1"
"Against All Odds","MOVIE","1984","Against All Odds","1"
"Aladdin","MOVIE","1992","Aladdin","2"
"Almost Famous","MOVIE","2000","Almost Famous","1"
"American Gigolo","MOVIE","1980","American Gigolo","1"
"American Psycho","MOVIE","2000","American Psycho","1"
"Amélie","MOVIE","2001","Amélie","1"
"An Officer And A Gentleman","MOVIE","1982","An Officer and a Gentleman","1"
"Animal House","MOVIE","1978","Animal House","2"
"Armageddon","MOVIE","1998","Armageddon","1"
"Arrested Development","TV","2003","Arrested Development","1"
"Arthur","MOVIE","1981","Arthur","1"
"Avatar","MOVIE","2009","Avatar","2"
"Back to the Future","MOVIE","1985","Back to the Future","1"
"Barbie","MOVIE","2023","Barbie","3"
"Batman","MOVIE","1989","Batman","2"
"Batman Forever","MOVIE","1995","Batman Forever","1"
"Beaches","MOVIE","1988","Beaches","1"
"Beauty and the Beast","MOVIE","1991","Beauty and the Beast","1"
"Beetlejuice","MOVIE","1988","Beetlejuice","2"
"Benny & Joon","MOVIE","1993","Benny & Joon","1"
"Beverly Hills Cop","MOVIE","1984","Beverly Hills Cop","1"
"Black Panther","MOVIE","2018","Black Panther","2"
"Blade Runner","MOVIE","1982","Blade Runner","2"
"Bodyguard","MOVIE","1992","The Bodyguard","1"
"Bohemian Rhapsody","MOVIE","2018","Bohemian Rhapsody","4"
"Boogie Nights","MOVIE","1997","Boogie Nights","2"
"Brave","MOVIE","2012","Brave","1"
"Braveheart","MOVIE","1995","Braveheart","3"
"Breakfast at Tiffany's","MOVIE","1961","Breakfast at Tiffany's","1"
"Breakfast at Tiffanys","MOVIE","1961","Breakfast at Tiffany's","1"
"Bridget Jones's Diary","MOVIE","2001","Bridget Jones's Diary","1"
"Buster","MOVIE","1988","Buster","1"
"Butch Cassidy and the Sundance Kid","MOVIE","1969","Butch Cassidy and the Sundance Kid","2"
"Caddyshack","MOVIE","1980","Caddyshack","1"
"Casino Royale","MOVIE","2006","Casino Royale","3"
"Catch Me If You Can","MOVIE","2002","Catch Me If You Can","1"
"Cats","MUSICAL","1982","Cats","1"
"Charlie And The Chocolate Factory","MOVIE","2005","Charlie and the Chocolate Factory","1"
"Chocolat","MOVIE","2000","Chocolat","1"
"City of Angels","MOVIE","1998","City of Angels","2"
"Cocktail","MOVIE","1988","Cocktail","1"
"Coco","MOVIE","2017","Coco","2"
"Coneheads","MOVIE","1993","Coneheads","1"
"Cool Runnings","MOVIE","1993","Cool Runnings","1"
"Cruel Intentions","MOVIE","1999","Cruel Intentions","1"
"Dance with Wolves","MOVIE","1990","Dances with Wolves","1"
"Dangerous Minds","MOVIE","1995","Dangerous Minds","1"
"Dazed and Confused","MOVIE","1993","Dazed and Confused","1"
"Deadpool","MOVIE","2016","Deadpool","1"
"Deadpool & Wolverine","MOVIE","2024","Deadpool & Wolverine","1"
"Deliverance","MOVIE","1972","Deliverance","1"
"Diamonds Are Forever","MOVIE","1971","Diamonds Are Forever","1"
"Dirty Dancing","MOVIE","1987","Dirty Dancing","7"
"Donnie Darko","MOVIE","2001","Donnie Darko","1"
