Source,Year,TrackCount,Verdict
"1492: Conquest of Paradise","1992","1","pre-2010 (Classics)"
"1999","1999","1","pre-2010 (Classics)"
"500 Days of Summer","2009","1","pre-2010 (Classics)"
"8 Mile","2002","1","pre-2010 (Classics)"
"A View to a Kill","1985","1","pre-2010 (Classics)"
"Aladdin","1992","2","pre-2010 (Classics)"
"American Gigolo","1980","1","pre-2010 (Classics)"
"American Psycho","2000","1","pre-2010 (Classics)"
"Amélie","2001","1","pre-2010 (Classics)"
"An Officer And A Gentleman","1982","1","pre-2010 (Classics)"
"Armageddon","1998","1","pre-2010 (Classics)"
"Arrested Development","2003","1","pre-2010 (Classics)"
"Arthur","1981","1","pre-2010 (Classics)"
"Avatar","2009","2","pre-2010 (Classics)"
"Back to the Future","1985","1","pre-2010 (Classics)"
"Batman","1989","2","pre-2010 (Classics)"
"Batman Forever","1995","1","pre-2010 (Classics)"
"Beaches","1988","1","pre-2010 (Classics)"
"Beetlejuice","1988","2","pre-2010 (Classics)"
"Benny & Joon","1993","1","pre-2010 (Classics)"
"Blade Runner","1982","2","pre-2010 (Classics)"
"Bodyguard","1992","1","pre-2010 (Classics)"
"Boogie Nights","1997","1","pre-2010 (Classics)"
"Braveheart","1995","3","pre-2010 (Classics)"
"Bridget Jones's Diary","2001","1","pre-2010 (Classics)"
"Buster","1988","1","pre-2010 (Classics)"
"Caddyshack","1980","1","pre-2010 (Classics)"
"Casino Royale","2006","3","pre-2010 (Classics)"
"Catch Me If You Can","2002","1","pre-2010 (Classics)"
"Charlie And The Chocolate Factory","2005","1","pre-2010 (Classics)"
"Chocolat","2000","1","pre-2010 (Classics)"
"City of Angels","1998","1","pre-2010 (Classics)"
"Cocktail","1988","1","pre-2010 (Classics)"
"Coneheads","1993","1","pre-2010 (Classics)"
"Cool Runnings","1993","1","pre-2010 (Classics)"
"Dance with Wolves","1990","1","pre-2010 (Classics)"
"Deadpool","2016","1","2016 — MODERN (mismatched in Movie Classics)"
"Deadpool & Wolverine","2024","1","2024 — MODERN (mismatched in Movie Classics)"
"Deliverance","1972","1","pre-2010 (Classics)"
"Diamonds Are Forever","1971","1","pre-2010 (Classics)"
"Dirty Dancing","1987","2","pre-2010 (Classics)"
"Donnie Darko","2001","1","pre-2010 (Classics)"
"Dr. No","1962","1","pre-2010 (Classics)"
"Dreamgirls","2006","1","pre-2010 (Classics)"
"Edward Scissorhands","1990","1","pre-2010 (Classics)"
"Fast Times at Ridgemont High","1982","1","pre-2010 (Classics)"
"Ferris Bueller's Day Off","1986","1","pre-2010 (Classics)"
"Fight Club","1999","1","pre-2010 (Classics)"
"Flashdance","1983","1","pre-2010 (Classics)"
"Footloose","1984","3","pre-2010 (Classics)"
"Forrest Gump","1994","2","pre-2010 (Classics)"
"Full Metal Jacket","1987","1","pre-2010 (Classics)"
"Gladiator","2000","2","pre-2010 (Classics)"
"GoldenEye","1995","1","pre-2010 (Classics)"
"Goldfinger","1964","1","pre-2010 (Classics)"
"Gone With the Wind","1939","1","pre-2010 (Classics)"
"Great Balls of Fire","1989","1","pre-2010 (Classics)"
"Guardians of the Galaxy","2014","1","2014 — MODERN (mismatched in Movie Classics)"
"Hair","1979","1","pre-2010 (Classics)"
"Hannah Montana The Movie","2009","1","pre-2010 (Classics)"
"Harry Potter And The Goblet Of Fire","2005","2","pre-2010 (Classics)"
"Harry Potter And The Order Of The Phoenix","2007","4","pre-2010 (Classics)"
"Harry Potter and The Chamber of Secrets","2002","3","pre-2010 (Classics)"
"Harry Potter and The Sorcerer's Stone","2001","1","pre-2010 (Classics)"
"Harry Potter and the Prisoner of Azkaban","2004","2","pre-2010 (Classics)"
"I, Robot","2004","1","pre-2010 (Classics)"
"Interstellar","2014","1","2014 — MODERN (mismatched in Movie Classics)"
"Jaws","1975","1","pre-2010 (Classics)"
"Jurassic Park","1993","1","pre-2010 (Classics)"
"Just Like Heaven","2005","1","pre-2010 (Classics)"
"Kingsman: The Secret Service","2014","1","2014 — MODERN (mismatched in Movie Classics)"
"La Bamba","1987","1","pre-2010 (Classics)"
"Lean on Me","1989","1","pre-2010 (Classics)"
"Legends Of The Fall","1994","1","pre-2010 (Classics)"
"Less Than Zero","1987","1","pre-2010 (Classics)"
"Lilo & Stitch","2002","1","pre-2010 (Classics)"
"Live and Let Die","1973","1","pre-2010 (Classics)"
"Love Story","1970","1","pre-2010 (Classics)"
"Mad Max Beyond Thunderdome","1985","1","pre-2010 (Classics)"
"Mamma Mia","2008","6","pre-2010 (Classics)"
"Mamma Mia!","1999","2","pre-2010 (Classics)"
"Mannequin","1987","1","pre-2010 (Classics)"
"Midnight Express","1978","1","pre-2010 (Classics)"
"Mission Impossible","1996","1","pre-2010 (Classics)"
"Moulin Rouge!","2001","1","pre-2010 (Classics)"
"Napoleon Dynamite","2004","1","pre-2010 (Classics)"
"Naruto","2002","1","pre-2010 (Classics)"
"National Treasure","2004","1","pre-2010 (Classics)"
"No Way Out","1987","1","pre-2010 (Classics)"
"Notting Hill","1999","2","pre-2010 (Classics)"
"On Her Majesty's Secret Service","1969","2","pre-2010 (Classics)"
"Pearl Harbor","2001","1","pre-2010 (Classics)"
"Peter Pan","1953","1","pre-2010 (Classics)"
"Philadelphia","1993","1","pre-2010 (Classics)"
"Pirates of the Caribbean","2003","3","pre-2010 (Classics)"
"Pirates of the Caribbean: Dead Man's Chest","2006","1","pre-2010 (Classics)"
"Pirates of the Caribbean: The Curse of the Black Pearl","2003","8","pre-2010 (Classics)"
"Pirates of the Caribbeand","2003","1","pre-2010 (Classics)"
"Pocahontas","1995","2","pre-2010 (Classics)"
"Pretty Woman","1990","1","pre-2010 (Classics)"
"Pretty in Pink","1986","2","pre-2010 (Classics)"
"Pride & Prejudice","2005","1","pre-2010 (Classics)"
"Purple Rain","1984","1","pre-2010 (Classics)"
"Ratatouille","2007","1","pre-2010 (Classics)"
"Ready Player One","2018","1","2018 — MODERN (mismatched in Movie Classics)"
"Reality Bites","1994","2","pre-2010 (Classics)"
"Remember the Titans","2000","1","pre-2010 (Classics)"
"Requiem for a Dream","2000","1","pre-2010 (Classics)"
"Reservoir Dogs","1992","1","pre-2010 (Classics)"
"Rock of Ages","2012","1","2012 — MODERN (mismatched in Movie Classics)"
"Rocky III","1982","1","pre-2010 (Classics)"
"Rocky IV","1985","4","pre-2010 (Classics)"
"Romeo + Juliet","1996","2","pre-2010 (Classics)"
"Runaway Train","1985","1","pre-2010 (Classics)"
"Saving Private Ryan","1998","2","pre-2010 (Classics)"
"Schindler's List","1993","1","pre-2010 (Classics)"
"Shaft","1971","1","pre-2010 (Classics)"
"Sherlock Holmes","2009","1","pre-2010 (Classics)"
"Sing","2016","1","2016 — MODERN (mismatched in Movie Classics)"
"Sing 2","2021","1","2021 — MODERN (mismatched in Movie Classics)"
"Sixteen Candles","1984","1","pre-2010 (Classics)"
"Sliding Doors","1998","1","pre-2010 (Classics)"
"Spider-Man","2002","1","pre-2010 (Classics)"
"Spider-Man 2","2004","1","pre-2010 (Classics)"
"Spirited Away","2001","2","pre-2010 (Classics)"
"St. Elmo's Fire - Music From The","1985","2","pre-2010 (Classics)"
"Stand By Me","1986","1","pre-2010 (Classics)"
"Stop Making Sense","1984","1","pre-2010 (Classics)"
"Stranger Things","2016","2","2016 — MODERN (mismatched in Movie Classics)"
"Superman: The Movie","1978","1","pre-2010 (Classics)"
"Sweet Home Alabama","2002","1","pre-2010 (Classics)"
"That Thing You Do!","1996","1","pre-2010 (Classics)"
"The Bodyguard","1992","1","pre-2010 (Classics)"
"The Bourne Ultimatum","2007","1","pre-2010 (Classics)"
"The Breakfast Club","1985","3","pre-2010 (Classics)"
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","2005","2","pre-2010 (Classics)"
"The Da Vinci Code","2006","1","pre-2010 (Classics)"
"The Dark Knight","2008","6","pre-2010 (Classics)"
"The Endless Love","1981","1","pre-2010 (Classics)"
"The First Wives Club","1996","1","pre-2010 (Classics)"
"The Good, The Bad And The Ugly","1966","2","pre-2010 (Classics)"
"The Goonies","1985","1","pre-2010 (Classics)"
"The Graduate","1967","2","pre-2010 (Classics)"
"The Holiday","2006","1","pre-2010 (Classics)"
"The Incredibles","2004","2","pre-2010 (Classics)"
"The Karate Kid Part II","1986","1","pre-2010 (Classics)"
"The Last Dragon","1985","1","pre-2010 (Classics)"
"The Last Samurai","2003","2","pre-2010 (Classics)"
"The Lion King","1994","3","pre-2010 (Classics)"
"The Little Mermaid","1989","3","pre-2010 (Classics)"
"The Living Daylights","1987","1","pre-2010 (Classics)"
"The Lord of the Rings: The Fellowship of the Ring","2001","7","pre-2010 (Classics)"
"The Lord of the Rings: The Return of the King","2003","1","pre-2010 (Classics)"
"The Lord of the Rings: The Two Towers","2002","4","pre-2010 (Classics)"
"The Lost Boys","1987","2","pre-2010 (Classics)"
"The Motorcycle Diaries","2004","1","pre-2010 (Classics)"
"The Munsters","1964","1","pre-2010 (Classics)"
"The NeverEnding Story","1984","1","pre-2010 (Classics)"
"The Piano","1993","1","pre-2010 (Classics)"
"The Polar Express","2004","1","pre-2010 (Classics)"
"The Royal Tenenbaums","2001","1","pre-2010 (Classics)"
"The Shawshank Redemption","1994","2","pre-2010 (Classics)"
"The Shining","1980","1","pre-2010 (Classics)"
"The Wall","1982","1","pre-2010 (Classics)"
"The Wedding Singer","1998","1","pre-2010 (Classics)"
"The Woman in Red","1984","1","pre-2010 (Classics)"
"Thriller","1983","1","pre-2010 (Classics)"
"Top Gun","1986","5","pre-2010 (Classics)"
"Transformers","2007","3","pre-2010 (Classics)"
"Transformers: Revenge of the Fallen","2009","2","pre-2010 (Classics)"
"Under the Cherry Moon","1986","1","pre-2010 (Classics)"
"Up","2009","1","pre-2010 (Classics)"
"Up Close and Personal","1996","1","pre-2010 (Classics)"
"Valley Girl","1983","1","pre-2010 (Classics)"
"Vision Quest","1985","1","pre-2010 (Classics)"
"We Are Family","1979","1","pre-2010 (Classics)"
"We Are The World","1985","1","pre-2010 (Classics)"
"West Side Story","1957","1","pre-2010 (Classics)"
"When Harry Met Sally","1989","1","pre-2010 (Classics)"
"White Nights","1985","1","pre-2010 (Classics)"
"Xanadu","1980","1","pre-2010 (Classics)"
"Zoolander","2001","1","pre-2010 (Classics)"
