DeezerId,Title,Artist,Album,Source
"134012978","Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins","Footloose (Original Motion Picture Soundtrack)","Footloose"
"7675055","Take My Breath Away (Love Theme from ""Top Gun"")","Berlin","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)","Top Gun"
"13128242","Hungry Eyes (From ""Dirty Dancing"" Soundtrack)","Eric Carmen","Dirty Dancing (Original Motion Picture Soundtrack)","Dirty Dancing"
"7675060","Top Gun Anthem (From ""Top Gun"" Original Soundtrack)","Harold Faltermeyer","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)","Top Gun"
"7675051","Danger Zone (From ""Top Gun"" Original Soundtrack)","Kenny Loggins","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)","Top Gun"
"24206451","He's a Pirate","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","Pirates of the Caribbean: The Curse of the Black Pearl"
"3089031","The Ecstasy Of Gold (2004 Remaster)","Ennio Morricone","The Good, The Bad And The Ugly (Original Motion Picture Soundtrack / Remastered & Expanded)","The Good, The Bad And The Ugly ("
"1014549","I'm Forrest... Forrest Gump","Alan Silvestri","Forrest Gump - Original Motion Picture Score","Forrest Gump"
"6410074","St. Elmos Fire (Man in Motion)","John Parr","St. Elmo's Fire - Music From The Original Motion Picture Soundtrack","St. Elmo's Fire - Music From The"
"7398947","The Goonies 'R' Good Enough (From ""The Goonies"" Soundtrack)","Cyndi Lauper","The Goonies (Original Motion Picture Soundtrack)","The Goonies"
"906585","Up Where We Belong (From ""An Officer And A Gentleman"")","Joe Cocker","'80s Pop #1's","An Officer And A Gentleman"
"13128241","She's Like the Wind (feat. Wendy Fraser) (From ""Dirty Dancing"" Soundtrack)","Patrick Swayze","Dirty Dancing (Original Motion Picture Soundtrack)","Dirty Dancing"
"576423","Burning Heart (From ""Rocky IV"" Soundtrack)","Survivor","Rocky IV","Rocky IV"
"906584","Endless Love (From ""The Endless Love"" Soundtrack)","Lionel Richie","'80s Pop #1's","The Endless Love"
"661779","Hedwig's Theme","John Williams","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","Harry Potter and The Sorcerer's Stone"
"679866","Dumbledore's Army","Nicholas Hooper","Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack)","Harry Potter And The Order Of The Phoenix"
"120917666","A Whole New World","Lea Salonga","Aladdin (Original Motion Picture Soundtrack)","Aladdin"
"3169677","We Have All The Time In The World (Remastered 2003)","Louis Armstrong","On Her Majesty's Secret Service (Original Motion Picture Soundtrack / Expanded Edition)","On Her Majesty's Secret Service ("
"120917660","Friend Like Me","Robin Williams","Aladdin (Original Motion Picture Soundtrack)","Aladdin"
"14617160","Good Times (with Jimmy Barnes)","INXS","The Lost Boys Original Motion Picture Soundtrack","The Lost Boys"
"576439","No Easy Way Out (From ""Rocky IV"" Soundtrack)","Robert Tepper","Rocky IV","Rocky IV"
