DeezerId,Title,Artist,Album,Source
"1137370842","Cornfield Chase","Hans Zimmer","",""
"6524423","Time","Hans Zimmer","",""
"548743","Pretty In Pink","The Psychedelic Furs","",""
"561875132","You'll Be In My Heart","Phil Collins","",""
"493895402","Duel of the Fates","John Williams","",""
"5610919","Honor (Main Title Theme from ""The Pacific"")","Hans Zimmer","",""
"781563062","You're The One That I Want (From “Grease”)","John Travolta","",""
"421388782","Cruel Summer","Bananarama","",""
"1764283617","Main Titles (You’ve Been Called Back to Top Gun)","Harold Faltermeyer","",""
"1137370902","Mountains","Hans Zimmer","",""
"2296192","Theme From Jurassic Park","John Williams","",""
"647394572","Lily's Theme","Alexandre Desplat","",""
"132196486","I Heard It Through The Grapevine","Marvin Gaye","",""
"561867002","American Beauty","Thomas Newman","",""
"62953943","Django","Luis Bacalov","",""
"493842012","The Imperial March (Darth Vader's Theme)","John Williams","",""
"440475672","Main Title and Escape","John Williams","",""
"134012980","Let's Hear It for the Boy (From ""Footloose"" Soundtrack)","Deniece Williams","",""
"90120289","It Might Be You (Theme from Tootsie)","Stephen Bishop","",""
"493883802","Anakin's Betrayal","John Williams","",""
"5664761","Live And Let Die (Main Title)","Paul McCartney","",""
"493883792","Battle of the Heroes","John Williams","",""
"110148734","Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)","John Williams","",""
"493883852","Anakin vs. Obi-Wan","John Williams","",""
"493841972","Star Wars (Main Theme)","John Williams","",""
"493842132","Finale","John Williams","",""
"104095200","Holiday Road (National Lampoon's Vacation)","Lindsey Buckingham","",""
"682049832","(I'm Gonna) Love Me Again","Elton John","",""
"555263792","Halloween Theme","John Carpenter","",""
"493895412","Anakin's Theme","John Williams","",""
"66660698","Young And Beautiful","Lana Del Rey","",""
"62496771","Nightcall","Kavinsky","",""
"132635814","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","",""
"1988270837","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna","",""
"586860862","Try Everything","Shakira","",""
"134036212","In the Air Tonight (2015 Remaster)","Phil Collins","",""
"568115872","Killer Queen (2011 Remaster)","Queen","",""
"13100386","Everybody Needs Somebody to Love","The Blues Brothers","",""
"92872170","Immortals","Fall Out Boy","",""
"407643972","Society","Eddie Vedder","",""
"798742662","The Mandalorian","Ludwig Göransson","",""
"493885752","Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","John Williams","",""
"107474516","Changes (2015 Remaster)","David Bowie","",""
"144130194","Beauty and the Beast","Ariana Grande","",""
"67770820","The Last of Us","Gustavo Santaolalla","",""
"1550821762","We Don't Talk About Bruno","Carolina Gaitán - La Gaita","",""
"17840804","The Avengers","Alan Silvestri","",""
"374282981","Let's Go Crazy (2015 Paisley Park Remaster)","Prince","",""
"116348108","Hey Jude (Remastered 2009)","The Beatles","",""
"117729426","Main Title","Ramin Djawadi","",""
"647235962","Flight","Hans Zimmer","",""
"2670920782","A Time of Quiet Between the Storms","Hans Zimmer","",""
"1496669252","Matera (From ''No Time To Die'' Soundtrack)","Hans Zimmer","",""
"88725281","Alan Turing's Legacy (From ""The Imitation Game"" Soundtrack)","Alexandre Desplat","",""
"493886962","Cantina Band","John Williams","",""
"117726040","The Dragon Warrior","Hans Zimmer","",""
"80538212","Axel F (From ""Beverly Hills Cop"" Soundtrack)","Harold Faltermeyer","",""
"493887032","The Throne Room and End Title","John Williams","",""
"647709092","Why Do We Fall?","Hans Zimmer","",""
"717247962","California Dreamin'","José Feliciano","",""
"3091964","I Get Around (Remastered 2001)","The Beach Boys","",""
"3040782","Love Theme From ""The Godfather""","Nino Rota","",""
"15439785","Falling Slowly","Glen Hansard","",""
"669424052","Portals","Alan Silvestri","",""
"2296197","Welcome To Jurassic Park","John Williams","",""
"17000045","Rose (From ""Titanic"" Soundtrack)","James Horner","",""
"117729412","London","James Newton Howard","",""
"115709934","Rey's Theme","John Williams","",""
"538708842","Last Dance","Donna Summer","",""
"16918515","Safe & Sound (from The Hunger Games Soundtrack)","Taylor Swift","",""
"70784948","Main Titles (From the HBO Miniseries ""Band of Brothers"" Soundtrack)","The London Metropolitan Orchestra","",""
"393731742","Stay (I Missed You)","Lisa Loeb","",""
"119437660","Coming Back Around","John Powell","",""
"117728240","House Of Cards Main Title Theme","Jeff Beal","",""
"11233716","We Got The Beat (2011 Remaster)","The Go-Go's","",""
"767121772","Bathroom Dance","Hildur Guðnadóttir","",""
"75643473","Once Upon a Time in The West (Main Theme)","Ennio Morricone","",""
"3040776","The Godfather Waltz (Main Title)","Nino Rota","",""
"540169472","The Shoop Shoop Song (It's In His Kiss)","Cher","",""
"831930892","The Rise of Skywalker","John Williams","",""
"117728414","Emma","Steven Price","",""
"2005660777","Wednesday Main Titles","Danny Elfman","",""
"2381496005","Beauty and the Beast","Angela Lansbury","",""
"440475842","The Last Jedi","John Williams","",""
"121590094","Main Title","John Williams","",""
"371523561","Theme (from ""Spider Man"") [Original Television Series]","Michael Giacchino","",""
"74929085","Mr. Moustafa","Alexandre Desplat","",""
"493840112","Ewok Celebration and Finale","John Williams","",""
"3441564191","The Chamber of Secrets (From ""Harry Potter and the Chamber of Secrets"")","The City of Prague Philharmonic Orchestra","",""
"831930952","We Go Together","John Williams","",""
"440475682","Ahch-To Island","John Williams","",""
"119871328","Back To The Future: Back To The Future (From ""Back To The Future"")","Alan Silvestri","",""
"1118045302","Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack)","Tangerine Dream","",""
"823113702","Come Back to Us (From ""1917"" Soundtrack)","Thomas Newman","",""
"493885742","Star Wars Main Title and Ambush on Coruscant","John Williams","",""
"493883882","The Immolation Scene","John Williams","",""
"474185072","Shake It Up (2017 Remaster)","The Cars","",""
"6769019","We Belong Together (From ""Toy Story 3""/Soundtrack)","Randy Newman","",""
"848945","Evergreen (Love Theme from ""A Star Is Born"")","Barbra Streisand","",""
"518465972","Finale & End Credits","John Williams","",""
"115709948","Kylo Ren Arrives at the Battle","John Williams","",""
"93450044","Main Title","Jerry Goldsmith","",""
"14457236","Man Or Muppet","Jason Segel","",""
"132199902","The Magnificent Seven","Elmer Bernstein","",""
"642683942","Captain Marvel","Pinar Toprak","",""
"1612786","Raindrops Keep Falling On My Head (Re-Recorded)","B.J. Thomas","",""
"624844592","Titles","Vangelis","",""
"3813527482","Moon River","Henry Mancini","",""
"3589406821","Zoo (From ""Zootopia 2"")","Disney","",""
"80274512","Bring Me To Life","Evanescence","",""
"139470659","Shape of You","Ed Sheeran","",""
"59509611","Dirty Diana (2012 Remaster)","Michael Jackson","",""
"8930372","On The Floor (Radio Edit)","Jennifer Lopez","",""
"58071451","Demons","Imagine Dragons","",""
"62847142","Titanium (feat. Sia)","David Guetta","",""
"92734438","Uptown Funk (feat. Bruno Mars)","Mark Ronson","",""
"1045832272","Don't Stop Me Now","Queen","",""
"602092492","Shake It Off","Taylor Swift","",""
"426703682","Hotel California (2013 Remaster)","Eagles","",""
"353398321","Eyes Without A Face","Billy Idol","",""
