DeezerId,Title,Artist,Album,Source
"904732","Respect","Aretha Franklin","I Never Loved a Man the Way I Love You",""
"347363311","With Or Without You","U2","The Best Of 1980-1990 & B-Sides",""
"346967941","I'm So Excited","The Pointer Sisters","So Excited! (Expanded Edition)",""
"5404547","Total Eclipse of the Heart","Bonnie Tyler","80s 100 Hits",""
"856124","Your Love","The Outfield","Super Hits",""
"4763165","Beat It","Michael Jackson","Michael Jackson's This Is It",""
"3091966","Surfin' U.S.A. (Remastered 2001)","The Beach Boys","The Very Best Of The Beach Boys: Sounds Of Summer",""
"3127387","Don't Worry Be Happy","Bobby McFerrin","Simple Pleasures",""
"75981528","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","Whitney",""
"2525869","Every Little Thing She Does Is Magic","The Police","The Very Best Of Sting And The Police",""
"95873824","Celebration","Kool & The Gang","Celebrate!",""
"15177141","Hungry Heart","Bruce Springsteen","The River",""
"675801","Gloria","Laura Branigan","The Best of Branigan",""
"2512462","Hurts So Good","John Mellencamp","The Best That I Could Do 1978 - 1988",""
"12081830","In The Still of the Night","The Five Satins","For Collectors Only",""
"3087485","Endless Summer Nights","Richard Marx","Greatest Hits",""
"3177990","Turning Japanese","The Vapors","Turning Japanese - Best Of The Vapors",""
"3404087","Rock This Town (Single Edit/24 Bit Mastering/ Digital Remaster/1999)","Stray Cats","The Brian Setzer Collection 1981-1988 (Remastered)",""
"664107","Take on Me","a-ha","Hunting High and Low",""
"15586296","Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall",""
"925108","Don't Stop The Music","Rihanna","Good Girl Gone Bad: Reloaded",""
"2525864","Every Breath You Take","The Police","The Very Best Of Sting And The Police",""
"68515055","Enjoy the Silence","Depeche Mode","The Singles 86-98",""
"698274","Forever Young","Alphaville","Forever Young",""
"925106","Umbrella","Rihanna","Good Girl Gone Bad: Reloaded",""
"540175","...Baby One More Time","Britney Spears","...Baby One More Time (Digital Deluxe Version)",""
"1079668","Africa","Toto","Toto IV",""
"15593566","Black or White","Michael Jackson","Dangerous",""
"1124111","The Bitch Is Back (Remastered 1995)","Elton John","Caribou (Remastered 1995)",""
"680518","Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium",""
"927900","Wind Of Change","Scorpions","Crazy World",""
"625643","Don't Stop Believin'","Journey","The Essential Journey",""
"1030221","Down Under","Men At Work","The Best Of Men At Work: Contraband",""
"1075781","No Scrubs","TLC","Fanmail",""
"678044","Basket Case","Green Day","Dookie",""
"82199332","Womanizer","Britney Spears","Circus (Deluxe Version)",""
"80304804","Walk of Life","Dire Straits","The Best of - Private Investigations",""
"646330632","Apologize","OneRepublic","Apologize",""
"2176852","Rehab","Amy Winehouse","Back To Black",""
"620264642","It Wasn't Me","Shaggy","Hot Shot",""
"3803020582","I’m Yours (Deluxe Version)","Jason Mraz","Look For The Good (Deluxe Edition)",""
"82697686","Take Me Home, Country Roads (Original Version)","John Denver","Poems, Prayers and Promises",""
"2271563","Fast Car","Tracy Chapman","Tracy Chapman",""
"3151232","It Ain't Over 'Til It's Over","Lenny Kravitz","Mama Said",""
"1025659","Uptown Girl","Billy Joel","An Innocent Man",""
"1581601","I'm Not In Love","10cc","The Original Soundtrack",""
"15586246","Dancing In the Dark","Bruce Springsteen","Born In The U.S.A.",""
"3167611","Red Red Wine","UB40","The Very Best Of",""
"427638172","Holiday","Green Day","Greatest Hits: God's Favorite Band",""
"698260","Big in Japan","Alphaville","Forever Young",""
"831294","Two Princes","Spin Doctors","Just Go Ahead Now: A Retrospective",""
"15586213","Born in the U.S.A.","Bruce Springsteen","Born In The U.S.A.",""
"409670382","Friday I'm in Love","The Cure","Greatest Hits",""
"3130430","Ordinary World","Duran Duran","Greatest",""
"725837","Give It Away","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)",""
"2511224","Kryptonite","3 Doors Down","The Better Life",""
"851867","Sexual Healing","Marvin Gaye","Midnight Love",""
"2172900","Here Without You","3 Doors Down","Away From The Sun",""
"725965","The Zephyr Song","Red Hot Chili Peppers","By the Way (Deluxe Edition)",""
"924937","Bubbly","Colbie Caillat","Coco",""
"2503284","Give A Little Bit","Supertramp","The Very Best Of Supertramp",""
"110479784","Baby Jane","Rod Stewart","Storyteller - The Complete Anthology: 1964 - 1990",""
"409670302","In Between Days","The Cure","Greatest Hits",""
"122015000","One More Night (2016 Remaster)","Phil Collins","No Jacket Required (2016 Remaster)",""
"74628075","Runaway","Bon Jovi","Bon Jovi",""
"13145315","Making Love Out of Nothing at All","Air Supply","Ultimate Air Supply",""
"675818","I Want to Know What Love Is (1999 Remaster)","Foreigner","Agent Provocateur",""
"3092940","Don't You Want Me","The Human League","Dare!",""
"3167295","The Best (Edit)","Tina Turner","Simply the Best",""
"3119484","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae",""
"2525873","Desert Rose","Sting","The Very Best Of Sting And The Police",""
"3803020592","Lucky","Jason Mraz","Look For The Good (Deluxe Edition)",""
"555643","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition",""
"7675332","Last Kiss","Pearl Jam","Lost Dogs",""
"577487252","It's My Life","Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)",""
"1079628","Rosanna","Toto","Toto IV",""
"922014","All I Wanna Do","Sheryl Crow","Tuesday Night Music Club",""
"911496","Thnks fr th Mmrs","Fall Out Boy","Infinity On High",""
"3156760","Bitch","Meredith Brooks","Blurring The Edges",""
"992131","Torn","Natalie Imbruglia","Left Of The Middle",""
"13145305","All Out of Love","Air Supply","Ultimate Air Supply",""
"15707218","Always on My Mind (2003 Remaster)","Pet Shop Boys","PopArt: The Hits",""
"569561","Maneater","Daryl Hall & John Oates","The Essential Daryl Hall & John Oates",""
"2686140","I'm Yours","Jason Mraz","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",""
"2237439","Buffalo Soldier","Bob Marley & The Wailers","Confrontation",""
"774798532","Inbetween Days (Live)","The Cure","Anniversary: 1978 - 2018 Live In Hyde Park London (Live)",""
"4677851","Stir It Up","Bob Marley & The Wailers","Catch A Fire",""
