DeezerId,Title,Artist,Album,Source
"62419007","Flashdance...What a Feeling (Radio Edit)","Irene Cara","What a Feelin'",""
"3872734","Arthur's Theme (Best That You Can Do)","Christopher Cross","Arthur - The Album [Original Soundtrack]",""
"576431","Eye of the Tiger","Survivor","Rocky IV",""
"5079647","Don't You (Forget About Me)","Simple Minds","The Breakfast Club",""
"24307571","Circle of Life","Carmen Twillie","The Lion King",""
"7675403","I Will Always Love You","Whitney Houston","The Bodyguard - Original Soundtrack Album",""
"3117869","Can You Feel the Love Tonight","Elton John","The Lion King: Special Edition Original Soundtrack (French Version)",""
"3130429","A View to a Kill","Duran Duran","Greatest",""
"3276735","Goldfinger","Shirley Bassey","20 of the Best",""
"122832120","Colors of the Wind","Judy Kuhn","Pocahontas",""
"1109731","Lose Yourself","Eminem","Curtain Call: The Hits",""
"646327092","Ain't No Mountain High Enough","Marvin Gaye","United",""
"3055975","Now We Are Free","Lisa Gerrard","Gladiator - Music From The Motion Picture",""
"3130319","True (Single Edit)","Spandau Ballet","Gold - The Best of Spandau Ballet",""
"136710424","Stand By Me","Ben E. King","Stand By Me",""
"3819736","La Bamba","Los Lobos","La Bamba / Charlena",""
"3147390","Goldeneye","Tina Turner","Goldeneye",""
"75392184","Rhythm Of The Night","DeBarge","Rhythm Of The Night",""
"3917698","Batdance","Prince","Batman",""
"3156230","If You Leave","Orchestral Manoeuvres In The Dark","The OMD Singles",""
"538709362","I Just Called To Say I Love You","Stevie Wonder","The Definitive Collection (Deluxe Edition)",""
"137751717","The Look Of Love","Dusty Springfield","The Very Best Of Dusty Springfield",""
"145187392","Under the Sea","Samuel E. Wright","The Little Mermaid Special Edition",""
"904732","Respect","Aretha Franklin","I Never Loved a Man the Way I Love You",""
"65443651","Main Title And First Victim","John Williams","Jaws (The Collector's Edition Soundtrack)",""
"102271990","We Don't Need Another Hero (Thunderdome)","Tina Turner","Private Dancer (30th Anniversary Issue)",""
"959903","Jump in the Line","Harry Belafonte","Greatest Hits",""
"3091987","Kokomo","The Beach Boys","The Very Best Of The Beach Boys: Sounds Of Summer",""
"555639","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition",""
"347363311","With Or Without You","U2","The Best Of 1980-1990 & B-Sides",""
"346967941","I'm So Excited","The Pointer Sisters","So Excited! (Expanded Edition)",""
"5404547","Total Eclipse of the Heart","Bonnie Tyler","80s 100 Hits",""
"910474","Lovefool","The Cardigans","Best Of",""
"856124","Your Love","The Outfield","Super Hits",""
"3098301","It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette","The Ballad Hits",""
"664178","Kiss","Prince","Parade - Music from the Motion Picture Under the Cherry Moon",""
"4763165","Beat It","Michael Jackson","Michael Jackson's This Is It",""
"3091966","Surfin' U.S.A. (Remastered 2001)","The Beach Boys","The Very Best Of The Beach Boys: Sounds Of Summer",""
"4615481","Never Ending Story","Limahl","The Never Ending Story",""
"905697","Say You, Say Me","Lionel Richie","Dancing On The Ceiling (Expanded Edition)",""
"846215","Baby, I Love Your Way","Big Mountain","The Best of Big Mountain",""
"3127387","Don't Worry Be Happy","Bobby McFerrin","Simple Pleasures",""
"3402413","Hooked On A Feeling","Blue Swede","Hooked On A Feeling",""
"3111030","I'm Gonna Be (500 Miles)","The Proclaimers","Sunshine on Leith",""
"75981528","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","Whitney",""
"2627636","Glory of Love","Peter Cetera","Solitude / Solitaire",""
